RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,54783,Dylan Wu,262,Rocket Mortgage,1,14
2,0,47806,Raul Pereda,249,Mexico Open,2,16
3,0,48081,Xander Schauffele,226,The American Express,4,5
4,0,32102,Rickie Fowler,216,WM Phoenix Open,4,7
5,0,28237,Rory McIlroy,214,Travelers,1,8
6,0,54628,Lee Hodges,212,Houston Open,1,1
7,0,34255,Joseph Bramlett,208,Genesis Scottish Open,1,1
8,0,19803,Ryan Armour,204,Sony Open,1,17
9,0,52411,Kyle Westmoreland,201,Farmers,1,16
10,0,35450,Patrick Cantlay,200,RBC Heritage,2,7
11,0,12716,Charley Hoffman,198,Wyndham,4,15
12,0,36801,Mark Hubbard,198,Wells Fargo,2,17
13,0,46046,Scottie Scheffler,196,U.S. Open,3,17
14,0,28420,Ryan Brehm,196,Valspar,1,17
15,0,33410,Andrew Landry,194,Honda,2,6
16,0,47995,Davis Riley,193,FedEx St. Jude,3,17
17,0,25686,Jason Dufner,193,WM Phoenix Open,3,8
18,0,46717,Viktor Hovland,183,Arnold Palmer,2,7
19,0,32333,Kevin Tway,182,Travelers,2,3
20,0,39067,MJ Daffue,182,Sanderson Farms,1,4
20,0,52374,Brandon Wu,182,Sanderson Farms,1,4
22,0,51766,Wyndham Clark,181,THE CJ CUP,3,10
23,0,49960,Sepp Straka,179,TOUR Championship,1,14
23,0,49964,Aaron Wise,179,Honda,1,6
25,0,51349,Nico Echavarria,179,The RSM Classic,3,6
26,0,34076,Joel Dahmen,178,Shriners Children's Open,3,12
27,0,40115,Adam Svensson,175,Sony Open,2,7
28,0,45522,Christiaan Bezuidenhout,172,Rocket Mortgage,3,16
29,0,23452,Nicolas Colsaerts,172,Genesis Scottish Open,2,14
30,0,46464,Jordan Smith,171,U.S. Open,4,5
31,0,34099,Harris English,170,Charles Schwab,2,8
32,0,48887,Matt Wallace,168,Genesis Scottish Open,2,11
33,0,51634,Sahith Theegala,167,BMW Championship,1,14
34,0,29535,Brice Garnett,163,Valero,3,10
35,0,46970,Jon Rahm,159,the Memorial,4,9
36,0,48699,Callum Tarren,157,Wyndham,2,1
37,0,47504,Sam Burns,157,FedEx St. Jude,3,11
