RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
138,0,08931,Glen Day,18.43,282,1530,114
138,0,24138,Ian Poulter,18.43,199,1080,173
140,0,02101,Joey Sindelar,18.37,248,1350,30
141,0,24290,D.J. Brigman,18.33,221,1206,51
141,0,02214,Kirk Triplett,18.33,254,1386,62
143,0,10213,Dicky Pride,18.31,234,1278,135
144,0,12602,Dean Wilson,18.30,303,1656,142
145,0,23788,D.J. Trahan,18.29,326,1782,27
146,0,01677,Tom Lehman,18.28,204,1116,16
147,0,10860,Justin Leonard,18.25,312,1710,94
148,0,21961,Charles Howell III,18.22,282,1548,140
148,0,24024,Zach Johnson,18.22,246,1350,111
150,0,01577,Lee Janzen,18.10,215,1188,117
151,0,12510,Chad Campbell,18.09,293,1620,129
151,0,21470,Daisuke Maruyama,18.09,280,1548,88
153,0,21878,Mark Wilson,18.07,283,1566,91
154,0,21806,Paul Gow,18.02,227,1260,130
155,0,20623,Gavin Coles,17.94,281,1566,161
156,0,06515,Shaun Micheel,17.93,284,1584,52
157,0,20628,Arron Oberholser,17.89,219,1224,163
157,0,26679,Kevin Stadler,17.89,306,1710,64
159,0,20098,Stuart Appleby,17.88,235,1314,175
160,0,06004,Stephen Ames,17.82,247,1386,86
160,0,20382,Stephen Leaney,17.82,263,1476,13
162,0,07749,Brett Quigley,17.81,250,1404,166
162,0,21660,Jason Schultz,17.81,202,1134,164
164,0,26360,Bubba Dickerson,17.76,163,918,193
165,0,01706,Davis Love III,17.69,207,1170,124
166,0,07223,Brian Bateman,17.68,175,990,177
167,0,23048,Eric Axley,17.65,340,1926,178
168,0,08123,Jeff Brehaut,17.61,187,1062,79
168,0,12714,Chris Tidland,17.61,187,1062,131
170,0,19972,José Coceres,17.56,158,900,168
171,0,06621,Joe Durant,17.50,274,1566,12
172,0,23933,Michael Boyd,17.49,192,1098,148
173,0,27702,Matt Hendrix,17.46,198,1134,86
174,0,23800,Bryce Molder,17.36,175,1008,191
175,0,06643,Paul Goydos,17.33,184,1062,192
176,0,08881,Tripp Isenhour,17.31,268,1548,184
177,0,01381,Fred Funk,17.18,201,1170,171
178,0,29476,Kyle Reifers,17.14,219,1278,110
179,0,21528,Henrik Stenson,17.03,141,828,180
180,0,22806,Doug LaBelle II,16.88,316,1872,114
181,0,01928,Corey Pavin,16.87,246,1458,183
182,0,22378,Trevor Immelman,16.75,205,1224,66
182,0,22348,Nick O'Hern,16.75,205,1224,190
184,0,06251,Chris DiMarco,16.67,231,1386,187
185,0,21646,David Branshaw,16.60,248,1494,97
186,0,24457,Jaco Van Zyl,16.45,151,918,125
187,0,20157,Retief Goosen,16.44,142,864,194
188,0,20859,Anders Hansen,16.26,161,990,156
189,0,22621,Ben Curtis,16.25,234,1440,185
190,0,26420,Richard Johnson,16.19,271,1674,99
191,0,02104,Jeff Sluman,16.11,174,1080,181
192,0,06373,José María Olazábal,15.89,143,900,196
193,0,01157,Tom Byrum,15.56,140,900,76
194,0,02036,Jim Rutledge,15.25,162,1062,119
195,0,01132,Mark Brooks,15.20,145,954,92
196,0,01473,Todd Hamilton,14.99,205,1368,195
