RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,0,08793,Tiger Woods,1.86,253,136
2,0,28475,Jeff Overton,1.44,226,157
3,0,20472,Alex Cejka,1.41,295,209
4,0,21731,Freddie Jacobson,1.39,283,203
4,0,22293,Heath Slocum,1.39,363,261
6,0,10809,Jim Furyk,1.38,299,216
7,0,06527,Steve Stricker,1.37,294,214
8,0,01810,Phil Mickelson,1.36,274,202
9,0,23623,Bo Van Pelt,1.32,384,292
10,0,24357,K.J. Choi,1.31,307,235
10,0,12660,Jesper Parnevik,1.31,346,264
10,0,10425,Jay Williamson,1.31,186,142
13,0,25396,Kevin Na,1.30,323,248
14,0,24925,Jonathan Byrd,1.29,290,225
14,0,20850,Daniel Chopra,1.29,394,305
14,0,25900,Lucas Glover,1.29,375,290
14,0,23621,Rory Sabbatini,1.29,295,229
18,0,12652,Cameron Beckman,1.28,353,276
18,0,22405,Justin Rose,1.28,230,180
20,0,20498,Briny Baird,1.27,418,330
20,0,20127,Chris Riley,1.27,212,167
22,0,06567,Vijay Singh,1.26,373,297
22,0,20160,Charlie Wi,1.26,322,256
24,0,06522,Ernie Els,1.25,219,175
24,0,21209,Sergio Garcia,1.25,244,195
26,0,27649,Brandt Snedeker,1.24,359,289
27,0,01035,Tommy Armour III,1.23,275,223
27,0,23135,Tim Clark,1.23,227,184
27,0,21753,Brian Davis,1.23,369,300
27,0,23108,Matt Kuchar,1.23,284,231
31,0,01142,Bart Bryant,1.22,312,255
31,0,29718,Anthony Kim,1.22,350,287
31,0,24140,Sean O'Hair,1.22,363,298
31,0,26882,Michael Sim,1.22,176,144
35,0,20104,Ken Duke,1.20,383,319
35,0,19846,Brian Gay,1.20,374,312
35,0,23349,Charles Warren,1.20,395,328
38,0,20229,Stewart Cink,1.19,320,269
38,0,28158,Steve Marino,1.19,386,325
38,0,23497,Tag Ridings,1.19,192,162
38,0,20645,John Senden,1.19,344,290
42,0,07867,Woody Austin,1.18,339,288
42,0,23718,Nathan Green,1.18,366,310
42,0,10117,Bob Heintz,1.18,314,266
42,0,21350,Ryuji Imada,1.18,386,327
46,0,01161,Mark Calcavecchia,1.17,367,313
46,0,20382,Stephen Leaney,1.17,263,225
46,0,01945,Kenny Perry,1.17,290,247
46,0,24502,Adam Scott,1.17,267,229
46,0,02239,Scott Verplank,1.17,274,234
46,0,25804,Bubba Watson,1.17,303,259
52,0,22371,Aaron Baddeley,1.16,292,252
52,0,22892,Jason Gore,1.16,313,269
52,0,24924,Bill Haas,1.16,334,287
52,0,01766,Billy Mayfair,1.16,336,290
52,0,21949,Joe Ogilvie,1.16,388,335
57,0,07363,Craig Bowden,1.15,269,234
57,0,26596,Ryan Moore,1.15,332,288
57,0,25345,Carl Pettersson,1.15,409,356
57,0,27770,Camilo Villegas,1.15,296,257
57,0,27095,Nick Watney,1.15,321,278
62,0,20766,Padraig Harrington,1.14,222,195
62,0,24024,Zach Johnson,1.14,246,216
62,0,10733,Kent Jones,1.14,351,309
62,0,12705,Cliff Kresge,1.14,369,324
62,0,24781,Hunter Mahan,1.14,332,290
62,0,01948,Tim Petrovic,1.14,383,335
68,0,21633,Steve Allan,1.13,241,213
68,0,19824,Craig Barlow,1.13,189,167
68,0,08537,J.P. Hayes,1.13,323,285
68,0,20634,Peter Lonard,1.13,287,254
68,0,01707,Steve Lowery,1.13,273,242
68,0,26881,Jarrod Lyle,1.13,276,244
68,0,01724,Jeff Maggert,1.13,276,244
68,0,27933,John Merrick,1.13,333,294
68,0,06595,Kevin Sutherland,1.13,293,260
77,0,19803,Ryan Armour,1.12,375,335
77,0,20623,Gavin Coles,1.12,281,251
77,0,20574,Mathew Goggin,1.12,329,293
77,0,07547,Craig Kanada,1.12,372,331
77,0,22212,Craig Lile,1.12,260,232
77,0,23325,Vaughn Taylor,1.12,340,304
77,0,26289,Boo Weekley,1.12,355,316
84,0,06034,Marco Dawson,1.11,252,228
84,0,01313,Steve Elkington,1.11,290,262
84,0,01320,Bob Estes,1.11,321,290
84,0,24358,Robert Garrigus,1.11,359,322
84,0,24912,Will MacKenzie,1.11,364,329
84,0,26951,Johnson Wagner,1.11,337,303
90,0,10885,Robert Allenby,1.10,327,298
90,0,24490,George McNeill,1.10,335,305
90,0,24361,Pat Perez,1.10,304,277
90,0,25190,Jeff Quinney,1.10,342,310
90,0,02246,Duffy Waldorf,1.10,239,218
95,0,06197,Michael Allen,1.09,264,243
95,0,20378,Mathias Grönberg,1.09,345,316
95,0,12716,Charley Hoffman,1.09,364,334
95,0,10860,Justin Leonard,1.09,312,287
95,0,22046,Geoff Ogilvy,1.09,295,270
95,0,02206,David Toms,1.09,269,246
101,0,19972,José Coceres,1.08,158,146
101,0,20105,Jeff Gove,1.08,347,321
101,0,27060,John Mallinger,1.08,323,299
101,0,01797,Rocco Mediate,1.08,262,242
101,0,27963,Chris Stroud,1.08,227,211
101,0,23788,D.J. Trahan,1.08,326,302
107,0,07457,Steve Flesch,1.07,335,314
107,0,20433,Mark Hensby,1.07,272,255
107,0,11032,Frank Lickliter II,1.07,340,318
107,0,10213,Dicky Pride,1.07,234,218
107,0,22913,John Rollins,1.07,347,324
107,0,02223,Bob Tway,1.07,351,329
107,0,12602,Dean Wilson,1.07,303,283
107,0,21878,Mark Wilson,1.07,283,264
115,0,06004,Stephen Ames,1.06,247,234
115,0,08931,Glen Day,1.06,282,267
115,0,23638,Brendon de Jonge,1.06,287,272
115,0,20572,Rod Pampling,1.06,300,284
115,0,21959,Ted Purdy,1.06,347,328
120,0,10423,Mike Weir,1.05,277,263
121,0,12782,Tim Herron,1.04,329,315
121,0,27141,J.B. Holmes,1.04,270,260
121,0,08075,Jerry Kelly,1.04,339,325
121,0,22806,Doug LaBelle II,1.04,316,305
121,0,01677,Tom Lehman,1.04,204,197
121,0,20628,Arron Oberholser,1.04,219,210
127,0,23613,Rich Barcelo,1.03,276,268
127,0,23983,Luke Donald,1.03,228,222
127,0,12680,Shigeki Maruyama,1.03,284,277
130,0,23614,Rich Beem,1.02,333,328
130,0,24507,Jason Bohn,1.02,192,189
130,0,25686,Jason Dufner,1.02,342,336
130,0,27120,Troy Matteson,1.02,302,295
130,0,24449,Parker McLachlin,1.02,284,279
130,0,01941,Tom Pernice Jr.,1.02,354,346
130,0,02214,Kirk Triplett,1.02,254,249
137,0,06515,Shaun Micheel,1.01,284,281
137,0,08375,Paul Stankowski,1.01,187,186
139,0,25273,Andrew Buckle,1.00,267,266
140,0,21806,Paul Gow,.99,227,230
140,0,23320,Ryan Palmer,.99,304,306
140,0,24138,Ian Poulter,.99,199,201
140,0,02101,Joey Sindelar,.99,248,251
144,0,21805,Harrison Frazar,.98,316,322
144,0,01388,Robert Gamez,.98,296,302
146,0,08123,Jeff Brehaut,.97,187,192
