RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,25804,Bubba Watson,424,WGC-Bridgestone,3,16,036
2,0,29221,Webb Simpson,397,Hyundai T of C,4,7,656
3,0,34046,Jordan Spieth,396,Hyundai T of C,4,7,656
4,0,25191,Gonzalo Fernandez-Castaño,395,WGC-HSBC Champ.,4,14,766
5,0,29479,Scott Brown,390,Hyundai T of C,4,7,656
6,0,37273,Derek Ernst,388,Hyundai T of C,4,17,656
8,0,25632,Jimmy Walker,387,Hyundai T of C,4,17,656
9,0,24358,Robert Garrigus,385,Quicken Loans,4,18,024
9,0,27936,Martin Laird,385,Hyundai T of C,4,12,656
11,0,29974,Branden Grace,383,WGC-Cadillac,2,5,008
12,0,24361,Pat Perez,382,Phoenix Open,2,8,510
14,0,25686,Jason Dufner,381,WGC-Bridgestone,2,9,036
14,0,23623,Bo Van Pelt,381,Wyndham Champ,1,5,752
14,0,31323,Gary Woodland,381,Hyundai T of C,2,7,656
17,0,34021,Bud Cauley,380,Wells Fargo,4,16,698
17,0,28089,Jason Day,380,BMW Champ,1,1,505
17,0,30925,Dustin Johnson,380,Hyundai T of C,3,12,656
20,0,26300,Matt Jones,379,WGC-Bridgestone,3,16,036
20,0,29461,Jamie Lovemark,379,HP Byron Nelson,4,3,019
20,0,28237,Rory McIlroy,379,BMW Champ,1,10,505
25,0,33122,Russell Knox,378,Frys.com Open,2,18,775
25,0,26951,Johnson Wagner,378,Wyndham Champ,2,5,752
29,0,30944,Jason Kokrak,377,Frys.com Open,2,6,775
29,0,35300,Andrew Loupe,377,Quicken Loans,4,18,024
31,0,32102,Rickie Fowler,376,Wells Fargo,4,16,698
31,0,28308,Troy Kelly,376,John Deere Clas,1,10,669
31,0,36684,Dustin Morris,376,Zurich Classic,1,7,714
31,0,21528,Henrik Stenson,376,WGC-Cadillac,2,5,008
36,0,32334,Charlie Beljan,375,Valspar Champ,2,11,665
36,0,34360,Patrick Reed,375,Hyundai T of C,4,17,656
36,0,36699,Patrick Rodgers,375,Quicken Loans,4,18,024
43,0,20593,Greg Chalmers,374,Texas Open,3,17,770
43,0,21209,Sergio Garcia,374,WGC-Cadillac,2,5,008
43,0,25240,D.A. Points,374,Hyundai T of C,4,7,656
43,0,34264,Hudson Swafford,374,The Greenbrier,4,17,771
49,0,28259,Sangmoon Bae,373,Hyundai T of C,4,12,656
49,0,20229,Stewart Cink,373,Wells Fargo,3,16,698
49,0,06522,Ernie Els,373,Shell Houston,1,8,729
49,0,21961,Charles Howell III,373,The Greenbrier,4,17,771
49,0,25562,Andres Romero,373,Quicken Loans,4,18,024
49,0,32150,Michael Thompson,373,Hyundai T of C,4,12,656
59,0,20848,Ángel Cabrera,372,The Greenbrier,3,6,771
59,0,23452,Nicolas Colsaerts,372,Texas Open,1,9,770
59,0,34099,Harris English,372,Hyundai T of C,4,12,656
59,0,24502,Adam Scott,372,BMW Champ,4,1,505
59,0,27064,Jhonattan Vegas,372,Phoenix Open,3,15,510
71,0,27436,Graham DeLaet,370,Phoenix Open,2,6,510
71,0,37351,Oliver Goss,370,Quicken Loans,4,18,024
71,0,35539,Luke Guthrie,370,Arnold Palmer,4,4,009
71,0,24924,Bill Haas,370,Hyundai T of C,4,12,656
71,0,27141,J.B. Holmes,370,Phoenix Open,2,9,510
71,0,30852,Ryo Ishikawa,370,Wyndham Champ,4,8,752
71,0,34431,Robert Streb,370,Wells Fargo,4,16,698
86,0,32366,Kevin Chappell,369,Zurich Classic,4,15,714
86,0,30926,Chris Kirk,369,Hyundai T of C,4,12,656
86,0,30692,Scott Stallings,369,WGC-Bridgestone,2,9,036
98,0,23063,Scott Hend,368,WGC-Cadillac,1,12,008
98,0,12716,Charley Hoffman,368,Phoenix Open,2,15,510
98,0,34409,David Lingmerth,368,Farmers Ins.,4,15,004
98,0,01706,Davis Love III,368,Wells Fargo,3,16,698
98,0,32839,Hideki Matsuyama,368,WGC-Cadillac,2,5,008
98,0,25345,Carl Pettersson,368,Texas Open,3,4,770
98,0,30946,Alex Prugh,368,Texas Open,3,17,770
98,0,27072,Alvaro Quiros,368,Mayakoba,2,5,733
98,0,29518,Brendan Steele,368,Shell Houston,1,8,729
98,0,20396,Lee Westwood,368,WGC-Bridgestone,3,16,036
117,0,33141,Keegan Bradley,367,WGC-Bridgestone,3,8,036
117,0,24140,Sean O'Hair,367,Frys.com Open,1,5,775
117,0,32333,Kevin Tway,367,Frys.com Open,4,18,775
117,0,36685,Cameron Wilson,367,John Deere Clas,1,14,669
133,0,25364,Paul Casey,366,The Open,2,1,724
133,0,20850,Daniel Chopra,366,Texas Open,2,17,770
133,0,24024,Zach Johnson,366,Texas Open,2,10,770
133,0,22046,Geoff Ogilvy,366,Quicken Loans,4,18,024
148,0,24494,Erik Compton,365,HP Byron Nelson,2,4,019
148,0,21753,Brian Davis,365,Texas Open,3,17,770
148,0,09011,David Duval,365,Mayakoba,4,5,733
148,0,39977,Max Homa,365,Frys.com Open,4,10,775
148,0,28475,Jeff Overton,365,Mayakoba,4,5,733
148,0,40250,Taylor Pendrith,365,Canadian Open,1,8,642
169,0,29222,Billy Hurley III,364,Frys.com Open,4,18,775
169,0,27933,John Merrick,364,Hyundai T of C,4,7,656
169,0,35732,Wes Roach,364,Texas Open,4,18,770
169,0,34265,Will Wilcox,364,Sony Open,1,5,006
193,0,27408,Martin Kaymer,363,WGC-Bridgestone,3,8,036
193,0,25818,Scott Piercy,363,Phoenix Open,2,9,510
193,0,28486,Michael Putnam,363,Quicken Loans,4,18,024
193,0,29484,Peter Uihlein,363,WGC-Cadillac,1,1,008
193,0,08793,Tiger Woods,363,WGC-Bridgestone,2,8,036
211,0,28937,George Coetzee,362,WGC-Cadillac,2,5,008
211,0,30750,Tommy Gainey,362,Sony Open,3,6,006
211,0,29535,Brice Garnett,362,Texas Open,2,17,770
211,0,31557,Jim Herman,362,Texas Open,2,10,770
211,0,20645,John Senden,362,WGC-Bridgestone,3,8,036
211,0,33418,Shawn Stefani,362,Quicken Loans,4,18,024
211,0,27095,Nick Watney,362,WGC-Cadillac,1,12,008
237,0,25369,Jamie Donaldson,361,WGC-Bridgestone,3,16,036
237,0,20376,Stephen Gallacher,361,WGC-Bridgestone,3,16,036
237,0,20766,Padraig Harrington,361,Phoenix Open,2,15,510
237,0,23353,J.J. Henry,361,Phoenix Open,2,15,510
237,0,21731,Freddie Jacobson,361,BMW Champ,1,10,505
237,0,36689,Brooks Koepka,361,Wyndham Champ,4,5,752
237,0,27649,Brandt Snedeker,361,Hyundai T of C,4,12,656
266,0,20098,Stuart Appleby,360,BMW Champ,1,1,505
266,0,22371,Aaron Baddeley,360,Phoenix Open,2,15,510
266,0,27895,Jonas Blixt,360,Hyundai T of C,2,1,656
266,0,24781,Hunter Mahan,360,Quicken Loans,3,18,024
266,0,29289,S.Y. Noh,360,Quicken Loans,4,18,024
266,0,21949,Joe Ogilvie,360,Texas Open,2,18,770
266,0,26289,Boo Weekley,360,WGC-Cadillac,1,12,008
306,0,28087,Kris Blanks,359,Phoenix Open,1,9,510
306,0,01249,John Daly,359,Wyndham Champ,2,18,752
306,0,20157,Retief Goosen,359,Sony Open,3,6,006
306,0,33461,Morgan Hoffmann,359,BMW Champ,4,7,505
306,0,26851,Marc Leishman,359,The Open,2,1,724
306,0,27118,Toshinori Muto,359,Sony Open,3,9,006
306,0,25396,Kevin Na,359,BMW Champ,1,1,505
306,0,26329,Louis Oosthuizen,359,WGC-Cadillac,1,12,008
306,0,26679,Kevin Stadler,359,WGC-Bridgestone,2,9,036
349,0,35840,Kevin Foley,358,HP Byron Nelson,3,1,019
349,0,34098,Russell Henley,358,The Open,2,1,724
349,0,29420,Billy Horschel,358,BMW Champ,1,10,505
349,0,24912,Will MacKenzie,358,Wyndham Champ,1,5,752
349,0,24490,George McNeill,358,Frys.com Open,2,18,775
349,0,23800,Bryce Molder,358,Quicken Loans,1,16,024
349,0,26331,Charl Schwartzel,358,PGA Championshi,1,5,671
349,0,27214,Kevin Streelman,358,Hyundai T of C,2,1,656
349,0,27330,Josh Teater,358,Wells Fargo,3,16,698
349,0,33448,Justin Thomas,358,The McGladrey,2,5,776
349,0,27770,Camilo Villegas,358,BMW Champ,1,1,505
390,0,39910,Kevin Carrigan,357,Canadian Open,2,2,642
390,0,23409,James Driscoll,357,Wyndham Champ,2,18,752
390,0,25900,Lucas Glover,357,Frys.com Open,2,18,775
390,0,23320,Ryan Palmer,357,Sony Open,1,5,006
390,0,23621,Rory Sabbatini,357,HP Byron Nelson,4,1,019
390,0,30110,Kyle Stanley,357,Frys.com Open,2,18,775
429,0,24866,Jamie Broce,356,PGA Championshi,1,5,671
429,0,28307,Matt Every,356,WGC-Bridgestone,2,8,036
429,0,25444,Justin Hicks,356,Valspar Champ,4,6,665
429,0,35139,Richard Lee,356,Wyndham Champ,2,5,752
429,0,22913,John Rollins,356,Crowne Plaza,3,11,021
429,0,30927,Brendon Todd,356,Texas Open,3,17,770
479,0,30978,Kiradech Aphibarnrat,355,WGC-Cadillac,1,3,008
479,0,25936,Alex Aragon,355,HP Byron Nelson,2,1,019
479,0,25274,Steven Bowditch,355,Shell Houston,2,4,729
479,0,28339,Victor Dubuisson,355,WGC-Bridgestone,3,8,036
479,0,27896,Ross Fisher,355,The Open,2,1,724
479,0,34563,Chesson Hadley,355,BMW Champ,1,1,505
479,0,29926,Danny Lee,355,Wells Fargo,3,16,698
479,0,26596,Ryan Moore,355,Hyundai T of C,4,1,656
479,0,24459,Richard Sterne,355,WGC-Bridgestone,2,8,036
479,0,33419,Cameron Tringale,355,Quicken Loans,1,3,024
534,0,07867,Woody Austin,354,Hyundai T of C,3,1,656
534,0,24846,Ricky Barnes,354,Wells Fargo,4,16,698
534,0,35582,Kristoffer Broberg,354,The Open,2,1,724
534,0,28500,Martin Flores,354,Wells Fargo,3,7,698
534,0,24399,Scott Gardiner,354,Frys.com Open,1,5,775
534,0,28158,Steve Marino,354,The Greenbrier,4,17,771
534,0,22405,Justin Rose,354,Zurich Classic,4,13,714
586,0,28093,Miguel Angel Carballo,353,Texas Open,3,17,770
586,0,29720,Andres Gonzales,353,Shriners Hosp.,2,16,538
586,0,27644,Brian Harman,353,BMW Champ,1,1,505
586,0,29478,Kevin Kisner,353,Wells Fargo,3,16,698
586,0,23108,Matt Kuchar,353,Hyundai T of C,4,7,656
586,0,28300,Joost Luiten,353,WGC-Bridgestone,2,8,036
586,0,46048,Jordan Niebrugge,353,John Deere Clas,1,2,669
586,0,10387,Chris Thompson,353,HP Byron Nelson,4,1,019
586,0,20160,Charlie Wi,353,Texas Open,2,10,770
586,0,25349,Tim Wilkinson,353,Frys.com Open,2,18,775
666,0,30913,Chris Hanson,352,The Open,2,2,724
666,0,24940,Edward Loar,352,Frys.com Open,1,9,775
666,0,33199,Matteo Manassero,352,WGC-Cadillac,2,3,008
666,0,25572,Graeme McDowell,352,WGC-Cadillac,2,3,008
666,0,31202,William McGirt,352,Wyndham Champ,2,5,752
666,0,01810,Phil Mickelson,352,Phoenix Open,2,9,510
666,0,23497,Tag Ridings,352,Travelers Champ,2,12,503
666,0,31560,Brian Stuard,352,Frys.com Open,2,18,775
666,0,25834,Daniel Summerhays,352,BMW Champ,1,3,505
760,0,46256,Hunter Green,351,Wells Fargo,2,15,698
760,0,34261,Scott Langley,351,Wells Fargo,4,16,698
760,0,28310,Lee Williams,351,HP Byron Nelson,3,3,019
830,0,32448,James Hahn,350,Phoenix Open,1,15,510
830,0,32640,Troy Merritt,350,HP Byron Nelson,1,4,019
830,0,25863,Rod Perry,350,Puerto Rico,2,15,742
830,0,06567,Vijay Singh,350,HP Byron Nelson,4,7,019
830,0,29425,Andrew Svoboda,350,Wells Fargo,3,16,698
830,0,35617,Martin Trainer,350,Sony Open,2,8,006
907,0,31577,Tano Goya,349,WGC-Bridgestone,2,16,036
907,0,22792,Peter Hanson,349,Shell Houston,2,4,729
907,0,27466,Spencer Levin,349,Shriners Hosp.,4,11,538
907,0,34466,Peter Malnati,349,AT&T Pebble,3,6,769
907,0,33413,Ben Martin,349,The Open,2,1,724
907,0,28132,Tyrone Van Aswegen,349,Shriners Hosp.,1,2,538
907,0,37189,Harold Varner III,349,Northern Trust,2,15,500
