RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,30925,Dustin Johnson,56.30,387114,68761
2,0,25804,Bubba Watson,55.75,516797,92700
3,0,35300,Andrew Loupe,55.13,449495,81533
4,0,27064,Jhonattan Vegas,54.99,579659,105411
5,0,29461,Jamie Lovemark,54.91,409224,74530
6,0,28237,Rory McIlroy,54.75,458776,83802
7,0,32334,Charlie Beljan,54.73,609213,111316
8,0,24358,Robert Garrigus,54.70,698358,127672
9,0,27141,J.B. Holmes,54.54,768975,140994
10,0,21961,Charles Howell III,54.49,869718,159617
11,0,36689,Brooks Koepka,54.47,370679,68054
12,0,25900,Lucas Glover,54.37,461482,84876
13,0,34265,Will Wilcox,54.34,329269,60595
14,0,24140,Sean O'Hair,54.29,598163,110182
15,0,30944,Jason Kokrak,54.25,591053,108943
16,0,34099,Harris English,54.12,654475,120920
17,0,28089,Jason Day,54.00,293611,54374
18,0,23320,Ryan Palmer,53.93,585787,108617
19,0,31323,Gary Woodland,53.90,710246,131769
20,0,27436,Graham DeLaet,53.89,581435,107897
21,0,27936,Martin Laird,53.79,526401,97856
21,0,24502,Adam Scott,53.79,495482,92114
23,0,34431,Robert Streb,53.72,560658,104366
24,0,26300,Matt Jones,53.70,562527,104750
25,0,31557,Jim Herman,53.69,431546,80375
26,0,29518,Brendan Steele,53.64,677798,126371
27,0,33141,Keegan Bradley,53.54,625971,116906
27,0,34264,Hudson Swafford,53.54,491080,91729
29,0,20848,Ángel Cabrera,53.53,530770,99147
30,0,37273,Derek Ernst,53.50,570425,106630
31,0,30692,Scott Stallings,53.45,587385,109904
32,0,25632,Jimmy Walker,53.43,659061,123348
33,0,32333,Kevin Tway,53.38,408266,76490
34,0,12716,Charley Hoffman,53.37,729843,136742
35,0,29740,Brad Fritsch,53.30,320357,60106
36,0,33461,Morgan Hoffmann,53.28,791927,148622
37,0,34021,Bud Cauley,53.19,390820,73471
37,0,30110,Kyle Stanley,53.19,643676,121004
39,0,32102,Rickie Fowler,53.18,569750,107136
40,0,30750,Tommy Gainey,53.16,512200,96349
41,0,25274,Steven Bowditch,53.14,673125,126660
42,0,01706,Davis Love III,53.11,572304,107756
43,0,20229,Stewart Cink,53.09,671533,126497
44,0,28500,Martin Flores,53.08,634021,119436
45,0,29289,S.Y. Noh,52.99,673831,127170
46,0,27120,Troy Matteson,52.95,413746,78146
47,0,26851,Marc Leishman,52.93,593739,112180
48,0,32839,Hideki Matsuyama,52.89,572109,108164
49,0,27095,Nick Watney,52.86,493071,93286
50,0,33418,Shawn Stefani,52.82,499315,94531
51,0,25345,Carl Pettersson,52.80,720943,136543
52,0,27330,Josh Teater,52.79,660599,125127
53,0,25562,Andres Romero,52.76,629317,119278
54,0,26329,Louis Oosthuizen,52.75,264832,50206
55,0,26331,Charl Schwartzel,52.71,474204,89971
56,0,28486,Michael Putnam,52.70,807857,153298
57,0,22371,Aaron Baddeley,52.68,533410,101246
