RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,25804,Bubba Watson,305.1,239213,784
2,0,28237,Rory McIlroy,301.5,202618,672
3,0,30925,Dustin Johnson,298.7,172664,578
4,0,29461,Jamie Lovemark,296.7,194901,657
5,0,27141,J.B. Holmes,296.5,318422,1074
6,0,35300,Andrew Loupe,296.1,206996,699
7,0,21961,Charles Howell III,294.8,390288,1324
8,0,28089,Jason Day,294.4,136019,462
9,0,31323,Gary Woodland,293.9,299791,1020
10,0,20848,Ángel Cabrera,292.8,249474,852
11,0,25632,Jimmy Walker,292.6,300195,1026
12,0,24502,Adam Scott,292.5,230490,788
13,0,23320,Ryan Palmer,292.3,273585,936
14,0,26329,Louis Oosthuizen,291.4,121811,418
14,0,27064,Jhonattan Vegas,291.4,260531,894
16,0,32334,Charlie Beljan,291.2,271975,934
17,0,27436,Graham DeLaet,290.5,259145,892
17,0,36689,Brooks Koepka,290.5,170208,586
19,0,25274,Steven Bowditch,290.4,315968,1088
19,0,32102,Rickie Fowler,290.4,251451,866
21,0,12716,Charley Hoffman,290.3,307184,1058
22,0,33461,Morgan Hoffmann,290.1,364132,1255
23,0,24358,Robert Garrigus,289.9,294804,1017
24,0,33141,Keegan Bradley,289.6,271098,936
24,0,24781,Hunter Mahan,289.6,291877,1008
26,0,26300,Matt Jones,289.5,242573,838
26,0,24140,Sean O'Hair,289.5,270114,933
26,0,34431,Robert Streb,289.5,259425,896
29,0,22405,Justin Rose,289.2,209385,724
30,0,30944,Jason Kokrak,288.6,245048,849
31,0,26331,Charl Schwartzel,288.5,218128,756
31,0,30692,Scott Stallings,288.5,253342,878
33,0,01810,Phil Mickelson,288.2,201769,700
34,0,34099,Harris English,288.1,297885,1034
34,0,29518,Brendan Steele,288.1,282069,979
36,0,27408,Martin Kaymer,287.8,193379,672
37,0,06522,Ernie Els,287.4,252939,880
38,0,25345,Carl Pettersson,287.2,340317,1185
39,0,30110,Kyle Stanley,287.1,288857,1006
39,0,34265,Will Wilcox,287.1,160481,559
41,0,25900,Lucas Glover,287.0,187992,655
41,0,27936,Martin Laird,287.0,221593,772
41,0,32839,Hideki Matsuyama,287.0,257171,896
44,0,21209,Sergio Garcia,286.8,160611,560
44,0,27120,Troy Matteson,286.8,196453,685
46,0,37273,Derek Ernst,286.5,252940,883
46,0,24924,Bill Haas,286.5,328377,1146
46,0,26679,Kevin Stadler,286.5,260111,908
46,0,21528,Henrik Stenson,286.5,152416,532
50,0,34098,Russell Henley,286.3,301742,1054
51,0,26851,Marc Leishman,286.2,275361,962
52,0,29420,Billy Horschel,286.1,276940,968
53,0,34360,Patrick Reed,285.9,296731,1038
54,0,34021,Bud Cauley,285.8,183793,643
54,0,29289,S.Y. Noh,285.8,299522,1048
54,0,34046,Jordan Spieth,285.8,316048,1106
57,0,32366,Kevin Chappell,285.6,346709,1214
57,0,31557,Jim Herman,285.6,191350,670
59,0,33418,Shawn Stefani,285.4,227780,798
60,0,25562,Andres Romero,285.3,287020,1006
61,0,20396,Lee Westwood,285.2,171680,602
62,0,30750,Tommy Gainey,285.1,238058,835
63,0,22046,Geoff Ogilvy,284.9,290361,1019
63,0,27330,Josh Teater,284.9,297484,1044
63,0,32333,Kevin Tway,284.9,187208,657
66,0,27214,Kevin Streelman,284.7,239189,840
67,0,34264,Hudson Swafford,284.5,230450,810
68,0,01706,Davis Love III,284.4,249125,876
68,0,27095,Nick Watney,284.4,222995,784
70,0,23621,Rory Sabbatini,284.3,257010,904
71,0,30852,Ryo Ishikawa,284.1,244925,862
72,0,06567,Vijay Singh,284.0,301626,1062
73,0,35541,John Peterson,283.9,217768,767
74,0,28500,Martin Flores,283.4,268661,948
74,0,29221,Webb Simpson,283.4,293631,1036
76,0,27644,Brian Harman,282.9,398356,1408
76,0,34409,David Lingmerth,282.9,263685,932
78,0,24138,Ian Poulter,282.8,162322,574
79,0,20229,Stewart Cink,282.6,283765,1004
80,0,25686,Jason Dufner,282.5,166110,588
80,0,29740,Brad Fritsch,282.5,153685,544
82,0,28259,Sangmoon Bae,282.4,256664,909
83,0,30926,Chris Kirk,282.3,340994,1208
83,0,35732,Wes Roach,282.3,196749,697
85,0,28475,Jeff Overton,282.2,259613,920
85,0,27770,Camilo Villegas,282.2,330698,1172
87,0,24912,Will MacKenzie,282.0,286558,1016
87,0,20645,John Senden,282.0,318139,1128
89,0,33413,Ben Martin,281.8,247731,879
89,0,26289,Boo Weekley,281.8,221175,785
91,0,27895,Jonas Blixt,281.5,169758,603
91,0,23353,J.J. Henry,281.5,306242,1088
93,0,28486,Michael Putnam,281.4,356876,1268
94,0,35539,Luke Guthrie,281.2,297768,1059
94,0,22913,John Rollins,281.2,262918,935
96,0,29479,Scott Brown,281.1,326648,1162
97,0,26596,Ryan Moore,281.0,245051,872
98,0,28307,Matt Every,280.9,253953,904
98,0,20157,Retief Goosen,280.9,305360,1087
98,0,29478,Kevin Kisner,280.9,274120,976
101,0,34563,Chesson Hadley,280.7,277570,989
102,0,24846,Ricky Barnes,280.5,305199,1088
102,0,26956,Bronson La'Cassie,280.5,141069,503
104,0,32640,Troy Merritt,280.4,215603,769
105,0,22371,Aaron Baddeley,280.3,230726,823
105,0,22378,Trevor Immelman,280.3,262632,937
107,0,24494,Erik Compton,280.2,292520,1044
107,0,29535,Brice Garnett,280.2,305420,1090
107,0,31193,Jim Renner,280.2,203457,726
107,0,23623,Bo Van Pelt,280.2,261705,934
111,0,23108,Matt Kuchar,280.0,297944,1064
112,0,29425,Andrew Svoboda,279.9,258046,922
113,0,23638,Brendon de Jonge,279.8,359324,1284
114,0,32448,James Hahn,279.6,284072,1016
115,0,25191,Gonzalo Fernandez-Castaño,279.5,269971,966
116,0,29926,Danny Lee,279.4,269026,963
117,0,28132,Tyrone Van Aswegen,279.3,253592,908
118,0,24361,Pat Perez,279.1,291429,1044
119,0,32150,Michael Thompson,279.0,234369,840
120,0,35139,Richard Lee,278.8,237233,851
121,0,27933,John Merrick,278.6,280268,1006
121,0,27963,Chris Stroud,278.6,280527,1007
123,0,26951,Johnson Wagner,278.5,225047,808
124,0,25834,Daniel Summerhays,278.4,341323,1226
125,0,25444,Justin Hicks,278.3,348956,1254
126,0,32200,Roberto Castro,278.2,228679,822
127,0,21731,Freddie Jacobson,278.1,313694,1128
127,0,33122,Russell Knox,278.1,321460,1156
127,0,24490,George McNeill,278.1,271453,976
130,0,27649,Brandt Snedeker,278.0,256348,922
130,0,33419,Cameron Tringale,278.0,379713,1366
132,0,10885,Robert Allenby,277.8,270870,975
132,0,24925,Jonathan Byrd,277.8,251123,904
134,0,25364,Paul Casey,277.5,170415,614
135,0,12510,Chad Campbell,277.2,177961,642
136,0,24663,Y.E. Yang,277.1,235255,849
137,0,24024,Zach Johnson,276.8,326120,1178
137,0,25240,D.A. Points,276.8,213682,772
137,0,28780,Nicholas Thompson,276.8,269607,974
140,0,31202,William McGirt,276.6,324129,1172
141,0,20593,Greg Chalmers,276.4,281139,1017
142,0,25349,Tim Wilkinson,276.3,274377,993
143,0,23409,James Driscoll,276.0,222471,806
