RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,08793,Tiger Woods,2819600
2,0,06567,Vijay Singh,1844583
3,0,21961,Charles Howell III,1714092
4,0,01381,Fred Funk,1329543
5,0,02206,David Toms,1302363
6,0,23614,Rich Beem,1294644
7,0,10885,Robert Allenby,1294068
8,0,01920,Craig Parry,1229374
9,0,20127,Chris Riley,1175292
10,0,22913,John Rollins,1146591
11,0,02104,Jeff Sluman,971306
12,0,12663,Phil Tataurangi,968736
13,0,02010,Loren Roberts,947712
14,0,24925,Jonathan Byrd,934330
15,0,20157,Retief Goosen,860150
16,0,10860,Justin Leonard,838500
17,0,01361,Dan Forsman,838333
18,0,06251,Chris DiMarco,835867
19,0,24357,K.J. Choi,813935
20,0,10809,Jim Furyk,806258
21,0,01707,Steve Lowery,801914
22,0,20098,Stuart Appleby,736529
23,0,06809,Bob Burns,733260
24,0,23983,Luke Donald,696725
25,0,02049,Gene Sauers,692000
26,0,01810,Phil Mickelson,644639
27,0,07457,Steve Flesch,596583
28,0,01024,Billy Andrade,585397
29,0,19846,Brian Gay,551120
30,0,08075,Jerry Kelly,517289
31,0,01706,Davis Love III,509651
32,0,01553,John Huston,501972
33,0,01527,Scott Hoch,497400
34,0,01320,Bob Estes,484900
35,0,10585,Scott McCarron,441976
36,0,08931,Glen Day,440084
37,0,01797,Rocco Mediate,437743
38,0,01307,Joel Edwards,436318
39,0,20094,Jonathan Kaye,428401
40,0,20548,Hidemichi Tanaka,414786
41,0,06078,Esteban Toledo,410238
42,0,06332,Neal Lancaster,409824
43,0,06573,Brandt Jobe,397011
44,0,21209,Sergio Garcia,377214
45,0,01945,Kenny Perry,375559
46,0,12823,Carlos Franco,370099
47,0,22046,Geoff Ogilvy,344254
48,0,12782,Tim Herron,342490
49,0,02223,Bob Tway,338904
50,0,23135,Tim Clark,338860
51,0,23353,J.J. Henry,335662
52,0,06515,Shaun Micheel,335627
53,0,20229,Stewart Cink,329081
54,0,20436,Garrett Willis,328189
55,0,19824,Craig Barlow,327370
56,0,10425,Jay Williamson,310010
57,0,20572,Rod Pampling,310005
58,0,09011,David Duval,306087
59,0,10107,Deane Pappas,304940
60,0,24361,Pat Perez,301385
61,0,01941,Tom Pernice Jr.,298203
62,0,01577,Lee Janzen,292683
63,0,02106,Chris Smith,292504
64,0,01139,Olin Browne,286182
65,0,20634,Peter Lonard,284711
66,0,01132,Mark Brooks,273703
67,0,01226,Fred Couples,268664
68,0,23541,Ben Crane,268098
69,0,01887,Mark O'Meara,265536
70,0,01157,Tom Byrum,263285
71,0,01685,J.L. Lewis,262330
72,0,01161,Mark Calcavecchia,257525
73,0,01938,David Peoples,257231
74,0,01761,Len Mattiace,252696
75,0,06522,Ernie Els,250875
76,0,20593,Greg Chalmers,250800
77,0,20645,John Senden,249963
78,0,01219,John Cook,248945
79,0,21805,Harrison Frazar,240198
80,0,21806,Paul Gow,238407
81,0,02101,Joey Sindelar,236226
82,0,23621,Rory Sabbatini,234437
83,0,02214,Kirk Triplett,231554
84,0,20029,Notah Begay III,231312
85,0,10565,Ian Leggatt,226901
86,0,23125,Brad Elder,226428
87,0,12510,Chad Campbell,224315
88,0,12645,Brent Geiberger,220947
89,0,01329,Brad Faxon,213199
90,0,10423,Mike Weir,212996
91,0,08123,Jeff Brehaut,212095
92,0,19972,José Coceres,204667
93,0,01766,Billy Mayfair,201664
94,0,08375,Paul Stankowski,201324
95,0,21633,Steve Allan,201188
96,0,01968,Nick Price,197250
97,0,12680,Shigeki Maruyama,196450
98,0,10733,Kent Jones,195361
99,0,06595,Kevin Sutherland,192329
100,0,23177,Kenneth Staton,186803
101,0,23108,Matt Kuchar,185640
102,0,10649,Tom Scherrer,184974
103,0,01042,Paul Azinger,179588
104,0,06373,José María Olazábal,172450
