RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
380,0,47992,Matt Mabrey,21,Zurich Classic,2,18 - Par 5
386,0,07457,Steve Flesch,21,Texas Open,4,16 - Par 3
395,0,33399,Adam Hadwin,21,John Deere,4,5 - Par 4 -
396,0,28339,Victor Dubuisson,21,PGA Championshi,2,6 - Par 4 -
399,0,26289,Boo Weekley,21,Wyndham Champ,3,6 - Par 4 -
408,0,40058,Zac Blair,20,The RSM Classic,1,7 - Par 5 -
410,0,29974,Branden Grace,20,RBC Heritage,3,18 - Par 4
412,0,34409,David Lingmerth,20,WGC-Bridgestone,2,5 - Par 3 -
417,0,20623,Gavin Coles,20,John Deere,1,17 - Par 5
430,0,19846,Brian Gay,20,St. Jude,3,13 - Par 4
431,0,22913,John Rollins,20,Barbasol Champ,4,16 - Par 5
433,0,23821,Yusaku Miyazato,20,WGC-Cadillac,1,8 - Par 5 -
436,0,25562,Andres Romero,20,St. Jude,1,4 - Par 3 -
441,0,33448,Justin Thomas,20,Honda Classic,4,3 - Par 5 -
443,0,28300,Joost Luiten,20,PGA Championshi,4,10 - Par 4
444,0,34363,Tyrrell Hatton,20,PGA Championshi,3,8 - Par 4 -
455,0,34643,Michael Johnson,19,John Deere,1,9 - Par 4 -
457,0,20645,John Senden,19,Canadian Open,2,9 - Par 4 -
463,0,24925,Jonathan Byrd,19,Sanderson Farms,4,15 - Par 4
468,0,25720,Chad Collins,19,Texas Open,4,6 - Par 4 -
471,0,35552,Billy Kennerly,19,Canadian Open,1,1 - Par 4 -
486,0,06567,Vijay Singh,19,Honda Classic,4,4 - Par 4 -
490,0,23614,Rich Beem,19,PGA Championshi,4,5 - Par 4 -
498,0,01381,Fred Funk,18,Sony Open,2,9 - Par 5 -
502,0,45860,Case Cochran,18,Shell Houston,2,7 - Par 3 -
503,0,25364,Paul Casey,18,TOUR Champ,1,14 - Par 4
504,0,22000,Chris Wood,18,WGC-Cadillac,1,9 - Par 3 -
511,0,23135,Tim Clark,18,Frys.com Open,2,13 - Par 4
543,0,28500,Martin Flores,17,Sanderson Farms,3,11 - Par 5
546,0,24358,Robert Garrigus,17,Sanderson Farms,2,15 - Par 4
552,0,20848,Ángel Cabrera,17,Travelers Champ,1,18 - Par 4
575,0,36983,Matt Dobyns,17,Barbasol Champ,1,13 - Par 5
578,0,08725,Tom Gillis,17,Wyndham Champ,2,16 - Par 3
583,0,28486,Michael Putnam,16,Sanderson Farms,1,6 - Par 4 -
590,0,23108,Matt Kuchar,16,WGC-Bridgestone,4,16 - Par 5
592,0,33122,Russell Knox,16,The Barclays,3,5 - Par 4 -
616,0,10733,Kent Jones,16,John Deere,1,18 - Par 4
620,0,29378,Daisuke Kataoka,16,Sony Open,4,9 - Par 5 -
634,0,31115,Michio Matsumura,16,WGC-Bridgestone,2,15 - Par 3
661,0,28679,Fabián Gómez,15,The Barclays,4,7 - Par 5 -
662,0,48095,Garrett Rank,15,Canadian Open,4,16 - Par 5
672,0,47125,Matt Atkins,15,The RSM Classic,3,17 - Par 3
674,0,36689,Brooks Koepka,15,The Barclays,3,1 - Par 4 -
679,0,21959,Ted Purdy,15,Byron Nelson,2,6 - Par 4 -
680,0,34358,Jonathan Randolph,15,Sanderson Farms,2,1 - Par 4 -
692,0,29461,Jamie Lovemark,15,RBC Heritage,2,8 - Par 4 -
706,0,28937,George Coetzee,15,Canadian Open,4,2 - Par 5 -
732,0,22378,Trevor Immelman,15,Byron Nelson,1,11 - Par 4
736,0,25191,Gonzalo Fernandez-Castaño,15,Sanderson Farms,3,11 - Par 5
737,0,39324,J.J. Spaun,15,Northern Trust,1,3 - Par 4 -
756,0,27095,Nick Watney,14,Shriners Hosp.,4,16 - Par 5
759,0,23353,J.J. Henry,14,Frys.com Open,4,5 - Par 5 -
769,0,25900,Lucas Glover,14,RBC Heritage,3,13 - Par 4
777,0,46442,Maverick McNealy,14,Arnold Palmer,3,6 - Par 5 -
787,0,22294,Brian Smock,14,Northern Trust,1,15 - Par 4
789,0,48119,Ben Taylor,14,Zurich Classic,2,17 - Par 3
803,0,22983,Bradley Dredge,14,PGA Championshi,1,4 - Par 3 -
805,0,28780,Nicholas Thompson,14,Honda Classic,2,16 - Par 4
808,0,10423,Mike Weir,14,Valspar Champ,1,5 - Par 5 -
822,0,33419,Cameron Tringale,14,Phoenix Open,1,1 - Par 4 -
837,0,22986,Søren Kjeldsen,13,THE PLAYERS,3,2 - Par 5 -
848,0,32139,Danny Willett,13,Valspar Champ,3,14 - Par 5
849,0,30750,Tommy Gainey,13,RBC Heritage,1,16 - Par 4
860,0,01388,Robert Gamez,13,John Deere,2,7 - Par 3 -
876,0,25444,Justin Hicks,13,Valspar Champ,3,5 - Par 5 -
901,0,29910,Blake Adams,13,AT&T Pebble,2,17 - Par 3
920,0,48084,Wesley Bryan,13,John Deere,1,7 - Par 3 -
953,0,21407,Arjun Atwal,12,St. Jude,1,4 - Par 3 -
959,0,32334,Charlie Beljan,12,Northern Trust,2,6 - Par 3 -
971,0,12652,Cameron Beckman,12,Texas Open,1,17 - Par 4
987,0,23788,D.J. Trahan,12,Barbasol Champ,4,2 - Par 4 -
994,0,06515,Shaun Micheel,12,St. Jude,2,13 - Par 4
