RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,06567,Vijay Singh,12.97,777.91,-486.36,707.57
2,0,06522,Ernie Els,11.12,589.26,-431.26,574.68
3,0,20157,Retief Goosen,7.74,410.03,-294.07,354.65
4,0,10423,Mike Weir,5.49,241.35,-260.90,201.62
5,0,24502,Adam Scott,4.69,244.01,-178.78,243.33
6,0,20098,Stuart Appleby,4.29,244.81,-206.17,220.41
7,0,06004,Stephen Ames,3.71,200.36,-90.93,219.84
8,0,24357,K.J. Choi,3.28,213.08,-176.46,179.44
9,0,12680,Shigeki Maruyama,3.11,171.09,-131.17,168.74
10,0,20848,Ángel Cabrera,3.00,126.03,-98.22,132.62
11,0,10885,Robert Allenby,2.89,167.66,-170.60,125.24
12,0,23621,Rory Sabbatini,2.78,147.21,-96.21,151.41
13,0,20634,Peter Lonard,2.71,170.62,-146.80,125.60
14,0,20433,Mark Hensby,2.62,138.62,-33.47,158.45
15,0,22348,Nick O'Hern,2.44,126.77,-64.90,121.01
16,0,01968,Nick Price,2.25,90.14,-139.39,67.22
17,1,20572,Rod Pampling,2.21,128.38,-73.21,122.27
18,1,22378,Trevor Immelman,2.21,130.24,-136.48,129.71
19,1,20218,Shingo Katayama,2.15,116.12,-95.07,94.18
20,-3,20382,Stephen Leaney,2.09,98.14,-120.31,78.35
21,0,20935,Toru Taniguchi,2.07,99.40,-60.09,92.97
22,5,20569,Richard Green,2.06,115.09,-38.56,121.97
23,-1,23135,Tim Clark,1.79,102.24,-97.41,80.25
24,0,22046,Geoff Ogilvy,1.79,100.40,-85.64,80.15
25,-2,12823,Carlos Franco,1.77,104.32,-55.56,112.34
26,0,24663,Y.E. Yang,1.71,68.43,-8.45,73.38
27,-2,01920,Craig Parry,1.70,81.76,-105.77,88.77
28,0,10821,Toshi Izawa,1.60,68.59,-70.04,33.07
29,0,25732,S.K. Ho,1.59,68.28,-47.16,70.85
30,0,20400,Michael Campbell,1.55,80.56,-101.53,61.37
31,0,02020,Eduardo Romero,1.49,59.56,-93.18,47.72
32,0,24511,Thongchai Jaidee,1.46,62.74,-45.39,65.90
33,0,20624,David Smail,1.44,74.89,-68.69,67.58
34,0,23043,Paul Sheehan,1.37,75.58,-38.61,70.30
35,0,23725,Brendan Jones,1.35,78.14,-66.13,68.14
61,0,22275,Terry Pilkadaris,.82,32.75,-1.44,32.83
62,0,24083,Marcus Fraser,.82,44.98,-26.32,39.55
63,0,20753,Jong-Duck Kim,.81,39.10,-36.22,34.55
64,0,01364,Peter Fowler,.81,47.99,-48.93,34.14
65,0,23167,Dinesh Chand,.80,45.86,-20.36,40.15
66,0,20645,John Senden,.80,53.74,-38.75,47.73
67,0,22032,Tomohiro Kondo,.80,44.72,-25.75,44.10
68,0,22371,Aaron Baddeley,.80,41.42,-62.87,34.69
69,32,26331,Charl Schwartzel,.79,49.06,-21.13,44.11
70,0,24739,Katsumune Imai,.76,42.35,-18.85,28.89
71,0,24459,Richard Sterne,.75,43.45,-17.75,34.63
72,0,23802,Brad Kennedy,.70,31.72,-16.73,36.97
73,0,21633,Steve Allan,.69,43.02,-48.36,31.09
74,0,22110,Thaworn Wiratchant,.69,27.69,-8.20,26.18
75,0,20663,Brenden Pappas,.69,46.28,-42.98,29.32
76,0,20684,Chawalit Plaphol,.67,29.62,-4.72,31.23
77,0,21187,Hidemasa Hoshino,.66,35.82,-25.44,30.32
