RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,25804,Bubba Watson,24.49,203,829,-0.202
2,0,23452,Nicolas Colsaerts,20.83,105,504,-0.048
3,0,30925,Dustin Johnson,20.64,148,717,-0.331
4,0,27129,Luke List,17.82,129,724,-0.240
5,0,24358,Robert Garrigus,16.03,109,680,-0.312
6,0,31323,Gary Woodland,15.53,180,1159,-0.217
7,0,28089,Jason Day,14.94,127,850,-0.213
8,0,32334,Charlie Beljan,14.68,113,770,-0.115
9,0,30944,Jason Kokrak,14.64,147,1004,-0.313
10,0,30110,Kyle Stanley,14.49,122,842,-0.213
11,0,33141,Keegan Bradley,14.14,143,1011,-0.322
12,0,28237,Rory McIlroy,13.96,80,573,-0.263
13,0,30692,Scott Stallings,13.65,126,923,-0.214
14,0,25818,Scott Piercy,13.23,115,869,-0.261
15,0,25632,Jimmy Walker,12.26,128,1044,-0.281
16,0,20848,Ángel Cabrera,11.71,93,794,-0.247
17,0,23320,Ryan Palmer,11.46,110,960,-0.282
18,0,24502,Adam Scott,11.11,68,612,-0.235
19,0,27436,Graham DeLaet,10.82,122,1128,-0.246
20,0,28500,Martin Flores,10.58,112,1059,-0.250
20,0,26331,Charl Schwartzel,10.58,80,756,-0.300
22,0,33869,Eric Meierdierks,10.49,54,515,-0.111
23,0,29289,S.Y. Noh,10.29,89,865,-0.157
24,0,33461,Morgan Hoffmann,10.26,76,741,-0.368
25,0,33418,Shawn Stefani,9.22,64,694,-0.094
26,0,25274,Steven Bowditch,9.03,73,808,-0.260
27,0,34431,Robert Streb,8.82,76,862,-0.224
28,0,31557,Jim Herman,8.47,52,614,-0.288
29,0,25562,Andres Romero,8.26,60,726,-0.267
30,0,22913,John Rollins,8.25,78,946,-0.192
31,0,25900,Lucas Glover,8.17,59,722,-0.322
32,0,34099,Harris English,7.97,91,1142,-0.363
33,0,27095,Nick Watney,7.84,80,1021,-0.250
34,0,23497,Tag Ridings,7.82,63,806,-0.206
35,0,24140,Sean O'Hair,7.48,53,709,+0.038
36,0,25345,Carl Pettersson,7.26,65,895,-0.323
37,0,21961,Charles Howell III,7.16,80,1118,-0.300
38,0,26851,Marc Leishman,7.15,64,895,-0.250
39,0,23621,Rory Sabbatini,6.98,70,1003,-0.300
40,0,22792,Peter Hanson,6.93,32,462,-0.313
41,0,06527,Steve Stricker,6.69,33,493,-0.242
42,0,22405,Justin Rose,6.68,43,644,-0.372
43,0,32366,Kevin Chappell,6.64,62,934,-0.242
44,0,30750,Tommy Gainey,6.57,69,1050,-0.116
45,0,27936,Martin Laird,6.52,48,736,-0.188
46,0,21528,Henrik Stenson,6.49,40,616,-0.475
47,0,12716,Charley Hoffman,6.40,65,1016,-0.415
48,0,24138,Ian Poulter,6.38,35,549,-0.057
49,0,22371,Aaron Baddeley,6.34,52,820,-0.346
50,0,27120,Troy Matteson,6.33,52,821,-0.135
51,0,29420,Billy Horschel,6.23,72,1156,-0.250
52,0,24781,Hunter Mahan,6.18,59,955,-0.339
53,0,26300,Matt Jones,6.15,60,976,-0.383
54,0,26679,Kevin Stadler,6.13,59,962,-0.288
55,0,28475,Jeff Overton,6.12,63,1030,-0.238
56,0,32448,James Hahn,6.10,57,934,-0.193
57,0,30852,Ryo Ishikawa,6.00,46,767,-0.283
58,0,20766,Padraig Harrington,5.92,29,490,-0.310
59,0,29221,Webb Simpson,5.83,57,978,-0.281
