RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,28237,Rory McIlroy,67.07,55,82,-0.15
2,0,25804,Bubba Watson,65.25,77,118,-0.32
3,0,31323,Gary Woodland,65.12,112,172,-0.25
4,0,24358,Robert Garrigus,63.89,69,108,-0.14
5,0,23452,Nicolas Colsaerts,63.51,47,74,-0.04
6,0,27129,Luke List,63.11,77,122,-0.34
7,0,30925,Dustin Johnson,62.04,67,108,-0.39
8,0,23320,Ryan Palmer,58.22,85,146,-0.33
9,0,30944,Jason Kokrak,57.89,88,152,-0.23
10,0,33141,Keegan Bradley,56.16,82,146,-0.39
11,0,27436,Graham DeLaet,53.98,95,176,-0.31
12,0,28089,Jason Day,53.91,69,128,-0.13
13,0,25632,Jimmy Walker,52.50,84,160,-0.33
14,0,30110,Kyle Stanley,51.59,65,126,-0.28
15,0,31557,Jim Herman,50.98,52,102,-0.31
16,0,20848,Ángel Cabrera,50.00,62,124,-0.16
16,0,33869,Eric Meierdierks,50.00,46,92,-0.28
16,0,24502,Adam Scott,50.00,44,88,-0.48
16,0,33418,Shawn Stefani,50.00,59,118,-0.29
20,0,24140,Sean O'Hair,49.11,55,112,-0.24
21,0,28500,Martin Flores,48.80,81,166,-0.20
22,0,29289,S.Y. Noh,48.51,65,134,+0.12
23,0,25818,Scott Piercy,48.41,61,126,-0.28
24,0,25274,Steven Bowditch,47.69,62,130,-0.31
25,0,34431,Robert Streb,47.18,67,142,-0.34
26,0,23497,Tag Ridings,46.92,61,130,-0.34
27,0,26331,Charl Schwartzel,46.30,50,108,-0.34
28,0,32334,Charlie Beljan,45.83,55,120,-0.09
29,0,33461,Morgan Hoffmann,45.16,56,124,-0.18
30,0,30692,Scott Stallings,44.93,62,138,-0.42
31,0,32698,Bobby Gates,44.44,40,90,-0.15
32,0,34099,Harris English,44.25,77,174,-0.14
33,0,29740,Brad Fritsch,42.86,66,154,-0.23
34,0,22405,Justin Rose,41.30,38,92,-0.26
35,0,08793,Tiger Woods,40.91,36,88,-0.33
36,0,20691,Greg Owen,40.85,58,142,-0.26
37,0,27936,Martin Laird,40.18,45,112,-0.13
38,0,21961,Charles Howell III,39.76,66,166,-0.39
39,0,27330,Josh Teater,39.29,55,140,-0.33
40,0,25562,Andres Romero,38.98,46,118,-0.26
41,0,32448,James Hahn,38.51,57,148,-0.23
42,0,30163,Henrik Norlander,38.24,52,136,-0.23
43,0,22792,Peter Hanson,37.88,25,66,-0.36
44,0,29420,Billy Horschel,36.93,65,176,-0.29
45,0,27095,Nick Watney,36.84,56,152,-0.16
46,0,27503,Steve LeBrun,36.29,45,124,-0.18
47,0,32366,Kevin Chappell,35.81,53,148,-0.32
48,0,12716,Charley Hoffman,35.53,54,152,-0.26
49,0,25900,Lucas Glover,35.45,39,110,-0.18
50,0,22371,Aaron Baddeley,35.16,45,128,-0.24
51,0,06573,Brandt Jobe,34.82,39,112,-0.21
52,0,21528,Henrik Stenson,34.38,33,96,-0.33
53,0,26300,Matt Jones,34.18,54,158,-0.26
