RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,24138,Ian Poulter,8.97,7,78,E
2,0,06527,Steve Stricker,7.14,5,70,-0.60
3,0,10809,Jim Furyk,6.82,9,132,-0.44
4,0,23983,Luke Donald,6.52,6,92,+0.17
5,0,19846,Brian Gay,6.16,9,146,-0.11
6,0,26851,Marc Leishman,6.15,8,130,+0.25
7,0,22621,Ben Curtis,5.32,5,94,+0.40
8,0,34174,John Huh,5.26,8,152,-0.25
8,0,26596,Ryan Moore,5.26,6,114,-0.17
10,0,24024,Zach Johnson,5.07,7,138,-0.57
11,0,28310,Lee Williams,5.00,6,120,+0.50
12,0,25686,Jason Dufner,4.92,6,122,E
13,0,10423,Mike Weir,4.81,5,104,+0.40
14,0,27649,Brandt Snedeker,4.76,6,126,E
15,0,25240,D.A. Points,4.67,7,150,+0.14
16,0,32150,Michael Thompson,4.63,5,108,-0.40
17,0,28092,D.H. Lee,4.62,6,130,+0.67
18,0,27895,Jonas Blixt,4.41,6,136,E
18,0,02206,David Toms,4.41,3,68,E
20,0,23800,Bryce Molder,4.38,7,160,-0.14
21,0,21099,David Lynn,4.24,5,118,E
22,0,24781,Hunter Mahan,4.23,6,142,E
23,0,34360,Patrick Reed,4.22,7,166,-0.14
24,0,32102,Rickie Fowler,4.17,5,120,-0.40
24,0,24924,Bill Haas,4.17,6,144,+0.17
26,0,27933,John Merrick,4.11,6,146,E
27,0,25572,Graeme McDowell,4.05,3,74,-0.33
28,0,20848,Ángel Cabrera,4.03,5,124,-0.20
29,0,20443,Jin Park,4.00,4,100,+0.75
30,0,26679,Kevin Stadler,3.90,6,154,E
31,0,21878,Mark Wilson,3.85,4,104,-0.25
32,0,28259,Sangmoon Bae,3.80,6,158,+0.17
32,0,20104,Ken Duke,3.80,6,158,E
34,0,23108,Matt Kuchar,3.52,5,142,-0.20
35,0,29221,Webb Simpson,3.38,5,148,-0.20
36,0,27095,Nick Watney,3.29,5,152,E
37,0,01810,Phil Mickelson,3.23,4,124,-0.25
38,0,23135,Tim Clark,3.19,3,94,-0.33
39,0,26758,David Hearn,3.13,5,160,E
40,0,30711,Colt Knost,3.08,4,130,+0.75
41,0,06004,Stephen Ames,3.06,3,98,+0.67
41,0,22295,Darron Stiles,3.06,3,98,-0.33
43,0,22961,David Mathis,2.99,4,134,+1.00
43,0,10213,Dicky Pride,2.99,4,134,+0.75
45,0,34098,Russell Henley,2.94,4,136,E
45,0,30926,Chris Kirk,2.94,5,170,-0.20
45,0,24490,George McNeill,2.94,4,136,+0.25
48,0,30692,Scott Stallings,2.90,4,138,+0.50
49,0,20396,Lee Westwood,2.83,3,106,E
50,0,26476,Chez Reavie,2.78,4,144,+0.75
51,0,20593,Greg Chalmers,2.74,4,146,+0.50
51,0,25444,Justin Hicks,2.74,4,146,+0.25
53,0,24227,Justin Bolli,2.73,3,110,+1.00
54,0,27214,Kevin Streelman,2.70,4,148,-0.25
55,0,12716,Charley Hoffman,2.63,4,152,-0.25
56,0,23353,J.J. Henry,2.60,4,154,-0.25
57,0,23541,Ben Crane,2.59,3,116,+0.33
58,0,26300,Matt Jones,2.53,4,158,-0.25
59,0,23621,Rory Sabbatini,2.50,4,160,+0.50
59,0,25632,Jimmy Walker,2.50,4,160,-0.25
61,0,20098,Stuart Appleby,2.38,4,168,+0.25
61,0,01724,Jeff Maggert,2.38,3,126,+1.00
61,0,20572,Rod Pampling,2.38,2,84,+0.50
61,0,30110,Kyle Stanley,2.38,3,126,+1.00
65,0,23638,Brendon de Jonge,2.36,5,212,-0.40
66,0,22371,Aaron Baddeley,2.34,3,128,+0.33
67,0,27963,Chris Stroud,2.33,4,172,+1.00
68,0,25274,Steven Bowditch,2.31,3,130,+0.67
69,0,12782,Tim Herron,2.22,2,90,E
70,0,19970,Robert Karlsson,2.17,2,92,-0.50
70,0,22405,Justin Rose,2.17,2,92,-1.00
72,0,08075,Jerry Kelly,2.11,3,142,+0.33
