RANK,MOVEMENT,PLAYER_ID,PLAYER,PUTTS MADE
1,0,20229,Stewart Cink,7.4
1,0,08793,Tiger Woods,7.4
3,0,20572,Rod Pampling,7.1
4,0,23541,Ben Crane,6.6
4,0,10809,Jim Furyk,6.6
4,0,20608,David Howell,6.6
4,0,02206,David Toms,6.6
8,0,01706,Davis Love III,6.5
9,0,23325,Vaughn Taylor,6.4
10,0,24138,Ian Poulter,6.3
10,0,06527,Steve Stricker,6.3
12,0,23718,Nathan Green,6.2
12,0,06373,José María Olazábal,6.2
12,0,07749,Brett Quigley,6.2
15,0,10885,Robert Allenby,6.1
15,0,20098,Stuart Appleby,6.1
15,0,19846,Brian Gay,6.1
15,0,24024,Zach Johnson,6.1
15,0,20628,Arron Oberholser,6.1
15,0,12602,Dean Wilson,6.1
21,0,25345,Carl Pettersson,6.0
21,0,06567,Vijay Singh,6.0
21,0,02106,Chris Smith,6.0
24,0,24357,K.J. Choi,5.9
24,0,02239,Scott Verplank,5.9
26,0,01161,Mark Calcavecchia,5.8
26,0,20157,Retief Goosen,5.8
26,0,26420,Richard Johnson,5.8
26,0,24781,Hunter Mahan,5.8
26,0,01810,Phil Mickelson,5.8
26,0,22046,Geoff Ogilvy,5.8
26,0,01941,Tom Pernice Jr.,5.8
33,0,07867,Woody Austin,5.7
33,0,01139,Olin Browne,5.7
33,0,07457,Steve Flesch,5.7
33,0,01381,Fred Funk,5.7
33,0,12645,Brent Geiberger,5.7
33,0,12680,Shigeki Maruyama,5.7
33,0,20127,Chris Riley,5.7
33,0,23623,Bo Van Pelt,5.7
41,0,06004,Stephen Ames,5.6
41,0,12510,Chad Campbell,5.6
41,0,21731,Freddie Jacobson,5.6
41,0,24502,Adam Scott,5.6
41,0,21878,Mark Wilson,5.6
46,0,22621,Ben Curtis,5.5
46,0,23983,Luke Donald,5.5
46,0,01313,Steve Elkington,5.5
46,0,01320,Bob Estes,5.5
46,0,11032,Frank Lickliter II,5.5
46,0,12660,Jesper Parnevik,5.5
46,0,27770,Camilo Villegas,5.5
53,0,20498,Briny Baird,5.4
53,0,20850,Daniel Chopra,5.4
53,0,23353,J.J. Henry,5.4
53,0,22378,Trevor Immelman,5.4
53,0,01945,Kenny Perry,5.4
58,0,19824,Craig Barlow,5.3
58,0,24507,Jason Bohn,5.3
58,0,21646,David Branshaw,5.3
58,0,23135,Tim Clark,5.3
58,0,06522,Ernie Els,5.3
58,0,25900,Lucas Glover,5.3
58,0,06573,Brandt Jobe,5.3
58,0,10733,Kent Jones,5.3
58,0,01666,Bernhard Langer,5.3
58,0,28475,Jeff Overton,5.3
58,0,23621,Rory Sabbatini,5.3
58,0,02110,Jerry Smith,5.3
70,0,09011,David Duval,5.2
70,0,21209,Sergio Garcia,5.2
70,0,01677,Tom Lehman,5.2
70,0,06515,Shaun Micheel,5.2
70,0,22405,Justin Rose,5.2
70,0,02104,Jeff Sluman,5.2
76,0,06197,Michael Allen,5.1
76,0,22371,Aaron Baddeley,5.1
76,0,01142,Bart Bryant,5.1
76,0,24925,Jonathan Byrd,5.1
76,0,06621,Joe Durant,5.1
76,0,12716,Charley Hoffman,5.1
76,0,20631,David McKenzie,5.1
76,0,23497,Tag Ridings,5.1
76,0,20645,John Senden,5.1
85,0,23614,Rich Beem,5.0
85,0,10505,Shane Bertsch,5.0
85,0,22946,Henrik Bjornstad,5.0
85,0,01329,Brad Faxon,5.0
85,0,08537,J.P. Hayes,5.0
85,0,01553,John Huston,5.0
85,0,20382,Stephen Leaney,5.0
85,0,23320,Ryan Palmer,5.0
85,0,22913,John Rollins,5.0
85,0,02246,Duffy Waldorf,5.0
85,0,27095,Nick Watney,5.0
