RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,06527,Steve Stricker,72.31,47,65,-50,-29.00
2,0,20443,Jin Park,70.21,33,47,-36,-7.00
3,0,28092,D.H. Lee,68.89,62,90,-67,-1.00
4,0,30711,Colt Knost,68.42,39,57,-42,-17.00
5,0,27649,Brandt Snedeker,67.01,65,97,-71,-23.00
6,0,34099,Harris English,66.26,108,163,-113,+7.00
7,0,25834,Daniel Summerhays,65.44,89,136,-97,-11.00
8,0,33141,Keegan Bradley,65.43,123,188,-132,-4.00
9,0,25572,Graeme McDowell,65.38,34,52,-37,-4.00
10,0,08793,Tiger Woods,65.26,62,95,-69,-12.00
11,0,22405,Justin Rose,65.17,58,89,-61,-5.00
12,0,23325,Vaughn Taylor,64.52,40,62,-41,-12.00
13,0,29420,Billy Horschel,64.43,96,149,-97,-18.00
14,0,26596,Ryan Moore,64.42,67,104,-71,-9.00
15,0,28089,Jason Day,64.29,81,126,-88,-9.00
15,0,01810,Phil Mickelson,64.29,81,126,-86,-14.00
17,0,30163,Henrik Norlander,64.22,70,109,-73,+4.00
18,0,23983,Luke Donald,64.18,43,67,-44,-19.00
19,0,32200,Roberto Castro,63.97,87,136,-94,-32.00
20,0,26331,Charl Schwartzel,63.78,81,127,-82,-6.00
21,0,32448,James Hahn,63.64,77,121,-86,-11.00
22,0,23621,Rory Sabbatini,63.58,96,151,-104,+1.00
23,0,21209,Sergio Garcia,63.46,66,104,-74,-11.00
24,0,24502,Adam Scott,63.21,67,106,-71,-6.00
25,0,34409,David Lingmerth,63.10,53,84,-57,-1.00
26,0,12716,Charley Hoffman,62.66,99,158,-108,-6.00
27,0,28500,Martin Flores,62.41,88,141,-94,-8.00
27,0,29518,Brendan Steele,62.41,83,133,-87,-11.00
29,0,23135,Tim Clark,62.30,38,61,-41,-15.00
30,0,25562,Andres Romero,62.28,71,114,-74,+14.00
31,0,06522,Ernie Els,62.22,56,90,-59,-4.00
32,0,21528,Henrik Stenson,62.16,69,111,-76,+7.00
33,0,23800,Bryce Molder,62.12,41,66,-44,-34.00
34,0,20572,Rod Pampling,61.90,39,63,-39,+4.00
35,0,23108,Matt Kuchar,61.83,81,131,-88,-27.00
36,0,23638,Brendon de Jonge,61.80,110,178,-115,-23.00
37,0,10809,Jim Furyk,61.76,42,68,-44,-36.00
37,0,34360,Patrick Reed,61.76,84,136,-93,-9.00
37,0,28135,Aaron Watkins,61.76,21,34,-22,-18.00
40,0,34098,Russell Henley,61.74,71,115,-76,-4.00
41,0,22792,Peter Hanson,61.67,37,60,-39,-4.00
42,0,27214,Kevin Streelman,61.65,82,133,-88,-9.00
43,0,22806,Doug LaBelle II,61.64,45,73,-48,-17.00
44,0,31202,William McGirt,61.40,70,114,-75,-1.00
45,0,06004,Stephen Ames,61.11,33,54,-36,-11.00
46,0,25274,Steven Bowditch,60.90,81,133,-83,E
47,0,20645,John Senden,60.80,76,125,-78,-2.00
48,0,34021,Bud Cauley,60.64,57,94,-60,-9.00
49,0,31557,Jim Herman,60.42,58,96,-60,+5.00
50,0,32102,Rickie Fowler,60.00,69,115,-75,-19.00
50,0,34261,Scott Langley,60.00,42,70,-46,-23.00
50,0,31560,Brian Stuard,60.00,48,80,-50,-10.00
53,0,23497,Tag Ridings,59.80,61,102,-64,+16.00
54,0,30925,Dustin Johnson,59.68,74,124,-81,-2.00
55,0,27129,Luke List,59.46,66,111,-70,+3.00
56,0,27963,Chris Stroud,59.38,76,128,-78,-17.00
56,0,25632,Jimmy Walker,59.38,95,160,-100,-14.00
58,0,19970,Robert Karlsson,59.32,35,59,-38,+6.00
59,0,32150,Michael Thompson,59.21,45,76,-51,-7.00
60,0,25345,Carl Pettersson,59.13,68,115,-71,-2.00
61,0,27436,Graham DeLaet,59.12,94,159,-99,-15.00
62,0,32366,Kevin Chappell,59.09,78,132,-85,E
62,0,25336,Alistair Presnell,59.09,39,66,-44,-7.00
64,0,24663,Y.E. Yang,59.02,36,61,-37,+1.00
65,0,27330,Josh Teater,58.91,76,129,-79,-7.00
66,0,28679,Fabián Gómez,58.89,53,90,-55,-5.00
67,0,30944,Jason Kokrak,58.75,94,160,-103,-10.00
68,0,30692,Scott Stallings,58.57,82,140,-86,+2.00
69,0,22371,Aaron Baddeley,58.41,66,113,-74,-18.00
70,0,24399,Scott Gardiner,58.33,49,84,-53,+8.00
71,0,29740,Brad Fritsch,58.06,72,124,-78,+2.00
72,0,20593,Greg Chalmers,58.04,65,112,-69,-11.00
73,0,20229,Stewart Cink,58.00,58,100,-60,-10.00
74,0,33419,Cameron Tringale,57.98,69,119,-74,-25.00
75,0,20396,Lee Westwood,57.85,70,121,-71,+12.00
76,0,33418,Shawn Stefani,57.78,52,90,-55,-5.00
77,0,21099,David Lynn,57.75,41,71,-44,-20.00
78,0,12782,Tim Herron,57.63,34,59,-37,-6.00
79,0,06573,Brandt Jobe,57.47,50,87,-54,-4.00
79,0,27408,Martin Kaymer,57.47,50,87,-52,-6.00
81,0,31323,Gary Woodland,57.45,108,188,-116,+6.00
82,0,35539,Luke Guthrie,57.43,58,101,-60,-24.00
82,0,24490,George McNeill,57.43,58,101,-65,E
84,0,28455,Will Claxton,57.32,47,82,-50,E
84,0,26289,Boo Weekley,57.32,94,164,-98,-11.00
86,0,21961,Charles Howell III,57.30,102,178,-108,-5.00
87,0,27895,Jonas Blixt,57.26,67,117,-70,-9.00
88,0,26300,Matt Jones,57.25,79,138,-84,-3.00
88,0,20691,Greg Owen,57.25,75,131,-82,+6.00
90,0,23320,Ryan Palmer,57.24,87,152,-91,-9.00
91,0,23541,Ben Crane,57.14,36,63,-39,-19.00
91,0,25240,D.A. Points,57.14,64,112,-65,-11.00
91,0,23623,Bo Van Pelt,57.14,56,98,-60,+1.00
91,0,25804,Bubba Watson,57.14,96,168,-101,+2.00
95,0,29479,Scott Brown,57.01,61,107,-66,E
96,0,08725,Tom Gillis,56.96,45,79,-47,-8.00
97,0,29221,Webb Simpson,56.94,82,144,-86,-19.00
98,0,12510,Chad Campbell,56.92,74,130,-80,-15.00
99,0,35139,Richard Lee,56.84,54,95,-56,-29.00
100,0,22913,John Rollins,56.82,75,132,-78,-3.00
101,0,20160,Charlie Wi,56.63,47,83,-51,-7.00
102,0,01320,Bob Estes,56.58,43,76,-46,-27.00
103,0,27120,Troy Matteson,56.57,56,99,-61,-2.00
104,0,24024,Zach Johnson,56.36,62,110,-65,-21.00
105,0,27936,Martin Laird,56.31,58,103,-65,-1.00
106,0,30926,Chris Kirk,56.25,81,144,-94,-6.00
107,0,33461,Morgan Hoffmann,56.12,55,98,-59,-6.00
108,0,19846,Brian Gay,55.88,38,68,-38,-14.00
109,0,28237,Rory McIlroy,55.56,60,108,-65,+5.00
109,0,34046,Jordan Spieth,55.56,75,135,-85,-3.00
109,0,22295,Darron Stiles,55.56,25,45,-28,-11.00
112,0,24781,Hunter Mahan,55.49,91,164,-94,-13.00
113,0,25818,Scott Piercy,55.48,81,146,-87,-2.00
114,0,27503,Steve LeBrun,55.42,46,83,-49,-10.00
115,0,29425,Andrew Svoboda,55.38,36,65,-40,-2.00
116,0,32334,Charlie Beljan,55.37,67,121,-70,+12.00
116,0,24361,Pat Perez,55.37,67,121,-70,E
118,0,10423,Mike Weir,55.36,31,56,-31,-18.00
119,0,30110,Kyle Stanley,55.15,91,165,-101,+8.00
120,0,01116,Michael Bradley,55.10,27,49,-27,-4.00
121,0,28259,Sangmoon Bae,55.08,65,118,-67,+1.00
121,0,25900,Lucas Glover,55.08,65,118,-70,-4.00
123,0,08075,Jerry Kelly,55.06,49,89,-53,-16.00
124,0,27095,Nick Watney,54.97,83,151,-89,-20.00
125,0,23409,James Driscoll,54.55,54,99,-55,-3.00
125,0,21731,Freddie Jacobson,54.55,42,77,-47,-18.00
125,0,28310,Lee Williams,54.55,30,55,-31,-20.00
128,0,29289,S.Y. Noh,54.47,67,123,-69,+18.00
129,0,27933,John Merrick,54.21,58,107,-66,-26.00
130,0,30750,Tommy Gainey,54.20,71,131,-73,-3.00
131,0,23353,J.J. Henry,54.05,60,111,-65,-11.00
132,0,27644,Brian Harman,53.96,75,139,-82,+1.00
133,0,26679,Kevin Stadler,53.85,84,156,-91,-9.00
134,0,21878,Mark Wilson,53.73,36,67,-38,-21.00
135,0,34174,John Huh,53.52,76,142,-81,-2.00
136,0,20766,Padraig Harrington,53.25,41,77,-44,E
137,0,28307,Matt Every,53.04,96,181,-103,+7.00
138,0,06567,Vijay Singh,52.94,45,85,-46,E
139,0,24138,Ian Poulter,52.86,37,70,-39,-11.00
140,0,23452,Nicolas Colsaerts,52.78,38,72,-41,+1.00
141,0,24358,Robert Garrigus,52.70,78,148,-81,+9.00
141,0,10860,Justin Leonard,52.70,39,74,-43,-39.00
143,0,24357,K.J. Choi,52.56,41,78,-43,-38.00
144,0,22378,Trevor Immelman,52.50,42,80,-42,-8.00
145,0,20104,Ken Duke,52.44,43,82,-45,-19.00
146,0,20848,Ángel Cabrera,52.31,68,130,-70,+4.00
147,0,34431,Robert Streb,52.21,59,113,-61,+1.00
148,0,23788,D.J. Trahan,52.11,37,71,-39,-2.00
149,0,37273,Derek Ernst,52.08,50,96,-53,+1.00
150,0,26497,Casey Wittenberg,51.90,41,79,-42,+2.00
151,0,20098,Stuart Appleby,51.85,56,108,-59,-20.00
152,0,28780,Nicholas Thompson,51.57,82,159,-89,-3.00
