RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,47959,Bryson DeChambeau,29.23,228,780
2,0,46970,Jon Rahm,28.65,245,855
3,0,28237,Rory McIlroy,28.32,224,791
4,0,34046,Jordan Spieth,28.21,248,879
5,0,33448,Justin Thomas,28.10,236,840
6,0,29221,Webb Simpson,28.08,228,812
7,0,30944,Jason Kokrak,27.90,277,993
8,0,36689,Brooks Koepka,27.50,173,629
9,0,47504,Sam Burns,27.48,258,939
10,0,35891,Cameron Smith,27.44,242,882
11,0,46046,Scottie Scheffler,27.43,302,1101
12,0,48081,Xander Schauffele,27.32,218,798
13,0,24502,Adam Scott,27.26,202,741
14,0,35450,Patrick Cantlay,27.12,240,885
15,0,12716,Charley Hoffman,27.10,264,974
16,0,45486,Joaquin Niemann,27.03,306,1132
17,0,30925,Dustin Johnson,26.91,204,758
18,0,34099,Harris English,26.65,278,1043
19,0,45157,Cam Davis,26.54,288,1085
20,0,49960,Sepp Straka,26.20,246,939
21,0,50525,Collin Morikawa,26.16,242,925
22,0,46717,Viktor Hovland,25.87,239,924
23,0,34363,Tyrrell Hatton,25.85,159,615
24,0,29725,Tony Finau,25.84,230,890
25,0,39977,Max Homa,25.76,221,858
26,0,25364,Paul Casey,25.74,200,777
27,0,25396,Kevin Na,25.65,266,1037
28,0,33597,Harry Higgs,25.57,235,919
29,0,34360,Patrick Reed,25.53,217,850
30,0,45526,Abraham Ancer,25.43,293,1152
31,0,33667,Carlos Ortiz,25.28,270,1068
32,0,40006,Erik van Rooyen,25.25,224,887
33,0,21209,Sergio Garcia,25.20,219,869
34,0,32448,James Hahn,25.18,210,834
35,0,33419,Cameron Tringale,25.12,267,1063
36,0,28252,Seamus Power,25.09,139,554
37,0,49964,Aaron Wise,25.06,224,894
38,0,40026,Daniel Berger,25.05,249,994
39,0,32757,Patton Kizzire,25.02,286,1143
40,0,32839,Hideki Matsuyama,24.98,273,1093
