RANK,MOVEMENT,PLAYER_ID,PLAYER,PUTTS MADE
1,0,34046,Jordan Spieth,7.5
2,0,24502,Adam Scott,7.1
3,0,32102,Rickie Fowler,7.0
4,0,36689,Brooks Koepka,6.9
4,0,25572,Graeme McDowell,6.9
6,0,47959,Bryson DeChambeau,6.8
6,0,28237,Rory McIlroy,6.8
6,0,22405,Justin Rose,6.8
9,0,24138,Ian Poulter,6.7
9,0,29221,Webb Simpson,6.7
11,0,26951,Johnson Wagner,6.6
12,0,34256,Andrew Putnam,6.5
13,0,28089,Jason Day,6.4
13,0,29420,Billy Horschel,6.4
13,0,30925,Dustin Johnson,6.4
13,0,30944,Jason Kokrak,6.4
13,0,37275,Sam Ryder,6.4
13,0,23325,Vaughn Taylor,6.4
19,0,25900,Lucas Glover,6.3
19,0,29478,Kevin Kisner,6.3
21,0,32839,Hideki Matsuyama,6.2
21,0,27649,Brandt Snedeker,6.2
23,0,26851,Marc Leishman,6.1
23,0,26329,Louis Oosthuizen,6.1
23,0,46970,Jon Rahm,6.1
23,0,48081,Xander Schauffele,6.1
23,0,31323,Gary Woodland,6.1
28,0,33448,Justin Thomas,6.0
29,0,47128,Richy Werenski,5.9
30,0,35450,Patrick Cantlay,5.8
30,0,35461,Beau Hossler,5.8
30,0,39971,Sungjae Im,5.8
30,0,47993,Denny McCarthy,5.8
30,0,34360,Patrick Reed,5.8
30,0,23621,Rory Sabbatini,5.8
36,0,40098,Matt Fitzpatrick,5.7
36,0,25198,Francesco Molinari,5.7
36,0,25818,Scott Piercy,5.7
39,0,19803,Ryan Armour,5.6
39,0,25364,Paul Casey,5.6
39,0,30911,Tommy Fleetwood,5.6
39,0,23108,Matt Kuchar,5.6
39,0,49771,J.T. Poston,5.6
39,0,26476,Chez Reavie,5.6
39,0,47347,Adam Schenk,5.6
46,0,45526,Abraham Ancer,5.5
46,0,32200,Roberto Castro,5.5
46,0,21961,Charles Howell III,5.5
46,0,27974,Sung Kang,5.5
46,0,49960,Sepp Straka,5.5
46,0,31560,Brian Stuard,5.5
46,0,25493,Nick Taylor,5.5
53,0,32757,Patton Kizzire,5.4
53,0,28775,Nate Lashley,5.4
53,0,29926,Danny Lee,5.4
53,0,37380,Curtis Luck,5.4
53,0,25396,Kevin Na,5.4
53,0,45486,Joaquin Niemann,5.4
53,0,27556,Ted Potter Jr.,5.4
53,0,36699,Patrick Rodgers,5.4
61,0,34099,Harris English,5.3
61,0,29725,Tony Finau,5.3
61,0,33399,Adam Hadwin,5.3
61,0,24024,Zach Johnson,5.3
61,0,34466,Peter Malnati,5.3
61,0,21528,Henrik Stenson,5.3
67,0,27958,Ryan Blaum,5.2
67,0,26499,Rafa Cabrera Bello,5.2
67,0,39977,Max Homa,5.2
67,0,27936,Martin Laird,5.2
67,0,26596,Ryan Moore,5.2
67,0,32150,Michael Thompson,5.2
67,0,27064,Jhonattan Vegas,5.2
74,0,22371,Aaron Baddeley,5.1
74,0,33141,Keegan Bradley,5.1
74,0,51766,Wyndham Clark,5.1
74,0,34076,Joel Dahmen,5.1
74,0,19846,Brian Gay,5.1
74,0,24361,Pat Perez,5.1
80,0,33486,Roger Sloan,5.0
80,0,37340,Chase Wright,5.0
82,0,30978,Kiradech Aphibarnrat,4.9
82,0,47504,Sam Burns,4.9
82,0,39997,Corey Conners,4.9
82,0,35376,Roberto Díaz,4.9
82,0,49766,Hank Lebioda,4.9
82,0,33419,Cameron Tringale,4.9
82,0,49964,Aaron Wise,4.9
89,0,27895,Jonas Blixt,4.8
