RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,20157,Retief Goosen,72.22,13,18
2,0,19972,José Coceres,70.83,17,24
3,0,20382,Stephen Leaney,69.23,18,26
3,0,02206,David Toms,69.23,18,26
3,0,02223,Bob Tway,69.23,18,26
6,0,06373,José María Olazábal,68.00,17,25
7,0,01457,Jay Haas,65.71,23,35
8,0,02214,Kirk Triplett,64.52,20,31
9,0,22046,Geoff Ogilvy,62.96,17,27
10,0,01249,John Daly,60.87,14,23
11,0,01378,David Frost,60.53,23,38
12,0,20098,Stuart Appleby,60.00,15,25
12,0,01938,David Peoples,60.00,21,35
14,0,24925,Jonathan Byrd,59.46,22,37
15,0,01810,Phil Mickelson,59.26,16,27
16,0,10885,Robert Allenby,59.09,13,22
17,0,01329,Brad Faxon,58.33,21,36
18,0,23614,Rich Beem,58.06,18,31
18,0,10912,Craig Perks,58.06,18,31
20,0,23541,Ben Crane,57.58,19,33
21,0,20229,Stewart Cink,57.14,32,56
21,0,21893,Brian Kortan,57.14,16,28
21,0,20580,Andre Stolz,57.14,16,28
24,0,12680,Shigeki Maruyama,56.67,17,30
24,0,01927,Dennis Paulson,56.67,17,30
26,0,01761,Len Mattiace,56.41,22,39
27,0,01157,Tom Byrum,56.25,18,32
27,0,01948,Tim Petrovic,56.25,18,32
27,0,20127,Chris Riley,56.25,18,32
30,0,12782,Tim Herron,56.00,14,25
31,0,20663,Brenden Pappas,55.81,24,43
32,0,01473,Todd Hamilton,55.56,20,36
32,0,12682,Hirofumi Miyase,55.56,15,27
34,0,01361,Dan Forsman,55.26,21,38
35,0,01261,Jay Delsing,55.00,11,20
35,0,02099,Scott Simpson,55.00,11,20
37,0,22405,Justin Rose,54.55,6,11
37,0,20645,John Senden,54.55,24,44
39,0,10107,Deane Pappas,54.17,13,24
39,0,06595,Kevin Sutherland,54.17,13,24
41,0,20593,Greg Chalmers,53.85,14,26
41,0,19825,Darren Clarke,53.85,14,26
41,0,23063,Scott Hend,53.85,14,26
44,0,07749,Brett Quigley,53.66,22,41
45,0,23552,Hank Kuehne,53.33,16,30
45,0,21959,Ted Purdy,53.33,16,30
45,0,24502,Adam Scott,53.33,8,15
48,0,21805,Harrison Frazar,52.63,10,19
