RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,27129,Luke List,60.60,303,500
2,0,21961,Charles Howell III,60.28,173,287
3,0,47856,Seth Reeves,59.25,221,373
4,0,34255,Joseph Bramlett,58.80,314,534
5,0,32366,Kevin Chappell,58.76,218,371
6,0,40250,Taylor Pendrith,58.69,250,426
7,0,47529,Mito Pereira,58.66,288,491
8,0,45486,Joaquin Niemann,58.47,283,484
9,0,29725,Tony Finau,58.38,296,507
10,0,51890,Greyson Sigg,57.88,268,463
11,0,52374,Brandon Wu,57.84,225,389
12,0,48699,Callum Tarren,57.83,266,460
13,0,39997,Corey Conners,57.43,232,404
14,0,33448,Justin Thomas,57.26,276,482
15,0,46046,Scottie Scheffler,57.23,269,470
16,0,39953,Chase Seiffert,57.14,148,259
17,0,27064,Jhonattan Vegas,56.99,269,472
18,0,36699,Patrick Rodgers,56.92,329,578
19,0,32839,Hideki Matsuyama,56.80,234,412
20,0,47988,Nick Hardy,56.77,197,347
21,0,47483,Will Zalatoris,56.63,269,475
22,0,22056,Cameron Percy,56.60,133,235
23,0,29289,S.Y. Noh,56.58,245,433
23,0,46414,Aaron Rai,56.58,228,403
25,0,33204,Shane Lowry,56.55,177,313
26,0,46402,Talor Gooch,56.54,216,382
27,0,28237,Rory McIlroy,56.50,200,354
28,0,27095,Nick Watney,56.24,275,489
29,0,28252,Seamus Power,56.09,235,419
30,0,24502,Adam Scott,55.97,253,452
31,0,55708,Hayden Buckley,55.96,230,411
32,0,31323,Gary Woodland,55.93,231,413
33,0,34046,Jordan Spieth,55.77,256,459
34,0,27770,Camilo Villegas,55.72,224,402
35,0,34098,Russell Henley,55.62,198,356
36,0,28775,Nate Lashley,55.61,213,383
37,0,20229,Stewart Cink,55.56,240,432
38,0,23320,Ryan Palmer,55.50,222,400
39,0,51634,Sahith Theegala,55.46,401,723
40,0,46340,Alex Smalley,55.31,281,508
41,0,26300,Matt Jones,55.27,215,389
42,0,24980,Scott Gutschewski,55.14,177,321
43,0,34610,Matthias Schwab,55.08,217,394
44,0,27349,Alex Noren,55.04,213,387
45,0,36801,Mark Hubbard,54.99,193,351
46,0,40098,Matt Fitzpatrick,54.90,196,357
47,0,48081,Xander Schauffele,54.86,209,381
48,0,32448,James Hahn,54.62,207,379
49,0,49947,Taylor Moore,54.59,244,447
50,0,52372,Cameron Champ,54.57,179,328
51,0,35450,Patrick Cantlay,54.50,206,378
52,0,45540,Jared Wolfe,54.40,198,364
53,0,53165,Doc Redman,54.36,237,436
54,0,51997,Andrew Novak,54.25,249,459
55,0,37212,Paul Barjon,54.21,219,404
56,0,39971,Sungjae Im,54.10,231,427
57,0,51766,Wyndham Clark,54.09,344,636
58,0,48117,Kurt Kitayama,54.04,254,470
59,0,54628,Lee Hodges,53.75,265,493
60,0,35461,Beau Hossler,53.73,252,469
61,0,29518,Brendan Steele,53.69,211,393
62,0,29974,Branden Grace,53.66,154,287
63,0,47995,Davis Riley,53.63,266,496
64,0,30944,Jason Kokrak,53.61,178,332
65,0,54783,Dylan Wu,53.52,205,383
66,0,32662,Michael Gligic,53.48,215,402
67,0,57366,Cameron Young,53.46,255,477
68,0,24924,Bill Haas,53.45,294,550
69,0,33122,Russell Knox,53.43,218,408
