RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,46970,Jon Rahm,80.61,798,990,-261.00
2,0,29725,Tony Finau,78.87,1008,1278,-329.00
3,0,39997,Corey Conners,78.72,1006,1278,-301.00
4,0,48081,Xander Schauffele,78.36,804,1026,-294.00
5,0,39971,Sungjae Im,77.85,1051,1350,-351.00
6,0,47483,Will Zalatoris,77.49,795,1026,-267.00
7,0,40250,Taylor Pendrith,77.21,820,1062,-241.00
8,0,55708,Hayden Buckley,77.13,1069,1386,-302.00
9,0,46046,Scottie Scheffler,77.10,916,1188,-325.00
10,0,21961,Charles Howell III,77.07,652,846,-186.00
11,0,31646,Emiliano Grillo,76.75,967,1260,-319.00
12,0,50525,Collin Morikawa,76.74,663,864,-210.00
13,0,34255,Joseph Bramlett,76.45,922,1206,-250.00
14,0,39546,Keith Mitchell,76.00,985,1296,-302.00
15,0,29518,Brendan Steele,75.99,848,1116,-211.00
16,0,34098,Russell Henley,75.75,859,1134,-276.00
16,0,28237,Rory McIlroy,75.75,709,936,-266.00
18,0,33122,Russell Knox,75.60,1007,1332,-243.00
19,0,47529,Mito Pereira,75.56,1020,1350,-298.00
20,0,49964,Aaron Wise,75.54,1047,1386,-326.00
21,0,33448,Justin Thomas,75.50,829,1098,-309.00
22,0,50095,Austin Smotherman,75.49,856,1134,-264.00
23,0,45609,Tyler Duncan,75.38,882,1170,-267.00
24,0,32839,Hideki Matsuyama,75.24,772,1026,-269.00
25,0,46414,Aaron Rai,75.12,933,1242,-261.00
26,0,27129,Luke List,75.09,865,1152,-237.00
27,0,47504,Sam Burns,75.04,932,1242,-322.00
28,0,54628,Lee Hodges,74.97,1120,1494,-310.00
29,0,49947,Taylor Moore,74.86,1051,1404,-310.00
30,0,36801,Mark Hubbard,74.85,741,990,-225.00
31,0,32662,Michael Gligic,74.76,767,1026,-228.00
32,0,45540,Jared Wolfe,74.70,632,846,-168.00
33,0,35450,Patrick Cantlay,74.68,699,936,-263.00
34,0,28252,Seamus Power,74.58,792,1062,-254.00
35,0,33204,Shane Lowry,74.54,644,864,-183.00
36,0,27936,Martin Laird,74.41,817,1098,-196.00
37,0,46717,Viktor Hovland,74.40,750,1008,-262.00
38,0,39977,Max Homa,74.37,937,1260,-332.00
39,0,25900,Lucas Glover,74.32,1097,1476,-302.00
40,0,36871,Matthew NeSmith,74.29,1043,1404,-279.00
41,0,24502,Adam Scott,74.16,841,1134,-275.00
42,0,45486,Joaquin Niemann,74.14,774,1044,-262.00
43,0,28775,Nate Lashley,74.13,814,1098,-251.00
43,0,22056,Cameron Percy,74.13,427,576,-123.00
43,0,34046,Jordan Spieth,74.13,814,1098,-268.00
46,0,52372,Cameron Champ,74.11,627,846,-189.00
46,0,52374,Brandon Wu,74.11,667,900,-197.00
48,0,34264,Hudson Swafford,73.96,639,864,-214.00
49,0,47988,Nick Hardy,73.95,599,810,-181.00
50,0,36326,David Lipsky,73.92,958,1296,-267.00
51,0,30926,Chris Kirk,73.90,838,1134,-263.00
52,0,23320,Ryan Palmer,73.89,665,900,-186.00
53,0,37189,Harold Varner III,73.88,758,1026,-234.00
54,0,37455,Si Woo Kim,73.87,1077,1458,-335.00
55,0,24980,Scott Gutschewski,73.83,505,684,-142.00
56,0,35532,Tom Hoge,73.80,983,1332,-290.00
57,0,46402,Talor Gooch,73.74,730,990,-258.00
58,0,27064,Jhonattan Vegas,73.63,782,1062,-235.00
59,0,27214,Kevin Streelman,73.61,1060,1440,-295.00
60,0,36699,Patrick Rodgers,73.59,914,1242,-269.00
61,0,47856,Seth Reeves,73.58,649,882,-198.00
61,0,48887,Matt Wallace,73.58,649,882,-190.00
63,0,33399,Adam Hadwin,73.54,1006,1368,-304.00
64,0,51890,Greyson Sigg,73.53,953,1296,-263.00
65,0,46340,Alex Smalley,73.41,991,1350,-273.00
66,0,34563,Chesson Hadley,73.35,845,1152,-256.00
67,0,49771,J.T. Poston,73.33,1056,1440,-310.00
68,0,45157,Cam Davis,73.32,1003,1368,-355.00
69,0,46601,Trey Mullinax,73.23,870,1188,-304.00
70,0,29420,Billy Horschel,73.13,724,990,-226.00
71,0,31323,Gary Woodland,73.12,737,1008,-218.00
72,0,45526,Abraham Ancer,73.07,605,828,-183.00
73,0,20229,Stewart Cink,73.06,868,1188,-251.00
73,0,33419,Cameron Tringale,73.06,960,1314,-285.00
75,0,29478,Kevin Kisner,73.03,723,990,-217.00
76,0,26851,Marc Leishman,73.02,828,1134,-281.00
76,0,35891,Cameron Smith,73.02,644,882,-251.00
78,0,24925,Jonathan Byrd,73.00,565,774,-153.00
79,0,46435,Austin Cook,72.96,696,954,-193.00
79,0,30163,Henrik Norlander,72.96,788,1080,-192.00
81,0,34174,John Huh,72.95,801,1098,-248.00
82,0,33141,Keegan Bradley,72.90,866,1188,-280.00
82,0,47995,Davis Riley,72.90,1076,1476,-355.00
84,0,19803,Ryan Armour,72.86,459,630,-119.00
84,0,29535,Brice Garnett,72.86,800,1098,-217.00
86,0,27349,Alex Noren,72.80,629,864,-191.00
87,0,39324,J.J. Spaun,72.75,956,1314,-296.00
88,0,23325,Vaughn Taylor,72.64,523,720,-144.00
88,0,40006,Erik van Rooyen,72.64,523,720,-165.00
90,0,48822,Sebastián Muñoz,72.62,902,1242,-272.00
90,0,40115,Adam Svensson,72.62,1098,1512,-351.00
92,0,34076,Joel Dahmen,72.60,967,1332,-282.00
93,0,26300,Matt Jones,72.55,666,918,-216.00
94,0,48699,Callum Tarren,72.53,705,972,-226.00
95,0,22405,Justin Rose,72.51,496,684,-145.00
96,0,53165,Doc Redman,72.49,822,1134,-222.00
97,0,29974,Branden Grace,72.48,561,774,-152.00
98,0,40098,Matt Fitzpatrick,72.45,626,864,-192.00
99,0,51997,Andrew Novak,72.43,704,972,-177.00
100,0,45522,Christiaan Bezuidenhout,72.42,717,990,-201.00
101,0,37212,Paul Barjon,72.40,821,1134,-256.00
102,0,49960,Sepp Straka,72.37,964,1332,-273.00
103,0,32791,K.H. Lee,72.35,1120,1548,-351.00
104,0,52375,Doug Ghim,72.30,885,1224,-227.00
105,0,54421,Garrick Higgo,72.22,494,684,-138.00
105,0,39953,Chase Seiffert,72.22,481,666,-116.00
107,0,27644,Brian Harman,72.08,986,1368,-288.00
107,0,37275,Sam Ryder,72.08,1012,1404,-300.00
109,0,57366,Cameron Young,72.06,908,1260,-339.00
110,0,46442,Maverick McNealy,71.99,946,1314,-344.00
111,0,31557,Jim Herman,71.96,557,774,-121.00
112,0,32448,James Hahn,71.94,777,1080,-226.00
113,0,48117,Kurt Kitayama,71.86,595,828,-183.00
114,0,51634,Sahith Theegala,71.81,1228,1710,-389.00
115,0,30944,Jason Kokrak,71.79,659,918,-217.00
116,0,32816,Satoshi Kodaira,71.68,529,738,-169.00
116,0,54783,Dylan Wu,71.68,658,918,-171.00
118,0,34610,Matthias Schwab,71.62,709,990,-189.00
119,0,40162,Justin Lower,71.50,695,972,-207.00
120,0,35449,Adam Long,71.49,978,1368,-258.00
121,0,49298,Kramer Hickok,71.40,951,1332,-249.00
122,0,32757,Patton Kizzire,71.34,1053,1476,-310.00
123,0,51766,Wyndham Clark,71.33,963,1350,-313.00
123,0,27095,Nick Watney,71.33,796,1116,-190.00
125,0,29289,S.Y. Noh,71.26,590,828,-179.00
125,0,34256,Andrew Putnam,71.26,1039,1458,-289.00
127,0,27974,Sung Kang,71.24,795,1116,-229.00
127,0,49766,Hank Lebioda,71.24,872,1224,-242.00
129,0,26476,Chez Reavie,71.19,961,1350,-241.00
130,0,35310,Lanto Griffin,71.16,871,1224,-270.00
131,0,28089,Jason Day,71.13,653,918,-206.00
131,0,29908,C.T. Pan,71.13,909,1278,-251.00
133,0,12716,Charley Hoffman,71.07,742,1044,-239.00
134,0,33490,Bo Hoag,71.02,473,666,-131.00
135,0,36884,Ben Kohles,70.86,574,810,-178.00
136,0,32366,Kevin Chappell,70.83,561,792,-161.00
137,0,47347,Adam Schenk,70.78,981,1386,-260.00
138,0,23983,Luke Donald,70.73,662,936,-190.00
139,0,27139,David Skinns,70.62,661,936,-222.00
140,0,30911,Tommy Fleetwood,70.56,508,720,-159.00
141,0,47983,Chad Ramey,70.51,698,990,-199.00
142,0,35110,Brett Drewitt,70.50,533,756,-131.00
142,0,30692,Scott Stallings,70.50,1066,1512,-331.00
142,0,32139,Danny Willett,70.50,533,756,-144.00
145,0,30927,Brendon Todd,70.48,888,1260,-263.00
146,0,46550,Brandon Hagy,70.46,761,1080,-238.00
147,0,32150,Michael Thompson,70.42,938,1332,-284.00
148,0,30978,Kiradech Aphibarnrat,70.37,456,648,-137.00
149,0,31420,Anirban Lahiri,70.28,759,1080,-215.00
150,0,35879,Kelly Kraft,70.27,721,1026,-213.00
151,0,36689,Brooks Koepka,70.23,493,702,-172.00
152,0,33667,Carlos Ortiz,70.19,657,936,-200.00
152,0,29221,Webb Simpson,70.19,657,936,-206.00
154,0,34431,Robert Streb,70.09,921,1314,-266.00
155,0,36852,Jim Knous,70.06,454,648,-133.00
156,0,34466,Peter Malnati,70.05,1097,1566,-354.00
157,0,23108,Matt Kuchar,69.81,754,1080,-226.00
158,0,27649,Brandt Snedeker,69.73,615,882,-153.00
159,0,27770,Camilo Villegas,69.61,639,918,-169.00
160,0,33486,Roger Sloan,69.53,776,1116,-229.00
161,0,24024,Zach Johnson,69.49,688,990,-187.00
162,0,47993,Denny McCarthy,69.48,1088,1566,-306.00
163,0,32333,Kevin Tway,69.40,837,1206,-216.00
164,0,29970,Dylan Frittelli,69.33,911,1314,-250.00
165,0,25818,Scott Piercy,69.32,836,1206,-249.00
166,0,35461,Beau Hossler,69.23,810,1170,-237.00
167,0,28114,Dawie van der Walt,69.21,598,864,-156.00
168,0,24924,Bill Haas,69.04,845,1224,-214.00
169,0,36799,Stephan Jaeger,69.03,907,1314,-287.00
170,0,23621,Rory Sabbatini,69.00,621,900,-201.00
170,0,31560,Brian Stuard,69.00,857,1242,-187.00
172,0,24361,Pat Perez,68.95,633,918,-189.00
173,0,32640,Troy Merritt,68.84,917,1332,-278.00
174,0,25686,Jason Dufner,68.80,483,702,-110.00
175,0,25493,Nick Taylor,68.68,853,1242,-218.00
176,0,32102,Rickie Fowler,68.55,691,1008,-204.00
177,0,51894,Vince Whaley,68.33,824,1206,-282.00
178,0,51950,Max McGreevy,68.25,688,1008,-183.00
179,0,35617,Martin Trainer,68.01,759,1116,-232.00
180,0,25198,Francesco Molinari,67.64,487,720,-149.00
181,0,34363,Tyrrell Hatton,67.48,583,864,-206.00
182,0,10381,Curtis Thompson,67.42,534,792,-146.00
183,0,39436,Joshua Creel,67.27,448,666,-118.00
184,0,33597,Harry Higgs,67.24,823,1224,-228.00
185,0,47128,Richy Werenski,66.88,614,918,-184.00
186,0,29926,Danny Lee,66.81,481,720,-144.00
187,0,35506,Mackenzie Hughes,66.58,791,1188,-232.00
188,0,48084,Wesley Bryan,66.24,465,702,-148.00
189,0,34360,Patrick Reed,66.23,608,918,-162.00
190,0,56278,Matthew Wolff,66.08,452,684,-149.00
191,0,24138,Ian Poulter,65.74,426,648,-124.00
192,0,27895,Jonas Blixt,64.55,488,756,-146.00
193,0,39058,Lucas Herbert,61.53,443,720,-157.00
