RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,23983,Luke Donald,70.00,42,60,-42,-17.00
2,0,07749,Brett Quigley,67.83,97,143,-103,-9.00
3,0,23621,Rory Sabbatini,66.23,102,154,-106,-1.00
4,0,22405,Justin Rose,64.96,76,117,-77,-14.00
5,0,32640,Troy Merritt,64.83,94,145,-101,+5.00
6,0,06527,Steve Stricker,64.29,54,84,-59,-30.00
7,0,23623,Bo Van Pelt,64.13,118,184,-124,-15.00
8,0,24361,Pat Perez,63.92,101,158,-104,E
9,0,20766,Padraig Harrington,63.86,53,83,-58,-10.00
10,0,25364,Paul Casey,63.75,51,80,-58,-11.00
11,0,27060,John Mallinger,63.64,63,99,-67,-4.00
12,0,21961,Charles Howell III,63.58,103,162,-108,-16.00
13,0,23108,Matt Kuchar,63.57,89,140,-94,-28.00
14,0,23613,Rich Barcelo,63.53,54,85,-60,+11.00
15,0,25804,Bubba Watson,63.47,106,167,-117,+3.00
16,0,24925,Jonathan Byrd,63.45,92,145,-98,-4.00
17,0,30946,Alex Prugh,63.19,103,163,-113,+4.00
18,0,27933,John Merrick,62.94,107,170,-110,-17.00
19,0,20157,Retief Goosen,62.62,67,107,-70,-16.00
20,0,20850,Daniel Chopra,62.60,82,131,-87,-9.00
21,0,24357,K.J. Choi,62.50,55,88,-59,-24.00
22,0,08725,Tom Gillis,62.22,112,180,-120,-26.00
23,0,25892,Steve Wheatcroft,62.14,64,103,-66,+5.00
24,0,27963,Chris Stroud,61.98,75,121,-77,-5.00
25,0,28158,Steve Marino,61.86,73,118,-77,-3.00
26,0,20070,Matt Bettencourt,61.81,89,144,-103,-1.00
27,0,01706,Davis Love III,61.65,82,133,-88,-19.00
28,0,12705,Cliff Kresge,61.29,38,62,-41,-7.00
29,0,27141,J.B. Holmes,61.19,134,219,-146,E
30,0,25396,Kevin Na,61.16,74,121,-77,-18.00
31,0,29221,Webb Simpson,61.07,80,131,-83,-34.00
32,0,08375,Paul Stankowski,61.05,58,95,-59,-7.00
33,0,27770,Camilo Villegas,61.02,72,118,-77,-2.00
34,0,01810,Phil Mickelson,60.96,89,146,-94,-5.00
35,0,23638,Brendon de Jonge,60.90,95,156,-103,-13.00
36,0,26300,Matt Jones,60.76,96,158,-104,-11.00
37,0,22378,Trevor Immelman,60.71,34,56,-37,-6.00
38,0,24490,George McNeill,60.63,77,127,-82,+1.00
39,0,24140,Sean O'Hair,60.31,79,131,-86,-3.00
40,0,10860,Justin Leonard,60.27,44,73,-47,-23.00
41,0,01320,Bob Estes,60.20,59,98,-61,-11.00
42,0,20498,Briny Baird,60.18,68,113,-72,-26.00
43,0,10885,Robert Allenby,60.17,71,118,-77,-11.00
44,0,10423,Mike Weir,60.00,33,55,-37,-6.00
45,0,26951,Johnson Wagner,59.83,70,117,-73,-5.00
46,0,06522,Ernie Els,59.81,64,107,-66,-13.00
47,0,27436,Graham DeLaet,59.78,107,179,-112,+9.00
48,0,07457,Steve Flesch,59.77,52,87,-58,-24.00
49,0,27302,Garth Mulroy,59.57,56,94,-60,-6.00
50,0,12716,Charley Hoffman,59.47,113,190,-121,-3.00
51,0,26851,Marc Leishman,59.44,85,143,-88,-7.00
52,0,25900,Lucas Glover,59.26,80,135,-85,+1.00
52,0,01797,Rocco Mediate,59.26,48,81,-50,-16.00
54,0,08537,J.P. Hayes,59.14,55,93,-60,-21.00
55,0,26882,Michael Sim,58.90,43,73,-44,-1.00
56,0,10809,Jim Furyk,58.82,50,85,-52,-24.00
56,0,23325,Vaughn Taylor,58.82,80,136,-84,-25.00
58,0,27936,Martin Laird,58.73,111,189,-122,E
59,0,27095,Nick Watney,58.64,95,162,-102,-4.00
60,0,23718,Nathan Green,58.47,69,118,-71,-5.00
61,0,27330,Josh Teater,58.43,97,166,-102,-3.00
62,0,21209,Sergio Garcia,58.33,42,72,-42,-3.00
63,0,21949,Joe Ogilvie,58.28,88,151,-95,-18.00
63,0,22913,John Rollins,58.28,95,163,-100,-9.00
65,0,07867,Woody Austin,58.27,74,127,-80,-22.00
66,0,20098,Stuart Appleby,58.22,85,146,-91,-9.00
67,0,22371,Aaron Baddeley,58.14,125,215,-136,-3.00
67,0,20229,Stewart Cink,58.14,75,129,-79,-16.00
69,0,23135,Tim Clark,58.06,36,62,-37,-45.00
