RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,01706,Davis Love III,19.5,93193.000,133
2,0,24358,Robert Garrigus,20.0,107338.000,149
2,0,12705,Cliff Kresge,20.0,44625.000,62
4,0,23135,Tim Clark,20.2,45034.000,62
5,0,01810,Phil Mickelson,20.4,107362.000,146
6,0,06527,Steve Stricker,20.8,62818.000,84
7,0,30925,Dustin Johnson,20.9,133381.000,177
8,0,27302,Garth Mulroy,21.1,71431.000,94
9,0,27436,Graham DeLaet,21.3,137346.000,179
10,0,27214,Kevin Streelman,21.4,121488.000,158
10,0,23623,Bo Van Pelt,21.4,141870.000,184
12,0,11123,Chris Couch,21.6,111240.000,143
12,0,22378,Trevor Immelman,21.6,43541.000,56
12,0,23320,Ryan Palmer,21.6,107064.000,138
15,0,23638,Brendon de Jonge,21.7,122144.000,156
16,0,23349,Charles Warren,21.8,103403.000,132
17,0,12716,Charley Hoffman,21.9,149456.000,190
18,0,20229,Stewart Cink,22.0,102341.000,129
18,0,23108,Matt Kuchar,22.0,110698.000,140
20,0,10885,Robert Allenby,22.1,93817.000,118
20,0,24502,Adam Scott,22.1,89162.000,112
22,0,33419,Cameron Tringale,22.2,73399.000,92
23,0,25364,Paul Casey,22.3,64288.000,80
23,0,25686,Jason Dufner,22.3,99669.000,124
23,0,26851,Marc Leishman,22.3,114970.000,143
23,0,07749,Brett Quigley,22.3,114641.000,143
23,0,25804,Bubba Watson,22.3,133851.000,167
28,0,22946,Henrik Bjornstad,22.5,102002.000,126
29,0,26881,Jarrod Lyle,22.6,70803.000,87
29,0,06595,Kevin Sutherland,22.6,110783.000,136
29,0,27770,Camilo Villegas,22.6,96133.000,118
32,0,01161,Mark Calcavecchia,22.7,52239.000,64
32,0,27141,J.B. Holmes,22.7,179073.000,219
32,0,01945,Kenny Perry,22.7,84832.000,104
32,0,26287,Roland Thatcher,22.7,103172.000,126
