RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,23983,Luke Donald,102.07,823,32,808
2,0,23541,Ben Crane,102.00,1101,43,1080
3,0,01329,Brad Faxon,101.95,718,31,701
4,0,20593,Greg Chalmers,101.87,962,41,939
5,0,08793,Tiger Woods,101.48,676,23,663
6,0,10809,Jim Furyk,101.22,901,29,883
7,0,21731,Freddie Jacobson,101.19,1011,31,992
8,0,01945,Kenny Perry,101.18,1014,37,989
9,0,27466,Spencer Levin,101.17,939,38,912
10,0,19846,Brian Gay,101.15,1130,45,1098
11,0,23108,Matt Kuchar,100.94,961,32,938
12,0,01928,Corey Pavin,100.80,750,24,732
13,0,22621,Ben Curtis,100.75,669,23,651
13,0,25396,Kevin Na,100.75,1071,41,1038
13,0,22046,Geoff Ogilvy,100.75,800,28,778
16,0,01948,Tim Petrovic,100.57,1220,39,1188
17,0,08075,Jerry Kelly,100.55,1088,35,1059
18,0,22371,Aaron Baddeley,100.50,802,31,775
19,0,10117,Bob Heintz,100.42,716,26,693
20,0,01142,Bart Bryant,100.40,756,23,736
20,0,21959,Ted Purdy,100.40,1257,60,1202
22,0,26420,Richard Johnson,100.38,1057,35,1026
23,0,26301,James Nitties,100.37,1079,38,1045
24,0,24024,Zach Johnson,100.36,1110,39,1075
25,0,23320,Ryan Palmer,100.31,981,30,954
26,0,28475,Jeff Overton,100.28,1060,37,1026
27,0,24449,Parker McLachlin,100.22,910,37,875
28,0,26300,Matt Jones,100.16,634,18,617
29,0,06527,Steve Stricker,100.11,883,29,855
30,0,12652,Cameron Beckman,100.09,1072,39,1034
30,0,20160,Charlie Wi,100.09,1111,35,1077
32,0,23718,Nathan Green,100.08,1286,37,1250
32,0,23353,J.J. Henry,100.08,1209,37,1173
34,0,23778,Brad Adamonis,100.00,878,23,855
34,0,20157,Retief Goosen,100.00,799,18,781
34,0,24924,Bill Haas,100.00,1181,40,1141
