RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,36689,Brooks Koepka,$461143,9684006
2,0,28237,Rory McIlroy,$409752,7785286
3,0,52215,Robert MacIntyre,$313000,313000
4,0,35450,Patrick Cantlay,$291499,6121488
5,0,30925,Dustin Johnson,$291296,5534619
6,0,23108,Matt Kuchar,$286122,6294690
7,0,48081,Xander Schauffele,$267117,5609456
8,0,08793,Tiger Woods,$266635,3199615
9,0,22405,Justin Rose,$256403,4358849
10,0,33448,Justin Thomas,$250654,5013084
11,0,46970,Jon Rahm,$249505,4990110
12,0,33204,Shane Lowry,$249293,3490098
13,0,31323,Gary Woodland,$237124,5690965
14,0,25198,Francesco Molinari,$231143,3467143
15,0,24502,Adam Scott,$226919,4084541
16,0,29221,Webb Simpson,$223361,4690572
17,0,30911,Tommy Fleetwood,$214092,3853651
18,0,32102,Rickie Fowler,$197290,3945810
19,0,50525,Collin Morikawa,$194988,1754890
20,0,25364,Paul Casey,$193502,4257040
21,0,26851,Marc Leishman,$185075,3886577
22,0,56278,Matthew Wolff,$173804,1390433
23,0,29725,Tony Finau,$173775,4344380
24,0,53165,Doc Redman,$167215,1003290
25,0,47959,Bryson DeChambeau,$151725,3186232
26,0,34360,Patrick Reed,$143754,3593844
27,0,29478,Kevin Kisner,$139566,3489144
28,0,32839,Hideki Matsuyama,$138964,3335137
29,0,23320,Ryan Palmer,$136825,2873316
30,0,26329,Louis Oosthuizen,$133641,2539183
31,0,26476,Chez Reavie,$130747,3660909
32,0,10809,Jim Furyk,$127140,2669938
33,0,20396,Lee Westwood,$125875,503500
34,0,28089,Jason Day,$125594,2637480
35,0,01810,Phil Mickelson,$122011,2440221
36,0,24138,Ian Poulter,$120128,2162306
37,0,21209,Sergio Garcia,$119535,1793027
38,0,25396,Kevin Na,$118806,2257309
39,0,27649,Brandt Snedeker,$115664,3122936
40,0,21961,Charles Howell III,$112557,3039049
41,0,25818,Scott Piercy,$111663,2679915
42,0,40098,Matt Fitzpatrick,$110982,1553750
43,0,34256,Andrew Putnam,$106049,2439137
44,0,48887,Matt Wallace,$105617,1267400
45,0,39997,Corey Conners,$104281,2919864
46,0,27974,Sung Kang,$103765,2801650
47,0,26499,Rafa Cabrera Bello,$101418,1926935
48,0,25900,Lucas Glover,$100537,2613965
49,0,45526,Abraham Ancer,$99579,2688625
50,0,34709,Eddie Pepperell,$98854,889686
51,0,30944,Jason Kokrak,$97092,2330212
52,0,28775,Nate Lashley,$96680,2030287
53,0,47238,Jazz Janewattananond,$95833,191665
54,0,29908,C.T. Pan,$94496,2362399
55,0,21528,Henrik Stenson,$93158,1397370
56,0,39546,Keith Mitchell,$92514,2405360
57,0,34046,Jordan Spieth,$92356,2124192
58,0,23621,Rory Sabbatini,$91627,2382298
59,0,33948,Byeong Hun An,$90456,1990033
60,0,34363,Tyrrell Hatton,$89259,1517396
61,0,32333,Kevin Tway,$88463,2300050
62,0,28307,Matt Every,$88322,1413149
