RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,32816,Satoshi Kodaira,20.84%,124,595,+0.48
2,0,34098,Russell Henley,21.79%,222,1019,+1.53
3,0,37455,Si Woo Kim,22.16%,265,1196,+0.94
4,0,50525,Collin Morikawa,22.72%,197,867,+1.32
5,0,19803,Ryan Armour,23.33%,216,926,+0.93
6,0,35449,Adam Long,23.49%,281,1196,+1.28
7,0,46414,Aaron Rai,23.88%,289,1210,+0.93
8,0,30927,Brendon Todd,24.36%,293,1203,+0.85
9,0,26596,Ryan Moore,24.38%,218,894,+1.06
10,0,29221,Webb Simpson,25.03%,184,735,+1.03
11,0,27644,Brian Harman,25.07%,275,1097,+0.07
12,0,55182,Tom Kim,25.14%,266,1058,+0.64
13,0,55708,Hayden Buckley,25.39%,230,906,+0.83
14,0,31557,Jim Herman,25.40%,220,866,+1.59
15,0,45609,Tyler Duncan,25.64%,282,1100,+1.06
16,0,32640,Troy Merritt,25.67%,249,970,+1.00
17,0,33204,Shane Lowry,25.74%,200,777,+0.85
18,0,29420,Billy Horschel,25.79%,188,729,+1.17
19,0,25900,Lucas Glover,25.81%,288,1116,+0.42
20,0,34409,David Lingmerth,26.10%,213,816,+1.46
21,0,52375,Doug Ghim,26.19%,269,1027,+0.74
22,0,23320,Ryan Palmer,26.20%,235,897,+0.81
23,0,49960,Sepp Straka,26.26%,281,1070,+0.50
24,0,24024,Zach Johnson,26.32%,204,775,+1.27
25,0,35450,Patrick Cantlay,26.36%,228,865,-0.53
25,0,28089,Jason Day,26.36%,233,884,-0.17
27,0,23108,Matt Kuchar,26.52%,292,1101,+0.48
28,0,39546,Keith Mitchell,26.88%,275,1023,+1.02
29,0,26476,Chez Reavie,27.04%,322,1191,+1.37
30,0,45522,Christiaan Bezuidenhout,27.05%,297,1098,-0.03
31,0,34099,Harris English,27.08%,306,1130,+0.92
32,0,22405,Justin Rose,27.22%,202,742,+0.45
33,0,24140,Sean O'Hair,27.27%,117,429,+1.20
34,0,34076,Joel Dahmen,27.43%,277,1010,+0.61
35,0,30911,Tommy Fleetwood,27.49%,235,855,+0.89
35,0,35310,Lanto Griffin,27.49%,171,622,+1.05
37,0,57362,Austin Eckroat,27.60%,273,989,+0.95
38,0,33410,Andrew Landry,27.68%,243,878,+1.28
39,0,39324,J.J. Spaun,27.71%,322,1162,+0.75
40,0,52513,Carson Young,27.72%,288,1039,+0.87
41,0,39997,Corey Conners,27.74%,291,1049,+0.38
42,0,52955,Ludvig Åberg,27.80%,174,626,+0.23
43,0,40058,Zac Blair,27.84%,243,873,+1.73
43,0,47993,Denny McCarthy,27.84%,338,1214,+0.80
45,0,33399,Adam Hadwin,27.91%,314,1125,+0.86
46,0,34256,Andrew Putnam,27.96%,347,1241,+0.92
47,0,46717,Viktor Hovland,27.98%,272,972,+0.07
48,0,56630,Akshay Bhatia,28.04%,226,806,+0.71
49,0,47995,Davis Riley,28.07%,293,1044,+0.78
50,0,32448,James Hahn,28.16%,267,948,+0.64
51,0,39971,Sungjae Im,28.26%,336,1189,+0.51
52,0,40115,Adam Svensson,28.28%,407,1439,+0.93
53,0,28775,Nate Lashley,28.30%,330,1166,+0.18
54,0,29725,Tony Finau,28.34%,284,1002,+0.35
55,0,27936,Martin Laird,28.43%,267,939,+0.75
55,0,28252,Seamus Power,28.43%,257,904,+0.12
57,0,31646,Emiliano Grillo,28.56%,347,1215,+0.78
58,0,46435,Austin Cook,28.59%,221,773,+0.50
59,0,36871,Matt NeSmith,28.71%,335,1167,+0.63
60,0,47079,Harrison Endycott,28.72%,270,940,+0.74
60,0,29535,Brice Garnett,28.72%,251,874,+0.52
60,0,51890,Greyson Sigg,28.72%,355,1236,+0.85
63,0,35901,Paul Haley II,28.81%,274,951,+1.79
64,0,32839,Hideki Matsuyama,28.85%,281,974,+0.57
64,0,53165,Doc Redman,28.85%,268,929,+0.90
66,0,30163,Henrik Norlander,28.87%,272,942,+0.59
67,0,36326,David Lipsky,28.88%,324,1122,+1.02
68,0,34363,Tyrrell Hatton,29.01%,266,917,-0.11
69,0,24925,Jonathan Byrd,29.02%,148,510,+0.47
70,0,31202,William McGirt,29.07%,150,516,+1.60
71,0,49771,J.T. Poston,29.08%,346,1190,+0.58
71,0,50493,Justin Suh,29.08%,390,1341,+0.85
73,0,54628,Lee Hodges,29.12%,359,1233,+1.03
74,0,33122,Russell Knox,29.21%,340,1164,+1.32
75,0,50095,Austin Smotherman,29.30%,329,1123,+0.91
76,0,35879,Kelly Kraft,29.39%,298,1014,+0.70
76,0,48081,Xander Schauffele,29.39%,251,854,+0.80
78,0,49298,Kramer Hickok,29.42%,318,1081,+0.35
79,0,51349,Nico Echavarria,29.43%,221,751,+0.63
80,0,33141,Keegan Bradley,29.51%,275,932,+0.98
81,0,32102,Rickie Fowler,29.54%,330,1117,+0.70
82,0,47983,Chad Ramey,29.55%,367,1242,+0.68
83,0,54783,Dylan Wu,29.62%,322,1087,+0.65
84,0,30926,Chris Kirk,29.64%,313,1056,+0.54
85,0,52372,Cameron Champ,29.73%,242,814,+0.33
86,0,34610,Matthias Schwab,29.84%,333,1116,+0.66
87,0,22056,Cameron Percy,29.94%,185,618,-0.05
88,0,45242,Kevin Yu,29.95%,198,661,+0.30
89,0,39977,Max Homa,30.03%,321,1069,+0.19
90,0,36801,Mark Hubbard,30.12%,372,1235,+0.59
91,0,56762,Will Gordon,30.15%,370,1227,+0.78
92,0,58696,Peter Kuest,30.19%,163,540,-0.43
93,0,51997,Andrew Novak,30.24%,284,939,+0.53
94,0,57366,Cameron Young,30.36%,283,932,+1.38
95,0,35532,Tom Hoge,30.40%,359,1181,+0.64
