RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,34098,Russell Henley,72.57%,852,1174
2,0,19803,Ryan Armour,71.10%,908,1277
3,0,32816,Satoshi Kodaira,71.00%,617,869
4,0,26596,Ryan Moore,70.15%,813,1159
5,0,25900,Lucas Glover,68.86%,962,1397
6,0,46414,Aaron Rai,68.72%,1002,1458
7,0,40058,Zac Blair,68.12%,735,1079
8,0,50525,Collin Morikawa,68.03%,766,1126
9,0,30927,Brendon Todd,67.92%,991,1459
10,0,52375,Doug Ghim,67.85%,880,1297
11,0,37455,Si Woo Kim,67.80%,941,1388
12,0,55182,Tom Kim,67.49%,845,1252
13,0,45609,Tyler Duncan,67.43%,886,1314
14,0,35449,Adam Long,67.28%,1057,1571
15,0,34409,David Lingmerth,67.00%,816,1218
16,0,27644,Brian Harman,66.82%,866,1296
17,0,35879,Kelly Kraft,66.69%,837,1255
18,0,31557,Jim Herman,65.92%,710,1077
19,0,24024,Zach Johnson,65.86%,623,946
20,0,32640,Troy Merritt,65.83%,842,1279
21,0,26476,Chez Reavie,65.80%,883,1342
22,0,27936,Martin Laird,65.79%,804,1222
23,0,35901,Paul Haley II,65.75%,841,1279
24,0,31202,William McGirt,65.72%,487,741
25,0,52513,Carson Young,65.58%,905,1380
26,0,35450,Patrick Cantlay,65.51%,659,1006
27,0,52955,Ludvig Åberg,65.47%,457,698
28,0,46435,Austin Cook,65.28%,771,1181
29,0,55708,Hayden Buckley,65.09%,759,1166
30,0,31560,Brian Stuard,64.67%,659,1019
31,0,32448,James Hahn,64.63%,718,1111
32,0,29535,Brice Garnett,64.61%,776,1201
33,0,49960,Sepp Straka,64.49%,828,1284
34,0,34256,Andrew Putnam,64.45%,988,1533
35,0,57362,Austin Eckroat,64.32%,869,1351
36,0,33410,Andrew Landry,64.16%,718,1119
37,0,33204,Shane Lowry,64.00%,553,864
38,0,56630,Akshay Bhatia,63.93%,748,1170
39,0,40115,Adam Svensson,63.78%,1083,1698
40,0,46717,Viktor Hovland,63.70%,779,1223
41,0,39324,J.J. Spaun,63.69%,907,1424
42,0,35310,Lanto Griffin,63.65%,506,795
43,0,51414,Brent Grant,63.62%,745,1171
44,0,22056,Cameron Percy,63.45%,592,933
45,0,49298,Kramer Hickok,63.44%,859,1354
46,0,33399,Adam Hadwin,63.38%,777,1226
47,0,50493,Justin Suh,63.35%,1001,1580
48,0,39546,Keith Mitchell,63.32%,825,1303
49,0,23108,Matt Kuchar,63.29%,807,1275
50,0,36326,David Lipsky,63.25%,900,1423
51,0,34076,Joel Dahmen,63.12%,801,1269
52,0,39971,Sungjae Im,62.98%,912,1448
53,0,33122,Russell Knox,62.70%,995,1587
54,0,22405,Justin Rose,62.67%,591,943
55,0,29420,Billy Horschel,62.56%,558,892
56,0,50095,Austin Smotherman,62.55%,872,1394
57,0,33413,Ben Martin,62.49%,893,1429
58,0,24140,Sean O'Hair,62.38%,451,723
59,0,47079,Harrison Endycott,62.37%,774,1241
60,0,36871,Matt NeSmith,62.27%,855,1373
61,0,53165,Doc Redman,62.21%,675,1085
62,0,29221,Webb Simpson,62.17%,493,793
63,0,30163,Henrik Norlander,62.10%,788,1269
64,0,46046,Scottie Scheffler,62.09%,760,1224
65,0,34099,Harris English,62.07%,838,1350
66,0,23320,Ryan Palmer,61.92%,683,1103
67,0,30911,Tommy Fleetwood,61.82%,633,1024
68,0,28089,Jason Day,61.67%,687,1114
69,0,52374,Brandon Wu,61.64%,982,1593
70,0,56762,Will Gordon,61.57%,947,1538
71,0,31577,Tano Goya,61.55%,770,1251
72,0,34610,Matthias Schwab,61.53%,883,1435
73,0,47993,Denny McCarthy,61.50%,853,1387
73,0,45242,Kevin Yu,61.50%,607,987
75,0,45522,Christiaan Bezuidenhout,61.45%,762,1240
75,0,29908,C.T. Pan,61.45%,459,747
77,0,51890,Greyson Sigg,61.43%,900,1465
78,0,39997,Corey Conners,61.40%,738,1202
79,0,31646,Emiliano Grillo,61.35%,962,1568
79,0,30926,Chris Kirk,61.35%,789,1286
81,0,24925,Jonathan Byrd,61.29%,513,837
82,0,58696,Peter Kuest,61.27%,397,648
83,0,36801,Mark Hubbard,61.23%,987,1612
84,0,47983,Chad Ramey,60.89%,858,1409
85,0,28775,Nate Lashley,60.72%,906,1492
86,0,29725,Tony Finau,60.70%,709,1168
87,0,39954,Cody Gribble,60.51%,590,975
88,0,49771,J.T. Poston,60.47%,843,1394
89,0,54783,Dylan Wu,60.45%,888,1469
90,0,58168,Davis Thompson,60.39%,808,1338
91,0,25818,Scott Piercy,60.32%,833,1381
92,0,27963,Chris Stroud,60.25%,479,795
93,0,39977,Max Homa,60.15%,723,1202
94,0,54628,Lee Hodges,60.14%,890,1480
95,0,52372,Cameron Champ,59.93%,646,1078
95,0,48867,Matti Schmid,59.93%,661,1103
97,0,27214,Kevin Streelman,59.83%,794,1327
98,0,51349,Nico Echavarria,59.67%,645,1081
99,0,32791,K.H. Lee,59.57%,884,1484
100,0,32839,Hideki Matsuyama,59.52%,719,1208
101,0,34363,Tyrrell Hatton,59.41%,644,1084
102,0,40162,Justin Lower,59.37%,903,1521
103,0,35532,Tom Hoge,59.17%,855,1445
103,0,51950,Max McGreevy,59.17%,758,1281
105,0,46441,Robby Shelton,59.11%,853,1443
106,0,57366,Cameron Young,59.05%,711,1204
107,0,59018,Ryan Gerard,58.95%,507,860
108,0,47995,Davis Riley,58.92%,829,1407
109,0,46340,Alex Smalley,58.84%,915,1555
110,0,28252,Seamus Power,58.75%,675,1149
111,0,49766,Hank Lebioda,58.68%,497,847
112,0,39975,Michael Kim,58.61%,786,1341
113,0,32102,Rickie Fowler,58.51%,777,1328
114,0,33141,Keegan Bradley,58.49%,668,1142
114,0,25493,Nick Taylor,58.49%,754,1289
116,0,39067,MJ Daffue,58.46%,840,1437
117,0,51997,Andrew Novak,58.44%,772,1321
118,0,47128,Richy Werenski,58.38%,805,1379
119,0,39335,Kevin Roy,58.37%,617,1057
120,0,34563,Chesson Hadley,58.25%,766,1315
121,0,31323,Gary Woodland,58.23%,665,1142
122,0,40006,Erik van Rooyen,58.06%,627,1080
123,0,32139,Danny Willett,58.03%,542,934
124,0,25686,Jason Dufner,58.02%,738,1272
125,0,32757,Patton Kizzire,57.94%,810,1398
126,0,36799,Stephan Jaeger,57.86%,979,1692
127,0,51070,Vincent Norrman,57.85%,682,1179
128,0,33653,Thomas Detry,57.81%,796,1377
129,0,46970,Jon Rahm,57.68%,571,990
130,0,35461,Beau Hossler,57.65%,878,1523
131,0,48081,Xander Schauffele,57.46%,643,1119
132,0,47988,Nick Hardy,57.28%,940,1641
133,0,54421,Garrick Higgo,57.26%,820,1432
134,0,22371,Aaron Baddeley,57.25%,636,1111
135,0,37275,Sam Ryder,57.08%,879,1540
136,0,34431,Robert Streb,56.98%,645,1132
137,0,34046,Jordan Spieth,56.83%,570,1003
138,0,47504,Sam Burns,56.61%,638,1127
138,0,40098,Matt Fitzpatrick,56.61%,578,1021
140,0,50188,S.H. Kim,56.53%,870,1539
141,0,35617,Martin Trainer,56.41%,497,881
142,0,36724,Augusto Núñez,56.38%,667,1183
143,0,30692,Scott Stallings,56.36%,660,1171
144,0,54591,Ben Griffin,56.03%,924,1649
145,0,49947,Taylor Moore,55.91%,781,1397
146,0,39058,Lucas Herbert,55.83%,479,858
147,0,55893,Sam Stevens,55.75%,819,1469
148,0,12716,Charley Hoffman,55.67%,623,1119
149,0,40250,Taylor Pendrith,55.62%,767,1379
150,0,32366,Kevin Chappell,55.44%,433,781
151,0,45157,Cam Davis,55.39%,699,1262
152,0,35506,Mackenzie Hughes,55.35%,683,1234
153,0,47347,Adam Schenk,55.25%,911,1649
154,0,33448,Justin Thomas,55.19%,553,1002
155,0,27349,Alex Noren,54.95%,700,1274
156,0,51766,Wyndham Clark,54.91%,771,1404
157,0,48887,Matt Wallace,54.84%,634,1156
158,0,46442,Maverick McNealy,54.67%,474,867
159,0,37338,Zecheng Dou,54.49%,734,1347
160,0,27129,Luke List,54.47%,755,1386
161,0,55789,Taylor Montgomery,54.45%,771,1416
162,0,55454,Carl Yuan,54.33%,634,1167
163,0,47591,Eric Cole,54.27%,947,1745
164,0,36699,Patrick Rodgers,54.05%,760,1406
165,0,57975,Harry Hall,54.00%,763,1413
166,0,48084,Wesley Bryan,53.96%,361,669
167,0,33597,Harry Higgs,53.87%,633,1175
168,0,49453,Trevor Cone,53.63%,613,1143
169,0,33408,Tyson Alexander,53.30%,702,1317
170,0,24502,Adam Scott,53.27%,505,948
171,0,28237,Rory McIlroy,53.25%,475,892
172,0,51634,Sahith Theegala,52.85%,779,1474
173,0,27554,Scott Harrington,52.74%,588,1115
174,0,20229,Stewart Cink,52.70%,586,1112
175,0,32662,Michael Gligic,52.61%,534,1015
176,0,29289,S.Y. Noh,52.59%,498,947
176,0,32333,Kevin Tway,52.59%,740,1407
178,0,25632,Jimmy Walker,52.31%,624,1193
179,0,33948,Byeong Hun An,52.17%,758,1453
180,0,27974,Sung Kang,52.11%,358,687
181,0,34255,Joseph Bramlett,51.86%,573,1105
182,0,34466,Peter Malnati,51.63%,683,1323
183,0,48117,Kurt Kitayama,51.46%,511,993
184,0,58967,Trevor Werbylo,51.44%,591,1149
185,0,48699,Callum Tarren,50.69%,698,1377
186,0,48119,Ben Taylor,50.44%,739,1465
187,0,52453,Nicolai Hojgaard,50.16%,318,634
188,0,28420,Ryan Brehm,48.96%,589,1203
189,0,46601,Trey Mullinax,48.89%,485,992
190,0,27095,Nick Watney,48.54%,514,1059
191,0,52411,Kyle Westmoreland,47.59%,523,1099
192,0,51491,Brandon Matthews,47.38%,389,821
193,0,29970,Dylan Frittelli,46.99%,507,1079
