RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOURN/COURSE,ROUND
1,0,01313,Steve Elkington,61,Texas Open/LaCa,4
1,0,25345,Carl Pettersson,61,Wyndham Champ./,2
1,0,26679,Kevin Stadler,61,Frys.com Open/G,2
1,0,26287,Roland Thatcher,61,Mayakoba/El Cam,3
1,0,10423,Mike Weir,61,Deutsche Bank/T,1
1,0,20160,Charlie Wi,61,Texas Open/LaCa,4
7,0,06004,Stephen Ames,62,Texas Open/LaCa,4
7,0,20498,Briny Baird,62,Wyndham Champ./,3
7,0,12510,Chad Campbell,62,Travelers Champ,3
7,0,23135,Tim Clark,62,Deutsche Bank/T,2
7,0,20623,Gavin Coles,62,Milwaukee/Brown,2
7,0,10809,Jim Furyk,62,BMW Champ/Belle,2
7,0,19846,Brian Gay,62,Mayakoba/El Cam,3
7,0,06643,Paul Goydos,62,Frys.com Open/G,2
7,0,23718,Nathan Green,62,Texas Open/LaCa,1
7,0,23353,J.J. Henry,62,Wyndham Champ./,4
7,0,12782,Tim Herron,62,J. Timberlake/T,4
7,0,24024,Zach Johnson,62,J. Timberlake/T,1
7,0,24781,Hunter Mahan,62,The Barclays/Ri,1
7,0,06090,Jim McGovern,62,Bob Hope Chrysl,3
7,0,24449,Parker McLachlin,62,Reno-Tahoe Open,2
7,0,27214,Kevin Streelman,62,Travelers Champ,3
7,0,23788,D.J. Trahan,62,Travelers Champ,3
7,0,26668,Marc Turnesa,62,J. Timberlake/T,1
7,0,02223,Bob Tway,62,Disney/Palm GC,2
7,0,26289,Boo Weekley,62,Bob Hope Chrysl,3
7,0,25349,Tim Wilkinson,62,Sony Open/Waial,3
7,0,10425,Jay Williamson,62,John Deere Clas,3
29,0,21633,Steve Allan,63,Frys.com Open/G,2
29,0,06197,Michael Allen,63,J. Timberlake/T,1
29,0,19803,Ryan Armour,63,Milwaukee/Brown,2
29,0,12652,Cameron Beckman,63,Frys.com Open/G,4
29,0,23614,Rich Beem,63,Wyndham Champ./,4
29,0,23541,Ben Crane,63,Deutsche Bank/T,3
29,0,21753,Brian Davis,63,Frys.com Open/G,2
29,0,06251,Chris DiMarco,63,J. Timberlake/T,3
29,0,25686,Jason Dufner,63,Milwaukee/Brown,2
29,0,20104,Ken Duke,63,J. Timberlake/T,1
29,0,23125,Brad Elder,63,Frys.com Open/G,2
29,0,01320,Bob Estes,63,Disney/Magnolia,2
29,0,27561,Nick Flanagan,63,Milwaukee/Brown,2
29,0,20574,Mathew Goggin,63,Frys.com Open/G,4
29,0,10117,Bob Heintz,63,Wyndham Champ./,1
29,0,12716,Charley Hoffman,63,Bob Hope Chrysl,4
29,0,01553,John Huston,63,J. Timberlake/T,2
29,0,30925,Dustin Johnson,63,Bob Hope Chrysl,4
29,0,26420,Richard Johnson,63,Milwaukee/Brown,1
29,0,26300,Matt Jones,63,Buick Open/Warw,2
29,0,23108,Matt Kuchar,63,J. Timberlake/T,2
29,0,22806,Doug LaBelle II,63,Frys.com Open/G,1
29,0,27936,Martin Laird,63,Wyndham Champ./,4
29,0,26695,Michael Letzig,63,Travelers Champ,3
29,0,20634,Peter Lonard,63,AT&T National/C,4
29,0,27060,John Mallinger,63,Frys.com Open/G,1
29,0,27120,Troy Matteson,63,Disney/Palm GC,1
29,0,10585,Scott McCarron,63,Canadian Open/G,3
29,0,24490,George McNeill,63,Frys.com Open/G,2
29,0,24140,Sean O'Hair,63,Arnold Palmer/B,3
29,0,20572,Rod Pampling,63,Crowne Plaza/Co,3
29,0,24361,Pat Perez,63,Frys.com Open/G,4
29,0,01941,Tom Pernice Jr.,63,AT&T National/C,2
29,0,23621,Rory Sabbatini,63,Texas Open/LaCa,3
29,0,24502,Adam Scott,63,Shell Houston/R,1
29,0,26882,Michael Sim,63,Frys.com Open/G,2
29,0,06567,Vijay Singh,63,Deutsche Bank/T,4
29,0,12309,Bob Sowards,63,Texas Open/LaCa,4
29,0,08845,Scott Sterling,63,Disney/Palm GC,2
29,0,23969,Graeme Storm,63,WGC-CA Champ/Do,3
29,0,06527,Steve Stricker,63,WGC-CA Champ/Do,4
29,0,06595,Kevin Sutherland,63,Frys.com Open/G,3
29,0,06078,Esteban Toledo,63,Mayakoba/El Cam,3
29,0,27770,Camilo Villegas,63,Deutsche Bank/T,3
29,0,26951,Johnson Wagner,63,Crowne Plaza/Co,1
29,0,27095,Nick Watney,63,J. Timberlake/T,1
29,0,12602,Dean Wilson,63,J. Timberlake/T,2
29,0,21878,Mark Wilson,63,Texas Open/LaCa,4
77,0,23778,Brad Adamonis,64,Travelers Champ,1
77,0,10885,Robert Allenby,64,Bob Hope Chrysl,4
77,0,23540,Jason Allred,64,Milwaukee/Brown,2
77,0,01035,Tommy Armour III,64,BMW Champ/Belle,2
77,0,23048,Eric Axley,64,Wyndham Champ./,3
77,0,22371,Aaron Baddeley,64,BMW Champ/Belle,2
77,0,10505,Shane Bertsch,64,Wyndham Champ./,4
77,0,01139,Olin Browne,64,Texas Open/LaCa,1
77,0,24925,Jonathan Byrd,64,FBR Open/TPC Sc,2
77,0,01161,Mark Calcavecchia,64,FBR Open/TPC Sc,3
77,0,24357,K.J. Choi,64,BMW Champ/Belle,3
77,0,20229,Stewart Cink,64,Travelers Champ,2
77,0,12826,Paul Claxton,64,Texas Open/LaCa,1
77,0,01226,Fred Couples,64,J. Timberlake/T,2
77,0,08931,Glen Day,64,Canadian Open/G,3
77,0,23983,Luke Donald,64,Honda Classic/P,1
77,0,06621,Joe Durant,64,Texas Open/LaCa,4
77,0,28785,Philip Francis,64,John Deere Clas,3
77,0,01381,Fred Funk,64,Sony Open/Waial,2
77,0,30750,Tommy Gainey,64,Disney/Magnolia,4
77,0,21209,Sergio Garcia,64,Deutsche Bank/T,2
77,0,20157,Retief Goosen,64,WGC-CA Champ/Do,3
77,0,20378,Mathias Grönberg,64,Wyndham Champ./,2
77,0,01473,Todd Hamilton,64,Frys.com Open/G,3
77,0,06575,Dudley Hart,64,Buick Open/Warw,1
77,0,27141,J.B. Holmes,64,Sony Open/Waial,3
77,0,22378,Trevor Immelman,64,WGC-Bridgestone,2
77,0,23157,Richard Johnson,64,Frys.com Open/G,1
77,0,08075,Jerry Kelly,64,John Deere Clas,3
77,0,29718,Anthony Kim,64,THE TOUR Champ/,1
77,0,12705,Cliff Kresge,64,Mayakoba/El Cam,3
77,0,10860,Justin Leonard,64,Texas Open/LaCa,3
77,0,01706,Davis Love III,64,Disney/Magnolia,4
77,0,01707,Steve Lowery,64,Frys.com Open/G,2
77,0,27613,David Lutterus,64,Wyndham Champ./,2
77,0,24912,Will MacKenzie,64,Viking Classic/,2
77,0,01724,Jeff Maggert,64,Texas Open/LaCa,3
77,0,28158,Steve Marino,64,J. Timberlake/T,2
77,0,01766,Billy Mayfair,64,Frys.com Open/G,2
77,0,27933,John Merrick,64,Deutsche Bank/T,1
77,0,01810,Phil Mickelson,64,Northern Trust/,2
77,0,25842,Jon Mills,64,Milwaukee/Brown,3
77,0,26596,Ryan Moore,64,J. Timberlake/T,2
77,0,25396,Kevin Na,64,J. Timberlake/T,1
77,0,20628,Arron Oberholser,64,Frys.com Open/G,2
77,0,21949,Joe Ogilvie,64,Mayakoba/El Cam,3
77,0,22046,Geoff Ogilvy,64,Crowne Plaza/Co,2
77,0,28475,Jeff Overton,64,Texas Open/LaCa,2
77,0,20663,Brenden Pappas,64,Frys.com Open/G,3
77,0,10107,Deane Pappas,64,Milwaukee/Brown,1
77,0,01928,Corey Pavin,64,Buick Open/Warw,1
77,0,01945,Kenny Perry,64,Milwaukee/Brown,4
77,0,26476,Chez Reavie,64,J. Timberlake/T,1
77,0,23497,Tag Ridings,64,Wyndham Champ./,2
77,0,22913,John Rollins,64,Buick Open/Warw,2
77,0,22548,Patrick Sheehan,64,Frys.com Open/G,2
77,0,02101,Joey Sindelar,64,Mayakoba/El Cam,3
77,0,22293,Heath Slocum,64,Deutsche Bank/T,1
77,0,08375,Paul Stankowski,64,Mayakoba/El Cam,3
77,0,27963,Chris Stroud,64,Texas Open/LaCa,2
77,0,23325,Vaughn Taylor,64,AT&T National/C,3
77,0,02206,David Toms,64,Travelers Champ,3
77,0,08385,Omar Uresti,64,Milwaukee/Brown,4
77,0,23623,Bo Van Pelt,64,Buick Open/Warw,1
77,0,02239,Scott Verplank,64,Disney/Palm GC,2
77,0,25632,Jimmy Walker,64,Disney/Palm GC,1
77,0,20436,Garrett Willis,64,Wyndham Champ./,2
77,0,24663,Y.E. Yang,64,Frys.com Open/G,3
145,0,07867,Woody Austin,65,Frys.com Open/G,3
145,0,07223,Brian Bateman,65,Crowne Plaza/Co,2
145,0,24227,Justin Bolli,65,Wyndham Champ./,4
145,0,01142,Bart Bryant,65,Crowne Plaza/Co,2
145,0,26500,Alejandro Cañizares,65,Milwaukee/Brown,4
145,0,25364,Paul Casey,65,WGC-Bridgestone,4
145,0,20472,Alex Cejka,65,Mayakoba/El Cam,4
145,0,20850,Daniel Chopra,65,J. Timberlake/T,2
145,0,19825,Darren Clarke,65,WGC-Bridgestone,3
145,0,25720,Chad Collins,65,Texas Open/LaCa,3
145,0,22621,Ben Curtis,65,BMW Champ/Belle,4
145,0,19881,Robert Damron,65,Mayakoba/El Cam,1
145,0,06034,Marco Dawson,65,Frys.com Open/G,1
145,0,28089,Jason Day,65,Canadian Open/G,1
145,0,10875,Todd Demsey,65,Frys.com Open/G,1
145,0,24452,John Douma,65,Frys.com Open/G,3
145,0,23409,James Driscoll,65,J. Timberlake/T,2
145,0,06522,Ernie Els,65,Deutsche Bank/T,2
145,0,21461,Kenneth Ferrie,65,Mayakoba/El Cam,1
145,0,07457,Steve Flesch,65,Deutsche Bank/T,2
145,0,21805,Harrison Frazar,65,Texas Open/LaCa,3
145,0,01388,Robert Gamez,65,Disney/Magnolia,1
145,0,24358,Robert Garrigus,65,Disney/Palm GC,1
145,0,25900,Lucas Glover,65,Travelers Champ,1
145,0,22892,Jason Gore,65,Texas Open/LaCa,1
145,0,24924,Bill Haas,65,J. Timberlake/T,3
145,0,20766,Padraig Harrington,65,Deutsche Bank/T,2
145,0,08537,J.P. Hayes,65,John Deere Clas,3
145,0,20433,Mark Hensby,65,J. Timberlake/T,2
145,0,21187,Hidemasa Hoshino,65,WGC-Bridgestone,3
145,0,21350,Ryuji Imada,65,Deutsche Bank/T,2
145,0,21731,Freddie Jacobson,65,BMW Champ/Belle,4
145,0,01577,Lee Janzen,65,PODS Champ/Inni,1
145,0,19958,Miguel Angel Jiménez,65,WGC-CA Champ/Do,1
145,0,06573,Brandt Jobe,65,Milwaukee/Brown,2
145,0,10733,Kent Jones,65,Ginn Classic/Ha,1
145,0,07547,Craig Kanada,65,Texas Open/LaCa,2
145,0,27577,Peter Karmis,65,Travelers Champ,1
145,0,06012,Greg Kraft,65,Texas Open/LaCa,3
145,0,11032,Frank Lickliter II,65,Disney/Palm GC,2
145,0,12680,Shigeki Maruyama,65,Bob Hope Chrysl,1
145,0,01797,Rocco Mediate,65,Heritage/Harbou,2
145,0,01823,Larry Mize,65,Mayakoba/El Cam,1
145,0,22348,Nick O'Hern,65,Texas Open/LaCa,1
145,0,23320,Ryan Palmer,65,Disney/Magnolia,2
145,0,12660,Jesper Parnevik,65,J. Timberlake/T,2
145,0,01948,Tim Petrovic,65,Texas Open/LaCa,2
145,0,32329,Stephen Poole,65,Wyndham Champ./,4
145,0,25190,Jeff Quinney,65,Frys.com Open/G,3
145,0,02002,John Riegger,65,Wyndham Champ./,2
145,0,25562,Andres Romero,65,PGA Championshi,3
145,0,22405,Justin Rose,65,Travelers Champ,1
145,0,23797,Brett Rumford,65,Milwaukee/Brown,4
145,0,02166,Chip Sullivan,65,Reno-Tahoe Open,3
145,0,32150,Michael Thompson,65,Texas Open/LaCa,2
145,0,28780,Nicholas Thompson,65,J. Timberlake/T,2
145,0,02214,Kirk Triplett,65,Disney/Palm GC,1
145,0,23349,Charles Warren,65,J. Timberlake/T,1
145,0,25804,Bubba Watson,65,BMW Champ/Belle,4
145,0,20396,Lee Westwood,65,WGC-Bridgestone,2
145,0,23322,Brett Wetterich,65,Crowne Plaza/Co,1
