RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
1,0,54591,Ben Griffin,17,365,3
1,0,51696,Rico Hoey,17,294,7
3,0,51766,Wyndham Clark,16,230,2
4,0,52955,Ludvig Ãberg,15,242,1
4,0,47504,Sam Burns,15,246,4
4,0,32791,K.H. Lee,15,262,1
4,0,40006,Erik van Rooyen,15,268,4
8,0,50188,S.H. Kim,14,344,4
8,0,40115,Adam Svensson,14,332,3
10,0,32366,Kevin Chappell,13,188,2
10,0,47591,Eric Cole,13,356,4
10,0,35310,Lanto Griffin,13,252,3
10,0,36801,Mark Hubbard,13,322,3
10,0,27129,Luke List,13,254,1
10,0,48867,Matti Schmid,13,274,3
10,0,55893,Sam Stevens,13,336,4
10,0,48699,Callum Tarren,13,242,1
10,0,55454,Carl Yuan,13,225,3
19,0,52372,Cameron Champ,12,199,2
19,0,39997,Corey Conners,12,276,1
19,0,34099,Harris English,12,294,1
19,0,52375,Doug Ghim,12,308,3
19,0,35532,Tom Hoge,12,338,2
19,0,35506,Mackenzie Hughes,12,300,4
19,0,36326,David Lipsky,12,240,3
19,0,46442,Maverick McNealy,12,301,3
19,0,46340,Alex Smalley,12,266,3
28,0,37212,Paul Barjon,11,195,0
28,0,34255,Joseph Bramlett,11,280,2
28,0,51349,Nico Echavarria,11,298,3
28,0,29725,Tony Finau,11,270,4
28,0,51977,Max Greyserman,11,258,0
28,0,48117,Kurt Kitayama,11,244,2
28,0,47420,Jake Knapp,11,247,1
28,0,49947,Taylor Moore,11,318,3
28,0,36871,Matt NeSmith,11,250,1
28,0,28252,Seamus Power,11,300,1
28,0,39327,Ben Silverman,11,266,4
28,0,50484,Hayden Springer,11,260,3
28,0,58168,Davis Thompson,11,292,5
28,0,32333,Kevin Tway,11,192,0
28,0,27064,Jhonattan Vegas,11,242,0
28,0,57366,Cameron Young,11,260,0
28,0,52513,Carson Young,11,294,1
45,0,33948,Byeong Hun An,10,242,0
45,0,56630,Akshay Bhatia,10,280,3
45,0,48084,Wesley Bryan,10,168,2
45,0,54421,Garrick Higgo,10,268,3
45,0,37378,Min Woo Lee,10,226,1
45,0,39546,Keith Mitchell,10,276,2
45,0,51997,Andrew Novak,10,271,4
45,0,48081,Xander Schauffele,10,276,2
45,0,27214,Kevin Streelman,10,238,4
45,0,52666,Sami Valimaki,10,208,2
45,0,48887,Matt Wallace,10,208,0
56,0,28420,Ryan Brehm,9,216,2
56,0,60004,Jacob Bridgeman,9,274,3
56,0,32070,Rafael Campos,9,206,1
56,0,47663,Kevin Dougherty,9,224,1
56,0,59866,Nick Dunlap,9,232,3
56,0,29936,Ryan Fox,9,242,1
56,0,29420,Billy Horschel,9,238,3
56,0,37455,Si Woo Kim,9,286,2
56,0,28775,Nate Lashley,9,254,1
56,0,28237,Rory McIlroy,9,222,4
56,0,27349,Alex Noren,9,236,0
56,0,57900,Chandler Phillips,9,279,2
56,0,46046,Scottie Scheffler,9,240,4
56,0,39324,J.J. Spaun,9,264,0
56,0,51634,Sahith Theegala,9,298,3
71,0,32367,Jorge Campillo,8,164,1
71,0,50497,Adrien Dumont de Chassart,8,254,3
71,0,57975,Harry Hall,8,272,2
71,0,51287,Ryo Hisatsune,8,282,0
71,0,35461,Beau Hossler,8,288,4
71,0,39975,Michael Kim,8,280,5
71,0,46113,Ryan McCormick,8,225,1
71,0,32640,Troy Merritt,8,256,0
71,0,48153,Matthieu Pavon,8,212,0
71,0,47679,Victor Perez,8,218,3
71,0,46414,Aaron Rai,8,278,0
71,0,47995,Davis Riley,8,242,2
71,0,37275,Sam Ryder,8,268,0
71,0,47347,Adam Schenk,8,316,1
71,0,33486,Roger Sloan,8,238,4
86,0,33408,Tyson Alexander,7,256,1
86,0,35450,Patrick Cantlay,7,228,1
86,0,59836,Pierceson Coody,7,264,3
86,0,45609,Tyler Duncan,7,242,4
86,0,54576,Patrick Fishburn,7,252,3
86,0,40098,Matt Fitzpatrick,7,228,1
86,0,31646,Emiliano Grillo,7,264,2
86,0,34587,Chan Kim,7,286,2
86,0,32839,Hideki Matsuyama,7,238,4
86,0,59143,Mac Meissner,7,244,1
86,0,49771,J.T. Poston,7,274,0
86,0,24502,Adam Scott,7,214,1
86,0,46441,Robby Shelton,7,260,3
86,0,29221,Webb Simpson,7,160,1
86,0,50493,Justin Suh,7,254,3
86,0,38991,Alejandro Tosti,7,232,1
86,0,48319,Tom Whitney,7,246,2
86,0,45242,Kevin Yu,7,246,1
104,0,22371,Aaron Baddeley,6,268,3
104,0,40058,Zac Blair,6,272,4
104,0,33141,Keegan Bradley,6,244,0
104,0,28089,Jason Day,6,242,3
104,0,57362,Austin Eckroat,6,296,1
104,0,30911,Tommy Fleetwood,6,226,1
104,0,56149,Wilson Furr,6,203,2
104,0,34563,Chesson Hadley,6,234,0
104,0,33399,Adam Hadwin,6,262,1
104,0,60767,Blaine Hale Jr.,6,194,1
104,0,36799,Stephan Jaeger,6,266,2
104,0,55182,Tom Kim,6,252,0
104,0,29478,Kevin Kisner,6,180,1
104,0,33204,Shane Lowry,6,228,2
104,0,52215,Robert MacIntyre,6,226,0
104,0,34466,Peter Malnati,6,244,0
104,0,30163,Henrik Norlander,6,222,1
104,0,47806,Raul Pereda,6,173,1
104,0,50095,Austin Smotherman,6,179,1
104,0,25493,Nick Taylor,6,270,2
104,0,51894,Vince Whaley,6,256,1
104,0,31323,Gary Woodland,6,242,1
104,0,52374,Brandon Wu,6,276,1
127,0,40026,Daniel Berger,5,252,3
127,0,55708,Hayden Buckley,5,244,1
127,0,59442,Parker Coody,5,194,0
127,0,52514,Trace Crowe,5,238,2
127,0,34076,Joel Dahmen,5,297,1
127,0,29535,Brice Garnett,5,154,2
127,0,59095,Chris Gotterup,5,240,1
127,0,27644,Brian Harman,5,266,0
127,0,60067,Joe Highsmith,5,254,2
127,0,54628,Lee Hodges,5,310,0
127,0,32757,Patton Kizzire,5,214,3
