RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 3 AVG,TOTAL PAR
1,0,48081,Xander Schauffele,-26,2.92,1020
2,0,51349,Nico Echavarria,-17,2.95,1128
3,0,51997,Andrew Novak,-15,2.96,1092
4,0,27139,David Skinns,-14,2.96,1062
5,0,28775,Nate Lashley,-13,2.96,954
6,0,29420,Billy Horschel,-9,2.97,978
6,0,39975,Michael Kim,-9,2.97,1050
8,0,48117,Kurt Kitayama,-8,2.98,972
8,0,46442,Maverick McNealy,-8,2.98,1167
8,0,39546,Keith Mitchell,-8,2.98,1056
11,0,40098,Matt Fitzpatrick,-7,2.98,852
11,0,57975,Harry Hall,-7,2.98,1044
11,0,47993,Denny McCarthy,-7,2.98,1038
14,0,54591,Ben Griffin,-6,2.99,1440
14,0,46046,Scottie Scheffler,-6,2.98,900
14,0,40006,Erik van Rooyen,-6,2.98,1008
17,0,29936,Ryan Fox,-5,2.98,984
18,0,51977,Max Greyserman,-4,2.99,1023
18,0,52666,Sami Valimaki,-4,2.98,798
20,0,51766,Wyndham Clark,-3,2.99,864
20,0,54576,Patrick Fishburn,-3,2.99,906
20,0,34587,Chan Kim,-3,2.99,1056
20,0,37455,Si Woo Kim,-3,2.99,1128
20,0,27129,Luke List,-3,2.99,936
20,0,50525,Collin Morikawa,-3,2.99,960
20,0,48153,Matthieu Pavon,-3,2.99,810
20,0,45242,Kevin Yu,-3,2.99,948
28,0,34099,Harris English,-2,2.99,1116
28,0,39327,Ben Silverman,-2,2.99,1014
30,0,34021,Bud Cauley,-1,3.00,666
30,0,33653,Thomas Detry,-1,3.00,882
30,0,34098,Russell Henley,-1,3.00,864
30,0,47483,Will Zalatoris,-1,3.00,870
34,0,52955,Ludvig Ãberg,E,3.00,900
34,0,59143,Mac Meissner,E,3.00,936
34,0,55893,Sam Stevens,E,3.00,1278
37,0,22371,Aaron Baddeley,+1,3.00,948
37,0,30911,Tommy Fleetwood,+1,3.00,852
37,0,60067,Joe Highsmith,+1,3.00,912
37,0,24024,Zach Johnson,+1,3.00,630
37,0,49960,Sepp Straka,+1,3.00,924
37,0,33448,Justin Thomas,+1,3.00,888
37,0,32333,Kevin Tway,+1,3.00,726
37,0,27064,Jhonattan Vegas,+1,3.00,942
45,0,33948,Byeong Hun An,+2,3.01,894
45,0,29535,Brice Garnett,+2,3.01,588
45,0,32839,Hideki Matsuyama,+2,3.01,894
45,0,33968,ThorbjÃ¸rn Olesen,+2,3.01,612
49,0,39997,Corey Conners,+3,3.01,1044
49,0,32102,Rickie Fowler,+3,3.01,966
49,0,27644,Brian Harman,+3,3.01,1050
49,0,24502,Adam Scott,+3,3.01,864
53,0,59442,Parker Coody,+4,3.02,726
53,0,34563,Chesson Hadley,+4,3.01,864
53,0,39977,Max Homa,+4,3.01,960
53,0,27349,Alex Noren,+4,3.01,900
53,0,29908,C.T. Pan,+4,3.02,732
53,0,57900,Chandler Phillips,+4,3.01,1098
53,0,46414,Aaron Rai,+4,3.01,1110
60,0,52375,Doug Ghim,+5,3.01,1176
60,0,60767,Blaine Hale Jr.,+5,3.02,678
60,0,54628,Lee Hodges,+5,3.01,1152
60,0,27936,Martin Laird,+5,3.02,912
60,0,36699,Patrick Rodgers,+5,3.01,1230
60,0,51890,Greyson Sigg,+5,3.02,996
66,0,52514,Trace Crowe,+6,3.02,876
66,0,51894,Vince Whaley,+6,3.02,936
68,0,40058,Zac Blair,+7,3.02,1056
68,0,57362,Austin Eckroat,+7,3.02,1146
68,0,56149,Wilson Furr,+7,3.03,738
68,0,30163,Henrik Norlander,+7,3.03,810
68,0,27214,Kevin Streelman,+7,3.02,876
68,0,58168,Davis Thompson,+7,3.02,1170
