RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,33141,Keegan Bradley,64,27,37
2,0,25900,Lucas Glover,75,35,40
3,0,34264,Hudson Swafford,81,7,74
4,0,31646,Emiliano Grillo,84,67,17
5,0,33410,Andrew Landry,85,59,26
6,0,28237,Rory McIlroy,86,9,77
7,0,25364,Paul Casey,90,54,36
8,0,24461,Thomas Aiken,91,89,2
9,0,21209,Sergio Garcia,98,28,70
10,0,35451,Scott Pinckney,99,43,56
11,0,26289,Boo Weekley,100,84,16
12,0,33204,Shane Lowry,101,32,69
13,0,34098,Russell Henley,103,48,55
14,0,31557,Jim Herman,112,87,25
15,0,29518,Brendan Steele,114,20,94
16,0,29479,Scott Brown,123,76,47
17,0,30944,Jason Kokrak,125,6,119
18,0,37455,Si Woo Kim,126,69,57
18,0,37189,Harold Varner III,126,22,104
20,0,25686,Jason Dufner,128,70,58
21,0,27436,Graham DeLaet,132,37,95
21,0,32839,Hideki Matsuyama,132,65,67
21,0,24140,Sean O'Hair,132,20,112
21,0,29485,Brett Stegmaier,132,52,80
25,0,32366,Kevin Chappell,133,46,87
25,0,26476,Chez Reavie,133,123,10
27,0,32102,Rickie Fowler,136,23,113
27,0,36689,Brooks Koepka,136,19,117
29,0,35732,Wes Roach,137,59,78
30,0,29478,Kevin Kisner,138,105,33
30,0,25818,Scott Piercy,138,37,101
32,0,26329,Louis Oosthuizen,139,68,71
33,0,30925,Dustin Johnson,140,2,138
33,0,23320,Ryan Palmer,140,12,128
35,0,33399,Adam Hadwin,141,92,49
36,0,22405,Justin Rose,143,16,127
37,0,27214,Kevin Streelman,144,104,40
38,0,33122,Russell Knox,145,137,8
38,0,26851,Marc Leishman,145,55,90
40,0,27644,Brian Harman,146,95,51
40,0,29461,Jamie Lovemark,146,11,135
40,0,20691,Greg Owen,146,39,107
43,0,31202,William McGirt,149,118,31
44,0,30110,Kyle Stanley,150,112,38
45,0,22892,Jason Gore,151,103,48
46,0,29476,Kyle Reifers,153,123,30
47,0,34174,John Huh,154,145,9
47,0,31323,Gary Woodland,154,10,144
49,0,12510,Chad Campbell,155,116,39
49,0,32200,Roberto Castro,155,149,6
49,0,22046,Geoff Ogilvy,155,80,75
52,0,29420,Billy Horschel,156,72,84
53,0,35545,Blayne Barber,157,97,60
53,0,36699,Patrick Rodgers,157,26,131
55,0,37273,Derek Ernst,159,63,96
55,0,24924,Bill Haas,159,97,62
55,0,34409,David Lingmerth,159,144,15
58,0,23108,Matt Kuchar,161,137,24
59,0,20229,Stewart Cink,162,42,120
59,0,20572,Rod Pampling,162,117,45
59,0,27064,Jhonattan Vegas,162,14,148
62,0,30163,Henrik Norlander,164,112,52
62,0,25804,Bubba Watson,164,4,160
64,0,24502,Adam Scott,166,13,153
65,0,10809,Jim Furyk,167,160,7
66,0,37454,Whee Kim,168,118,50
66,0,26596,Ryan Moore,168,150,18
68,0,27466,Spencer Levin,169,157,12
68,0,25572,Graeme McDowell,169,156,13
70,0,32448,James Hahn,172,88,84
71,0,34261,Scott Langley,174,139,35
71,0,29926,Danny Lee,174,130,44
71,0,33413,Ben Martin,174,108,66
71,0,34046,Jordan Spieth,174,51,123
71,0,32150,Michael Thompson,174,85,89
76,0,25198,Francesco Molinari,175,129,46
