RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,57366,Cameron Young,66.61,3006051,451283
2,0,28237,Rory McIlroy,66.29,2206097,332811
3,0,40250,Taylor Pendrith,66.13,2499576,377963
4,0,34255,Joseph Bramlett,66.06,2804074,424453
5,0,46601,Trey Mullinax,66.02,2777686,420730
6,0,27129,Luke List,65.88,2709762,411338
7,0,46550,Brandon Hagy,65.84,2517482,382345
8,0,51766,Wyndham Clark,65.73,3145969,478632
9,0,46970,Jon Rahm,65.69,2351731,358000
10,0,56278,Matthew Wolff,65.68,1600390,243648
11,0,35450,Patrick Cantlay,65.58,2199070,335341
12,0,47856,Seth Reeves,65.54,2048510,312578
13,0,48699,Callum Tarren,65.33,2228420,341127
14,0,36689,Brooks Koepka,65.29,1633611,250217
15,0,46046,Scottie Scheffler,65.23,2744116,420697
15,0,34046,Jordan Spieth,65.23,2577328,395096
17,0,39546,Keith Mitchell,65.20,2997868,459788
17,0,47483,Will Zalatoris,65.20,2393772,367154
19,0,33448,Justin Thomas,65.07,2555521,392735
20,0,48117,Kurt Kitayama,65.06,1910328,293612
21,0,12716,Charley Hoffman,65.05,2412204,370814
22,0,45486,Joaquin Niemann,65.03,2423295,372668
23,0,52372,Cameron Champ,65.02,1980168,304553
23,0,54421,Garrick Higgo,65.02,1607676,247277
25,0,45157,Cam Davis,64.87,3193315,492283
26,0,32366,Kevin Chappell,64.85,1832779,282638
27,0,21961,Charles Howell III,64.82,1947447,300422
27,0,32333,Kevin Tway,64.82,2772986,427807
29,0,36699,Patrick Rodgers,64.76,2850419,440158
29,0,24502,Adam Scott,64.76,2620515,404658
31,0,27064,Jhonattan Vegas,64.66,2444593,378073
32,0,47988,Nick Hardy,64.65,1829271,282940
32,0,46717,Viktor Hovland,64.65,2344576,362681
34,0,47504,Sam Burns,64.59,2851686,441492
35,0,29725,Tony Finau,64.51,2951847,457615
36,0,29518,Brendan Steele,64.50,2576222,399429
37,0,39058,Lucas Herbert,64.49,1676321,259941
38,0,45540,Jared Wolfe,64.43,1932398,299901
39,0,35617,Martin Trainer,64.41,2536340,393759
40,0,35461,Beau Hossler,64.31,2678427,416488
41,0,26300,Matt Jones,64.29,2133550,331854
42,0,46442,Maverick McNealy,64.27,3024484,470579
43,0,37189,Harold Varner III,64.25,2321040,361258
44,0,30944,Jason Kokrak,64.24,2100303,326943
45,0,20229,Stewart Cink,64.22,2706765,421490
45,0,39977,Max Homa,64.22,2904312,452258
47,0,39997,Corey Conners,64.20,2918069,454559
48,0,48081,Xander Schauffele,64.17,2368961,369178
49,0,51894,Vince Whaley,64.13,2733389,426242
50,0,37212,Paul Barjon,64.11,2559385,399200
50,0,47995,Davis Riley,64.11,3340492,521017
52,0,32839,Hideki Matsuyama,64.08,2373308,370350
53,0,23320,Ryan Palmer,64.07,2058163,321224
54,0,49964,Aaron Wise,64.05,3159642,493330
55,0,39971,Sungjae Im,64.02,3099762,484183
56,0,35891,Cameron Smith,64.01,2013662,314585
57,0,29970,Dylan Frittelli,63.98,2977222,465317
58,0,28252,Seamus Power,63.92,2409963,377039
59,0,32791,K.H. Lee,63.89,3531530,552727
60,0,33141,Keegan Bradley,63.85,2716861,425478
60,0,30692,Scott Stallings,63.85,3429934,537163
62,0,26851,Marc Leishman,63.77,2591150,406338
63,0,32102,Rickie Fowler,63.74,2302790,361253
64,0,55708,Hayden Buckley,63.70,3113956,488817
64,0,40098,Matt Fitzpatrick,63.70,1941859,304861
64,0,51634,Sahith Theegala,63.70,3878250,608810
67,0,32662,Michael Gligic,63.68,2315314,363563
67,0,32757,Patton Kizzire,63.68,3345831,525402
69,0,10381,Curtis Thompson,63.67,1783098,280066
70,0,49947,Taylor Moore,63.65,3172704,498471
71,0,34264,Hudson Swafford,63.64,1967892,309214
72,0,50095,Austin Smotherman,63.59,2544834,400221
73,0,47529,Mito Pereira,63.53,3045531,479360
74,0,51997,Andrew Novak,63.50,2174698,342472
75,0,33597,Harry Higgs,63.49,2745704,432460
75,0,46340,Alex Smalley,63.49,3036242,478252
77,0,34363,Tyrrell Hatton,63.48,1931040,304199
77,0,33667,Carlos Ortiz,63.48,2129235,335426
79,0,32448,James Hahn,63.47,2435669,383763
80,0,31646,Emiliano Grillo,63.45,2849481,449058
81,0,29420,Billy Horschel,63.41,2259955,356396
82,0,37455,Si Woo Kim,63.38,3331577,525621
83,0,36852,Jim Knous,63.32,1449297,228890
84,0,29974,Branden Grace,63.30,1757595,277668
85,0,34563,Chesson Hadley,63.29,2584934,408422
86,0,48822,Sebastián Muñoz,63.28,2793814,441518
87,0,29221,Webb Simpson,63.27,2078059,328435
88,0,49960,Sepp Straka,63.25,3007855,475549
88,0,31323,Gary Woodland,63.25,2276069,359840
90,0,48887,Matt Wallace,63.21,1969832,311630
91,0,54783,Dylan Wu,63.11,2039688,323191
92,0,33486,Roger Sloan,63.10,2485055,393854
92,0,40006,Erik van Rooyen,63.10,1626704,257786
94,0,46402,Talor Gooch,63.07,2233751,354145
94,0,34431,Robert Streb,63.07,2932306,464941
96,0,22056,Cameron Percy,63.04,1273325,201996
97,0,54628,Lee Hodges,63.03,3319272,526637
97,0,49771,J.T. Poston,63.03,3220576,510951
99,0,28114,Dawie van der Walt,62.99,1921594,305083
100,0,27895,Jonas Blixt,62.96,1664638,264382
100,0,34466,Peter Malnati,62.96,3501960,556243
102,0,47347,Adam Schenk,62.93,3097046,492146
103,0,33204,Shane Lowry,62.91,1919881,305185
104,0,31420,Anirban Lahiri,62.88,2422441,385278
104,0,50525,Collin Morikawa,62.88,1942449,308904
106,0,25900,Lucas Glover,62.85,3325570,529120
106,0,24980,Scott Gutschewski,62.85,1527697,243076
108,0,32139,Danny Willett,62.84,1675217,266573
109,0,25818,Scott Piercy,62.80,2672605,425584
109,0,22405,Justin Rose,62.80,1509732,240397
111,0,24924,Bill Haas,62.77,2710738,431846
111,0,35532,Tom Hoge,62.77,2978008,474402
111,0,30926,Chris Kirk,62.77,2552385,406619
114,0,30911,Tommy Fleetwood,62.76,1591217,253556
115,0,27644,Brian Harman,62.70,3018379,481417
116,0,33399,Adam Hadwin,62.69,3046555,485997
117,0,28089,Jason Day,62.68,2062164,328993
118,0,35506,Mackenzie Hughes,62.65,2620845,418321
119,0,27139,David Skinns,62.62,2071804,330876
