RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,30911,Tommy Fleetwood,9.35,52,556,+0.096
2,0,24361,Pat Perez,8.81,62,704,+0.081
3,0,31560,Brian Stuard,8.40,80,952,+0.200
4,0,27095,Nick Watney,8.22,71,864,+0.169
5,0,24138,Ian Poulter,8.17,41,502,-0.049
6,0,48084,Wesley Bryan,7.84,42,536,+0.167
7,0,27139,David Skinns,7.78,56,720,+0.161
8,0,34256,Andrew Putnam,7.64,86,1126,+0.093
9,0,23983,Luke Donald,7.50,54,720,+0.093
10,0,36884,Ben Kohles,7.37,46,624,+0.196
11,0,51950,Max McGreevy,7.25,56,772,+0.143
12,0,47993,Denny McCarthy,7.19,87,1210,-0.011
13,0,40098,Matt Fitzpatrick,6.93,46,664,-0.043
14,0,24924,Bill Haas,6.81,64,940,+0.031
14,0,46414,Aaron Rai,6.81,65,954,+0.077
16,0,29289,S.Y. Noh,6.78,43,634,+0.047
17,0,10381,Curtis Thompson,6.74,41,608,+0.195
18,0,29926,Danny Lee,6.73,37,550,+0.135
19,0,31323,Gary Woodland,6.72,52,774,+0.019
20,0,34610,Matthias Schwab,6.69,51,762,+0.020
21,0,22405,Justin Rose,6.63,35,528,-0.057
22,0,27770,Camilo Villegas,6.62,47,710,+0.277
23,0,19803,Ryan Armour,6.61,32,484,+0.313
24,0,36871,Matthew NeSmith,6.55,71,1084,+0.042
25,0,45522,Christiaan Bezuidenhout,6.54,50,764,+0.160
26,0,29908,C.T. Pan,6.40,63,984,+0.143
27,0,33597,Harry Higgs,6.26,59,942,+0.017
28,0,32102,Rickie Fowler,6.25,49,784,+0.224
29,0,33490,Bo Hoag,6.23,32,514,+0.281
30,0,37212,Paul Barjon,6.21,54,870,+0.222
30,0,32139,Danny Willett,6.21,36,580,+0.083
32,0,47347,Adam Schenk,6.17,66,1070,+0.212
33,0,35879,Kelly Kraft,6.12,48,784,+0.146
34,0,47128,Richy Werenski,6.11,43,704,+0.256
35,0,52374,Brandon Wu,6.07,42,692,+0.214
36,0,30944,Jason Kokrak,6.04,43,712,+0.279
37,0,35110,Brett Drewitt,6.03,35,580,+0.229
38,0,32150,Michael Thompson,6.02,62,1030,+0.065
39,0,30163,Henrik Norlander,6.01,50,832,E
40,0,25493,Nick Taylor,5.99,57,952,+0.018
41,0,50095,Austin Smotherman,5.98,52,870,+0.038
42,0,37189,Harold Varner III,5.96,47,789,+0.149
43,0,29970,Dylan Frittelli,5.92,60,1014,+0.150
44,0,51766,Wyndham Clark,5.89,61,1036,-0.016
45,0,46435,Austin Cook,5.86,43,734,+0.023
46,0,35310,Lanto Griffin,5.84,55,942,+0.145
46,0,36799,Stephan Jaeger,5.84,59,1010,+0.119
