RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,25364,Paul Casey,19.0,49202.000,72
1,0,32839,Hideki Matsuyama,19.0,86813.000,127
3,0,27936,Martin Laird,20.0,87769.000,122
4,0,32334,Charlie Beljan,20.1,89721.000,124
4,0,26596,Ryan Moore,20.1,84543.000,117
6,0,29740,Brad Fritsch,20.3,48956.000,67
7,0,25900,Lucas Glover,20.4,72818.000,99
8,0,28089,Jason Day,20.6,49721.000,67
8,0,26951,Johnson Wagner,20.6,64611.000,87
10,0,28132,Tyrone Van Aswegen,20.8,65823.000,88
11,0,25686,Jason Dufner,20.9,56557.000,75
11,0,29518,Brendan Steele,20.9,103853.000,138
13,0,30925,Dustin Johnson,21.0,80285.000,106
14,0,32333,Kevin Tway,21.3,66015.000,86
15,0,27895,Jonas Blixt,21.4,51707.000,67
15,0,28237,Rory McIlroy,21.4,106524.000,138
15,0,24140,Sean O'Hair,21.4,103913.000,135
18,0,34265,Will Wilcox,21.5,65107.000,84
19,0,33122,Russell Knox,21.8,88795.000,113
20,0,33141,Keegan Bradley,21.9,113713.000,144
21,0,25444,Justin Hicks,22.0,99682.000,126
21,0,28780,Nicholas Thompson,22.0,87967.000,111
23,0,31557,Jim Herman,22.1,71727.000,90
23,0,27408,Martin Kaymer,22.1,87699.000,110
25,0,10885,Robert Allenby,22.3,80152.000,100
25,0,20229,Stewart Cink,22.3,94808.000,118
27,0,32366,Kevin Chappell,22.4,128745.000,160
27,0,24924,Bill Haas,22.4,123591.000,153
27,0,24024,Zach Johnson,22.4,104625.000,130
27,0,25804,Bubba Watson,22.4,111458.000,138
31,0,32448,James Hahn,22.5,97814.000,121
31,0,33413,Ben Martin,22.5,85062.000,105
33,0,23409,James Driscoll,22.6,76478.000,94
33,0,25191,Gonzalo Fernandez-Castaño,22.6,95255.000,117
33,0,35732,Wes Roach,22.6,71553.000,88
33,0,23623,Bo Van Pelt,22.6,83913.000,103
33,0,27095,Nick Watney,22.6,82279.000,101
38,0,25274,Steven Bowditch,22.7,135733.000,166
38,0,26851,Marc Leishman,22.7,116013.000,142
38,0,30110,Kyle Stanley,22.7,129660.000,159
41,0,24138,Ian Poulter,22.8,56721.000,69
42,0,28500,Martin Flores,22.9,97906.000,119
42,0,01706,Davis Love III,22.9,84837.000,103
