RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,28237,Rory McIlroy,73.65,109,39
2,0,30925,Dustin Johnson,70.97,88,36
3,0,29461,Jamie Lovemark,66.92,89,44
4,0,25804,Bubba Watson,65.85,108,56
5,0,34265,Will Wilcox,65.14,71,38
6,0,34099,Harris English,64.81,140,76
7,0,24358,Robert Garrigus,64.19,147,82
8,0,31323,Gary Woodland,64.10,150,84
9,0,24502,Adam Scott,64.02,105,59
10,0,26331,Charl Schwartzel,63.75,102,58
11,0,27408,Martin Kaymer,63.57,89,51
12,0,30110,Kyle Stanley,63.43,137,79
13,0,37273,Derek Ernst,63.35,121,70
14,0,30944,Jason Kokrak,63.08,123,72
15,0,27064,Jhonattan Vegas,62.77,118,70
16,0,23320,Ryan Palmer,62.18,120,73
17,0,32102,Rickie Fowler,61.58,117,73
18,0,26300,Matt Jones,61.50,115,72
19,0,27936,Martin Laird,61.36,108,68
20,0,35541,John Peterson,61.35,100,63
21,0,21528,Henrik Stenson,60.83,73,47
22,0,28486,Michael Putnam,59.85,164,110
23,0,26851,Marc Leishman,59.50,119,81
24,0,28089,Jason Day,59.38,57,39
25,0,29740,Brad Fritsch,59.26,64,44
26,0,25274,Steven Bowditch,59.11,133,92
27,0,24140,Sean O'Hair,58.88,116,81
28,0,25900,Lucas Glover,58.82,90,63
29,0,25632,Jimmy Walker,58.72,128,90
30,0,28259,Sangmoon Bae,58.62,119,84
31,0,36689,Brooks Koepka,58.20,71,51
32,0,33141,Keegan Bradley,58.17,121,87
33,0,20396,Lee Westwood,57.97,80,58
34,0,01810,Phil Mickelson,57.76,93,68
35,0,20848,Ángel Cabrera,57.71,101,74
36,0,34264,Hudson Swafford,57.32,94,70
37,0,33418,Shawn Stefani,57.14,96,72
38,0,26679,Kevin Stadler,56.63,111,85
39,0,25562,Andres Romero,56.40,119,92
40,0,12716,Charley Hoffman,55.79,135,107
41,0,32839,Hideki Matsuyama,55.73,107,85
42,0,27141,J.B. Holmes,55.60,139,111
43,0,23621,Rory Sabbatini,54.90,112,92
44,0,22371,Aaron Baddeley,54.70,99,82
45,0,26289,Boo Weekley,54.66,88,73
46,0,25686,Jason Dufner,54.62,71,59
47,0,26329,Louis Oosthuizen,54.55,48,40
48,0,27436,Graham DeLaet,54.21,103,87
49,0,34021,Bud Cauley,54.20,71,60
50,0,31557,Jim Herman,54.17,78,66
51,0,06522,Ernie Els,54.04,107,91
52,0,25345,Carl Pettersson,53.91,131,112
53,0,21961,Charles Howell III,53.85,154,132
54,0,35300,Andrew Loupe,53.79,78,67
55,0,30750,Tommy Gainey,53.76,93,80
56,0,29420,Billy Horschel,53.64,118,102
57,0,27095,Nick Watney,53.61,89,77
58,0,32334,Charlie Beljan,53.50,107,93
59,0,29926,Danny Lee,53.27,106,93
60,0,33461,Morgan Hoffmann,53.21,141,124
61,0,28475,Jeff Overton,53.13,102,90
62,0,35732,Wes Roach,53.10,77,68
63,0,25364,Paul Casey,53.08,69,61
64,0,30852,Ryo Ishikawa,53.06,104,92
64,0,30692,Scott Stallings,53.06,104,92
66,0,22405,Justin Rose,52.98,89,79
67,0,32448,James Hahn,52.88,110,98
68,0,21209,Sergio Garcia,52.68,59,53
69,0,20645,John Senden,52.56,123,111
70,0,27120,Troy Matteson,52.52,73,66
71,0,27330,Josh Teater,52.23,117,107
72,0,34431,Robert Streb,52.15,97,89
73,0,25396,Kevin Na,52.08,125,115
74,0,30926,Chris Kirk,51.95,133,123
75,0,32333,Kevin Tway,51.82,71,66
76,0,20104,Ken Duke,51.58,98,92
77,0,34360,Patrick Reed,50.93,110,106
78,0,34098,Russell Henley,50.89,114,110
79,0,28500,Martin Flores,50.70,108,105
80,0,23638,Brendon de Jonge,50.55,138,135
81,0,25191,Gonzalo Fernandez-Castaño,50.50,101,99
82,0,22378,Trevor Immelman,50.25,99,98
83,0,29518,Brendan Steele,50.22,113,112
84,0,24781,Hunter Mahan,50.00,111,111
85,0,29479,Scott Brown,49.80,127,128
86,0,28307,Matt Every,49.73,93,94
87,0,25834,Daniel Summerhays,49.64,137,139
88,0,29289,S.Y. Noh,49.56,112,114
89,0,24490,George McNeill,49.51,102,104
90,0,27214,Kevin Streelman,48.94,92,96
91,0,31202,William McGirt,48.74,116,122
92,0,24494,Erik Compton,48.73,115,121
93,0,27933,John Merrick,48.72,114,120
94,0,24912,Will MacKenzie,48.70,112,118
95,0,29535,Brice Garnett,48.66,109,115
95,0,22046,Geoff Ogilvy,48.66,109,115
97,0,24924,Bill Haas,48.64,125,132
98,0,27963,Chris Stroud,48.34,102,109
99,0,32366,Kevin Chappell,48.18,132,142
99,0,06567,Vijay Singh,48.18,106,114
101,0,29221,Webb Simpson,48.17,105,113
102,0,28780,Nicholas Thompson,48.13,103,111
103,0,29478,Kevin Kisner,48.10,101,109
104,0,24846,Ricky Barnes,47.98,107,116
105,0,25240,D.A. Points,47.62,80,88
106,0,34046,Jordan Spieth,47.56,117,129
107,0,27649,Brandt Snedeker,47.52,96,106
108,0,29425,Andrew Svoboda,47.40,91,101
108,0,32150,Michael Thompson,47.40,91,101
110,0,24925,Jonathan Byrd,46.91,91,103
111,0,01706,Davis Love III,46.88,90,102
112,0,35539,Luke Guthrie,46.72,107,122
113,0,34409,David Lingmerth,46.57,95,109
114,0,20229,Stewart Cink,46.26,105,122
115,0,33413,Ben Martin,46.19,91,106
116,0,26596,Ryan Moore,45.92,90,106
