RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,39971,Sungjae Im,70.56%,139,197,-143,-7.00
2,0,29535,Brice Garnett,69.41%,59,85,-63,-13.00
3,0,59143,Mac Meissner,69.17%,92,133,-98,-16.00
4,0,29908,C.T. Pan,69.03%,78,113,-83,-5.00
5,0,48084,Wesley Bryan,68.75%,55,80,-59,+2.00
6,0,58168,Davis Thompson,68.72%,123,179,-133,-8.00
7,0,50188,S.H. Kim,68.70%,158,230,-169,+2.00
8,0,60004,Jacob Bridgeman,68.66%,92,134,-99,-9.00
9,0,57975,Harry Hall,68.42%,117,171,-127,-13.00
10,0,47591,Eric Cole,67.83%,156,230,-167,-6.00
11,0,27214,Kevin Streelman,67.57%,75,111,-83,-8.00
12,0,35461,Beau Hossler,67.18%,131,195,-139,-27.00
13,0,37378,Min Woo Lee,66.87%,109,163,-116,+6.00
14,0,33968,Thorbjørn Olesen,66.67%,64,96,-66,-1.00
14,0,48867,Matti Schmid,66.67%,114,171,-125,+7.00
14,0,48319,Tom Whitney,66.67%,76,114,-80,-14.00
17,0,39546,Keith Mitchell,66.51%,141,212,-151,-5.00
18,0,32366,Kevin Chappell,66.30%,61,92,-67,-7.00
19,0,32367,Jorge Campillo,66.29%,59,89,-67,-7.00
20,0,48887,Matt Wallace,66.21%,96,145,-106,-18.00
21,0,46442,Maverick McNealy,66.10%,117,177,-126,-9.00
22,0,47983,Chad Ramey,65.87%,83,126,-88,+4.00
22,0,50493,Justin Suh,65.87%,83,126,-89,-21.00
24,0,52215,Robert MacIntyre,65.77%,98,149,-105,-7.00
25,0,59866,Nick Dunlap,65.63%,105,160,-111,-19.00
26,0,55182,Tom Kim,65.36%,117,179,-125,E
27,0,55893,Sam Stevens,65.31%,128,196,-136,-9.00
28,0,48119,Ben Taylor,65.18%,73,112,-78,+6.00
29,0,51997,Andrew Novak,65.14%,114,175,-124,-11.00
30,0,57900,Chandler Phillips,65.10%,97,149,-104,-12.00
31,0,35617,Martin Trainer,65.00%,52,80,-56,E
32,0,54421,Garrick Higgo,64.79%,92,142,-98,+8.00
33,0,46414,Aaron Rai,64.71%,110,170,-117,-7.00
34,0,24502,Adam Scott,64.67%,108,167,-115,-4.00
35,0,47995,Davis Riley,64.53%,111,172,-118,+2.00
36,0,28775,Nate Lashley,64.46%,78,121,-86,-13.00
37,0,27936,Martin Laird,64.15%,68,106,-71,-11.00
38,0,34587,Chan Kim,64.00%,112,175,-119,-10.00
39,0,46046,Scottie Scheffler,63.93%,117,183,-125,-13.00
40,0,32757,Patton Kizzire,63.64%,77,121,-82,-19.00
40,0,32839,Hideki Matsuyama,63.64%,98,154,-106,-11.00
42,0,36699,Patrick Rodgers,63.59%,138,217,-142,-5.00
43,0,40250,Taylor Pendrith,63.40%,123,194,-129,-12.00
44,0,36801,Mark Hubbard,63.35%,140,221,-150,-7.00
45,0,51287,Ryo Hisatsune,63.19%,91,144,-97,+3.00
46,0,50095,Austin Smotherman,63.16%,60,95,-64,-12.00
47,0,12716,Charley Hoffman,63.12%,89,141,-93,-7.00
48,0,39327,Ben Silverman,63.11%,77,122,-86,-25.00
49,0,34046,Jordan Spieth,63.07%,111,176,-116,+9.00
50,0,47504,Sam Burns,63.01%,109,173,-123,+7.00
51,0,52375,Doug Ghim,62.98%,114,181,-123,-23.00
52,0,48081,Xander Schauffele,62.96%,136,216,-146,+2.00
53,0,37212,Paul Barjon,62.90%,78,124,-87,+4.00
53,0,45157,Cam Davis,62.90%,117,186,-119,+6.00
53,0,34098,Russell Henley,62.90%,78,124,-82,-20.00
56,0,33948,Byeong Hun An,62.89%,122,194,-131,E
57,0,32640,Troy Merritt,62.81%,76,121,-81,-2.00
58,0,34563,Chesson Hadley,62.68%,89,142,-96,-18.00
59,0,25900,Lucas Glover,62.34%,96,154,-102,-18.00
60,0,30163,Henrik Norlander,62.31%,81,130,-85,-9.00
61,0,29725,Tony Finau,62.30%,119,191,-129,-15.00
62,0,46340,Alex Smalley,62.26%,99,159,-107,+5.00
63,0,34255,Joseph Bramlett,62.25%,127,204,-137,+7.00
63,0,50484,Hayden Springer,62.25%,94,151,-103,-10.00
65,0,49771,J.T. Poston,62.07%,108,174,-114,-18.00
66,0,28089,Jason Day,62.05%,103,166,-108,-9.00
