RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,06567,Vijay Singh,25.22,463,1836,12
2,0,08793,Tiger Woods,25.00,306,1224,26
3,0,01553,John Huston,24.59,332,1350,20
4,0,06251,Chris DiMarco,23.89,400,1674,61
5,0,20157,Retief Goosen,23.78,274,1152,9
6,0,01388,Robert Gamez,23.73,487,2052,67
7,0,23552,Hank Kuehne,23.63,302,1278,102
8,0,01161,Mark Calcavecchia,23.61,357,1512,126
9,0,06004,Stephen Ames,23.60,378,1602,34
10,0,01706,Davis Love III,23.56,335,1422,30
11,0,10885,Robert Allenby,23.40,337,1440,15
12,0,08375,Paul Stankowski,23.38,282,1206,14
13,0,02239,Scott Verplank,23.21,401,1728,53
14,0,20663,Brenden Pappas,23.19,430,1854,58
15,0,01810,Phil Mickelson,23.06,332,1440,108
16,0,10423,Mike Weir,23.04,311,1350,85
17,0,10809,Jim Furyk,22.99,418,1818,6
18,0,07867,Woody Austin,22.97,430,1872,48
19,0,22046,Geoff Ogilvy,22.90,338,1476,108
20,0,07457,Steve Flesch,22.74,442,1944,70
21,0,20229,Stewart Cink,22.72,409,1800,98
22,0,12510,Chad Campbell,22.66,416,1836,4
22,0,08337,Mike Heinen,22.66,359,1584,8
24,0,01226,Fred Couples,22.55,272,1206,127
25,0,06643,Paul Goydos,22.49,336,1494,114
26,0,19824,Craig Barlow,22.40,375,1674,65
27,0,20572,Rod Pampling,22.36,334,1494,79
28,0,20098,Stuart Appleby,22.35,342,1530,95
29,0,12782,Tim Herron,22.28,401,1800,87
30,0,08075,Jerry Kelly,22.17,415,1872,34
31,0,10860,Justin Leonard,22.15,299,1350,100
32,0,12652,Cameron Beckman,22.09,330,1494,55
32,0,01677,Tom Lehman,22.09,326,1476,5
32,0,10585,Scott McCarron,22.09,322,1458,144
35,0,10107,Deane Pappas,22.07,290,1314,170
36,0,22371,Aaron Baddeley,22.06,266,1206,183
37,0,19825,Darren Clarke,22.02,214,972,139
38,0,10733,Kent Jones,21.98,277,1260,41
39,0,20498,Briny Baird,21.97,431,1962,2
40,0,08931,Glen Day,21.95,399,1818,46
41,0,23541,Ben Crane,21.92,363,1656,122
41,0,06581,David Sutherland,21.92,288,1314,10
43,0,01941,Tom Pernice Jr.,21.90,402,1836,123
44,0,24925,Jonathan Byrd,21.89,398,1818,136
45,0,01948,Tim Petrovic,21.85,409,1872,92
46,0,01619,Skip Kendall,21.82,432,1980,72
47,0,22548,Patrick Sheehan,21.77,388,1782,105
47,0,02246,Duffy Waldorf,21.77,337,1548,36
49,0,22913,John Rollins,21.76,333,1530,169
50,0,23034,Brent Schwarzrock,21.74,227,1044,74
51,0,06522,Ernie Els,21.67,234,1080,28
51,0,01320,Bob Estes,21.67,355,1638,60
53,0,21805,Harrison Frazar,21.63,331,1530,51
54,0,02206,David Toms,21.60,315,1458,40
55,0,23338,David Gossett,21.56,357,1656,31
56,0,25345,Carl Pettersson,21.52,306,1422,128
57,0,20127,Chris Riley,21.48,348,1620,176
57,0,02214,Kirk Triplett,21.48,348,1620,19
59,0,06621,Joe Durant,21.47,371,1728,1
60,0,01707,Steve Lowery,21.46,309,1440,110
61,0,01024,Billy Andrade,21.44,386,1800,124
61,0,08123,Jeff Brehaut,21.44,413,1926,16
61,0,20645,John Senden,21.44,413,1926,7
64,0,01945,Kenny Perry,21.36,373,1746,20
65,0,21961,Charles Howell III,21.30,441,2070,43
66,0,12823,Carlos Franco,21.25,371,1746,29
67,0,20095,Carl Paulson,21.23,386,1818,71
68,0,07749,Brett Quigley,21.21,336,1584,86
69,0,08537,J.P. Hayes,21.17,301,1422,83
70,0,01457,Jay Haas,21.15,316,1494,117
70,0,23621,Rory Sabbatini,21.15,354,1674,137
72,0,12645,Brent Geiberger,21.13,194,918,111
73,0,20593,Greg Chalmers,21.11,361,1710,174
74,0,08633,Per-Ulrik Johansson,20.95,362,1728,93
74,0,20436,Garrett Willis,20.95,362,1728,128
76,0,01724,Jeff Maggert,20.92,305,1458,97
76,0,02223,Bob Tway,20.92,320,1530,11
78,0,01797,Rocco Mediate,20.87,293,1404,56
79,0,22295,Darron Stiles,20.86,338,1620,90
80,0,01035,Tommy Armour III,20.83,240,1152,80
80,0,20094,Jonathan Kaye,20.83,330,1584,52
82,0,22892,Jason Gore,20.82,311,1494,181
82,0,11032,Frank Lickliter II,20.82,341,1638,102
84,0,02104,Jeff Sluman,20.78,389,1872,24
85,0,20472,Alex Cejka,20.76,340,1638,66
86,0,01569,Peter Jacobsen,20.74,280,1350,62
87,0,01938,David Peoples,20.72,358,1728,13
88,0,01361,Dan Forsman,20.69,365,1764,3
89,0,02170,Hal Sutton,20.64,301,1458,24
90,0,06573,Brandt Jobe,20.63,286,1386,47
90,0,06595,Kevin Sutherland,20.63,349,1692,44
92,0,01685,J.L. Lewis,20.62,360,1746,82
92,0,10213,Dicky Pride,20.62,271,1314,99
94,0,01968,Nick Price,20.61,230,1116,154
95,0,20548,Hidemichi Tanaka,20.59,415,2016,33
96,0,23983,Luke Donald,20.58,326,1584,94
96,0,20121,Todd Fischer,20.58,352,1710,148
98,0,06034,Marco Dawson,20.57,311,1512,32
98,0,06515,Shaun Micheel,20.57,348,1692,23
100,0,01249,John Daly,20.54,207,1008,132
101,0,01378,David Frost,20.49,295,1440,151
102,0,01723,Andrew Magee,20.47,328,1602,39
103,0,20573,Scott Laycock,20.45,254,1242,149
104,0,01329,Brad Faxon,20.41,349,1710,160
105,0,21209,Sergio Garcia,20.37,209,1026,78
105,0,25031,Andy Miller,20.37,275,1350,171
107,0,02106,Chris Smith,20.35,337,1656,18
108,0,01381,Fred Funk,20.34,399,1962,57
109,0,10201,Matt Gogel,20.32,267,1314,145
110,0,06332,Neal Lancaster,20.30,391,1926,63
110,0,02002,John Riegger,20.30,190,936,38
112,0,22293,Heath Slocum,20.29,358,1764,59
113,0,01139,Olin Browne,20.25,401,1980,76
114,0,24357,K.J. Choi,20.23,386,1908,67
115,0,12388,Michael Clark II,20.16,196,972,77
116,0,01577,Lee Janzen,20.14,290,1440,112
117,0,12602,Dean Wilson,20.12,297,1476,141
118,0,12661,Todd Barranger,20.07,271,1350,180
119,0,12705,Cliff Kresge,20.06,361,1800,90
120,0,12680,Shigeki Maruyama,20.00,306,1530,106
120,0,01766,Billy Mayfair,20.00,378,1890,69
120,0,11011,Mike Sposa,20.00,252,1260,104
123,0,23135,Tim Clark,19.94,280,1404,101
123,0,20634,Peter Lonard,19.94,323,1620,119
125,0,21739,Aaron Barber,19.92,337,1692,81
126,0,20628,Arron Oberholser,19.86,286,1440,87
127,0,12660,Jesper Parnevik,19.83,357,1800,113
128,0,07223,Brian Bateman,19.82,239,1206,53
129,0,08725,Tom Gillis,19.77,242,1224,50
130,0,21806,Paul Gow,19.71,220,1116,107
131,0,10912,Craig Perks,19.69,280,1422,155
132,0,07721,Pat Bates,19.65,382,1944,37
133,0,23614,Rich Beem,19.62,272,1386,152
133,0,25692,Akio Sadakata,19.62,286,1458,75
135,0,07101,Dave Stockton Jr.,19.55,271,1386,162
136,0,10565,Ian Leggatt,19.53,239,1224,42
136,0,24361,Pat Perez,19.53,327,1674,159
138,0,26950,John Morgan,19.48,277,1422,164
139,0,23353,J.J. Henry,19.39,335,1728,20
139,0,06078,Esteban Toledo,19.39,370,1908,84
141,0,20099,Doug Barron,19.38,307,1584,158
142,0,19846,Brian Gay,19.36,338,1746,163
142,0,08339,Spike McRoy,19.36,352,1818,27
144,0,06617,Brian Henninger,19.35,195,1008,161
145,0,24502,Adam Scott,19.32,160,828,168
146,0,20940,Kenichi Kuboya,19.29,309,1602,130
147,0,07941,Mike Grob,19.27,281,1458,64
148,0,20574,Mathew Goggin,19.25,298,1548,45
149,0,12755,Vance Veazey,19.19,228,1188,165
150,0,26420,Richard Johnson,19.16,307,1602,130
151,0,02010,Loren Roberts,19.12,296,1548,152
152,0,01098,Jay Don Blake,19.04,257,1350,120
153,0,12662,Thomas Levet,19.01,284,1494,49
154,0,19972,José Coceres,19.00,212,1116,184
155,0,01475,Donnie Hammond,18.96,314,1656,96
