RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,01378,David Frost,27.65,553,20
2,0,01755,Dick Mast,28.24,706,25
3,0,01468,Gary Hallberg,28.25,678,24
4,0,01495,Morris Hatalsky,28.41,483,17
5,0,01761,Len Mattiace,28.52,713,25
6,0,01361,Dan Forsman,28.55,628,22
7,0,01320,Bob Estes,28.62,744,26
8,0,06691,Greg Cesario,28.63,687,24
9,0,01557,John Inman,28.65,888,31
9,0,01920,Craig Parry,28.65,573,20
11,0,01218,Jeff Cook,28.70,775,27
12,0,01093,Ronnie Black,28.72,718,25
13,0,01329,Brad Faxon,28.73,632,22
14,0,06197,Michael Allen,28.74,776,27
15,0,02294,Willie Wood,28.78,662,23
16,0,01659,Massy Kuramoto,28.79,547,19
16,0,01701,Bob Lohr,28.79,691,24
18,0,02185,Lance Ten Broeck,28.81,893,31
18,0,06589,Jeff Woodland,28.81,749,26
20,0,06058,John Flannery,28.83,836,29
21,0,01823,Larry Mize,28.85,577,20
22,0,02223,Bob Tway,28.86,606,21
23,0,01226,Fred Couples,28.88,491,17
24,0,01797,Rocco Mediate,28.90,607,21
24,0,01837,Gil Morgan,28.90,607,21
24,0,02255,Denis Watson,28.90,607,21
27,0,01876,Greg Norman,28.92,347,12
28,0,06086,Russell Beiersdorf,28.93,839,29
29,0,01249,John Daly,28.95,550,19
30,0,01607,Brian Kamm,28.96,753,26
31,0,06247,David Delong,29.00,580,20
31,0,01353,Bruce Fleisher,29.00,754,26
31,0,01677,Tom Lehman,29.00,696,24
31,0,10795,Neale Smith,29.00,580,20
31,0,02267,D.A. Weibring,29.00,551,19
36,0,01261,Jay Delsing,29.03,842,29
37,0,01143,Brad Bryant,29.04,784,27
37,0,02007,Larry Rinker,29.04,784,27
37,0,02303,Robert Wrenn,29.04,726,25
40,0,01577,Lee Janzen,29.05,639,22
41,0,01132,Mark Brooks,29.07,785,27
41,0,01690,Bruce Lietzke,29.07,407,14
41,0,02010,Loren Roberts,29.07,785,27
44,0,02104,Jeff Sluman,29.08,727,25
45,0,01068,Andy Bean,29.10,582,20
45,0,01235,Ben Crenshaw,29.10,582,20
47,0,01200,Keith Clearwater,29.11,786,27
47,0,01443,Hubert Green,29.11,524,18
47,0,01633,Tom Kite,29.11,524,18
50,0,01331,Rick Fehr,29.12,728,25
51,0,02049,Gene Sauers,29.13,670,23
52,0,01706,Davis Love III,29.17,700,24
53,0,01444,Ken Green,29.18,496,17
54,0,02159,Curtis Strange,29.19,613,21
55,0,01783,Mark McCumber,29.21,555,19
56,0,01553,John Huston,29.22,789,27
57,0,01024,Billy Andrade,29.23,760,26
57,0,01042,Paul Azinger,29.23,643,22
59,0,01116,Michael Bradley,29.24,731,25
60,0,01306,David Edwards,29.26,556,19
60,0,02146,Payne Stewart,29.26,673,23
62,0,02090,Tom Sieckmann,29.27,878,30
62,0,02246,Duffy Waldorf,29.27,644,22
64,0,06090,Jim McGovern,29.28,937,32
64,0,02099,Scott Simpson,29.28,527,18
66,0,02298,Jim Woodward,29.29,498,17
67,0,02206,David Toms,29.31,850,29
68,0,01129,Bill Britton,29.32,821,28
69,0,01288,Ed Dougherty,29.33,968,33
69,0,01390,Buddy Gardner,29.33,704,24
69,0,01569,Peter Jacobsen,29.33,616,21
72,0,01248,Rick Dalpos,29.35,763,26
72,0,01510,Nolan Henke,29.35,675,23
72,0,06012,Greg Kraft,29.35,675,23
75,0,06643,Paul Goydos,29.36,822,28
76,0,01096,Phil Blackmar,29.37,793,27
