RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,01928,Corey Pavin,.535,35.837,67
2,0,01457,Jay Haas,.506,30.854,61
3,0,06522,Ernie Els,.445,18.243,41
4,0,06373,José María Olazábal,.440,18.491,42
5,0,01226,Fred Couples,.432,19.012,44
6,0,20229,Stewart Cink,.391,30.923,79
7,0,24925,Jonathan Byrd,.364,26.603,73
8,0,01968,Nick Price,.357,12.851,36
9,0,06527,Steve Stricker,.353,24.390,69
10,0,06567,Vijay Singh,.352,31.349,89
11,0,01920,Craig Parry,.345,12.752,37
12,0,19846,Brian Gay,.342,30.112,88
13,0,10860,Justin Leonard,.336,21.813,65
14,0,08793,Tiger Woods,.335,18.077,54
15,0,01378,David Frost,.321,24.094,75
16,0,23621,Rory Sabbatini,.317,23.494,74
17,0,06595,Kevin Sutherland,.315,21.090,67
18,0,06251,Chris DiMarco,.299,23.031,77
19,0,20127,Chris Riley,.297,15.767,53
20,0,01361,Dan Forsman,.291,19.178,66
21,0,23983,Luke Donald,.271,16.832,62
21,0,10912,Craig Perks,.271,17.090,63
23,0,20098,Stuart Appleby,.263,15.509,59
24,0,01320,Bob Estes,.262,13.354,51
25,0,01577,Lee Janzen,.260,18.200,70
25,0,01948,Tim Petrovic,.260,22.661,87
27,0,02010,Loren Roberts,.257,17.470,68
28,0,08931,Glen Day,.256,22.497,88
29,0,08075,Jerry Kelly,.250,21.963,88
30,0,02214,Kirk Triplett,.249,16.439,66
31,0,12823,Carlos Franco,.236,21.280,90
32,0,01042,Paul Azinger,.233,15.170,65
32,0,12660,Jesper Parnevik,.233,17.234,74
34,0,02245,Grant Waite,.232,15.748,68
35,0,06078,Esteban Toledo,.227,18.143,80
36,0,01329,Brad Faxon,.226,15.826,70
37,0,25686,Jason Dufner,.224,16.129,72
38,0,22621,Ben Curtis,.223,9.145,41
38,0,20572,Rod Pampling,.223,17.419,78
40,0,19824,Craig Barlow,.222,15.336,69
41,0,01553,John Huston,.221,9.960,45
41,0,08385,Omar Uresti,.221,16.809,76
43,0,01810,Phil Mickelson,.217,11.721,54
44,0,01761,Len Mattiace,.216,15.085,70
45,0,20157,Retief Goosen,.213,8.539,40
46,0,01938,David Peoples,.205,15.340,75
47,0,22371,Aaron Baddeley,.201,15.239,76
48,0,01677,Tom Lehman,.196,11.362,58
49,0,01249,John Daly,.190,12.709,67
49,0,10423,Mike Weir,.190,10.425,55
51,0,02104,Jeff Sluman,.184,15.088,82
52,0,12782,Tim Herron,.182,11.979,66
53,0,25345,Carl Pettersson,.179,14.108,79
54,0,01706,Davis Love III,.156,9.502,61
55,0,12602,Dean Wilson,.145,13.171,91
56,0,01132,Mark Brooks,.144,8.189,57
56,0,01926,Steve Pate,.144,8.774,61
58,0,25396,Kevin Na,.140,12.019,86
59,0,23541,Ben Crane,.139,11.236,81
60,0,22405,Justin Rose,.131,8.254,63
61,0,01157,Tom Byrum,.130,9.395,72
61,0,01766,Billy Mayfair,.130,12.118,93
63,0,01219,John Cook,.127,6.115,48
64,0,07749,Brett Quigley,.125,11.007,88
