RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,01042,Paul Azinger,13,1,2,4
2,0,02146,Payne Stewart,11,2,3,2
3,0,01072,Chip Beck,10,3,1
3,0,01161,Mark Calcavecchia,10,3,1,2
3,0,01633,Tom Kite,10,3,1
6,0,01226,Fred Couples,9,1,2
6,0,02159,Curtis Strange,9,1,1,3
8,0,01378,David Frost,8,1,1,1
8,0,01876,Greg Norman,8,2,1,1
8,0,02100,Tim Simpson,8,2,2,1
11,0,01549,Mike Hulbert,7,1,1
11,0,01682,Wayne Levi,7,1,1
11,0,01783,Mark McCumber,7,1,1
11,0,01823,Larry Mize,7
11,0,01887,Mark O'Meara,7,1,1,1
11,0,01968,Nick Price,7,1
11,0,01996,Mike Reid,7,1,1
11,0,02170,Hal Sutton,7,2
19,0,01175,Jim Carter,6,1
19,0,01527,Scott Hoch,6,1,1,1
19,0,01599,Steve Jones,6,3
19,0,01837,Gil Morgan,6,1
19,0,02067,Ted Schulz,6,1,1
19,0,02242,Lanny Wadkins,6
25,0,01235,Ben Crenshaw,5,1,1
25,0,01284,Mike Donald,5,1,1,1
25,0,01418,Bill Glasson,5,1,1
25,0,01457,Jay Haas,5,2
25,0,01639,Kenny Knox,5,1
25,0,01715,Mark Lye,5,1
25,0,01771,Blaine McCallister,5,2
25,0,01926,Steve Pate,5,1
25,0,02010,Loren Roberts,5
25,0,02033,Dave Rummells,5,2
35,0,01157,Tom Byrum,4,1
35,0,01361,Dan Forsman,4
35,0,01435,Wayne Grady,4,1
35,0,01475,Donnie Hammond,4,1,1
35,0,01522,Lon Hinkle,4
35,0,01706,Davis Love III,4,1,1
35,0,01717,Sandy Lyle,4,2,1
35,0,01958,Dan Pohl,4
35,0,01960,Don Pooley,4,1
35,0,02049,Gene Sauers,4,1
35,0,02104,Jeff Sluman,4
35,0,02133,Craig Stadler,4,1,1
35,0,02223,Bob Tway,4,1,2
35,0,02279,Mark Wiebe,4,1,1
35,0,02321,Fuzzy Zoeller,4,1
50,0,01024,Billy Andrade,3,1
50,0,01068,Andy Bean,3,2
50,0,01093,Ronnie Black,3,2
50,0,01098,Jay Don Blake,3,1
50,0,01106,Jim Booros,3
50,0,01129,Bill Britton,3,1,1
50,0,01313,Steve Elkington,3,1,1
50,0,01385,Jim Gallagher Jr.,3
50,0,01414,Bob Gilder,3,1
50,0,01443,Hubert Green,3,1
50,0,01569,Peter Jacobsen,3,1
50,0,01666,Bernhard Langer,3,1,1
50,0,01690,Bruce Lietzke,3,2
50,0,01701,Bob Lohr,3,1
50,0,01707,Steve Lowery,3
50,0,01723,Andrew Magee,3
50,0,01736,Roger Maltbie,3
50,0,01846,Jodie Mudd,3,1
50,0,01943,Chris Perry,3,1
50,0,01945,Kenny Perry,3,1
50,0,02099,Scott Simpson,3,1
50,0,02101,Joey Sindelar,3
50,0,02148,Ray Stewart,3,1
50,0,02185,Lance Ten Broeck,3,1
50,0,02246,Duffy Waldorf,3,1
75,0,01006,John Adams,2
75,0,01035,Tommy Armour III,2,1
75,0,01051,Seve Ballesteros,2,1
75,0,01060,Dave Barr,2
75,0,01096,Phil Blackmar,2
75,0,01151,Clark Burroughs,2,1
75,0,01203,Russ Cochran,2
75,0,01303,Bob Eastwood,2
75,0,01306,David Edwards,2,1
75,0,01310,Dave Eichelberger,2
75,0,01320,Bob Estes,2,1
75,0,01326,Nick Faldo,2,1
75,0,01329,Brad Faxon,2,2
75,0,01346,Ed Fiori,2,1
75,0,01381,Fred Funk,2,1
75,0,06284,Jim Hallet,2
75,0,01499,Mark Hayes,2
75,0,01533,P.H. Horgan III,2
75,0,01553,John Huston,2,1
75,0,01559,Hale Irwin,2,1
75,0,01571,Barry Jaeckel,2
75,0,01641,Gary Koch,2
75,0,01725,John Mahaffey,2,1
75,0,01864,Larry Nelson,2,1
75,0,01869,Jack Nicklaus,2
75,0,01891,David Ogrin,2,1
75,0,06373,José María Olazábal,2
75,0,01938,David Peoples,2,1
75,0,01941,Tom Pernice Jr.,2
75,0,01975,Tom Purtzer,2
75,0,02007,Larry Rinker,2
75,0,02023,Clarence Rose,2,1,1
75,0,02041,Bill Sander,2
75,0,02087,Don Shirey Jr.,2,1
