RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,07363,Craig Bowden,39' 7",92659,195,7721.583,+19.00
2,0,10117,Bob Heintz,39' 8",113360,238,9446.667,+33.00
3,0,23322,Brett Wetterich,39' 9",133205,279,11100.417,+22.00
4,0,02101,Joey Sindelar,39' 10",94247,197,7853.917,+28.00
5,0,01132,Mark Brooks,40' 0",48048,100,4004.000,+25.00
5,0,06567,Vijay Singh,40' 0",152521,318,12710.083,+26.00
7,0,20104,Ken Duke,40' 2",146942,305,12245.167,+1.00
8,0,23983,Luke Donald,40' 6",68492,141,5707.667,+26.00
8,0,07457,Steve Flesch,40' 6",139865,288,11655.417,+41.00
10,0,06522,Ernie Els,40' 7",87245,179,7270.417,+9.00
11,0,29476,Kyle Reifers,40' 8",106980,219,8915.000,+45.00
12,0,20850,Daniel Chopra,40' 10",196643,401,16386.917,+27.00
12,0,23135,Tim Clark,40' 10",71056,145,5921.333,+23.00
14,0,01035,Tommy Armour III,40' 11",84956,173,7079.667,+15.00
14,0,08793,Tiger Woods,40' 11",81032,165,6752.667,-11.00
16,0,27141,J.B. Holmes,41' 0",123504,251,10292.000,+23.00
16,0,24361,Pat Perez,41' 0",118526,241,9877.167,+36.00
16,0,21660,Jason Schultz,41' 0",92015,187,7667.917,+29.00
16,0,23788,D.J. Trahan,41' 0",142236,289,11853.000,+46.00
20,0,08123,Jeff Brehaut,41' 3",74789,151,6232.417,+30.00
20,0,22293,Heath Slocum,41' 3",121682,246,10140.167,+19.00
22,0,20691,Greg Owen,41' 4",117555,237,9796.250,+52.00
22,0,24457,Jaco Van Zyl,41' 4",72382,146,6031.833,+32.00
24,0,21209,Sergio Garcia,41' 5",117319,236,9776.583,+14.00
25,0,21959,Ted Purdy,41' 6",135373,272,11281.083,+32.00
26,0,02104,Jeff Sluman,41' 7",70858,142,5904.833,+36.00
27,0,19824,Craig Barlow,41' 8",80528,161,6710.667,+29.00
28,0,23933,Michael Boyd,41' 9",73677,147,6139.750,+20.00
28,0,02206,David Toms,41' 9",100718,201,8393.167,+18.00
30,0,01320,Bob Estes,41' 10",131075,261,10922.917,+31.00
31,0,24358,Robert Garrigus,41' 11",191022,380,15918.500,+20.00
31,0,01945,Kenny Perry,41' 11",118152,235,9846.000,+25.00
31,0,22913,John Rollins,41' 11",135328,269,11277.333,+29.00
34,0,06621,Joe Durant,42' 0",98238,195,8186.500,+23.00
34,0,20645,John Senden,42' 0",139510,277,11625.833,+22.00
34,0,02223,Bob Tway,42' 0",155594,309,12966.167,+20.00
34,0,23349,Charles Warren,42' 0",136970,272,11414.167,+56.00
38,0,06197,Michael Allen,42' 1",102506,203,8542.167,+46.00
38,0,21646,David Branshaw,42' 1",126791,251,10565.917,+54.00
40,0,20766,Padraig Harrington,42' 2",91070,180,7589.167,-5.00
40,0,25804,Bubba Watson,42' 2",139051,275,11587.583,+18.00
42,0,21633,Steve Allan,42' 3",103509,204,8625.750,+12.00
42,0,12652,Cameron Beckman,42' 3",125746,248,10478.833,+27.00
44,0,19972,José Coceres,42' 4",48809,96,4067.417,+23.00
44,0,26679,Kevin Stadler,42' 4",148255,292,12354.583,+43.00
46,0,28486,Michael Putnam,42' 5",149048,293,12420.667,+36.00
46,0,20127,Chris Riley,42' 5",76920,151,6410.000,+20.00
48,0,20498,Briny Baird,42' 6",160203,314,13350.250,+48.00
48,0,24490,George McNeill,42' 6",143773,282,11981.083,+30.00
50,0,08537,J.P. Hayes,42' 7",147197,288,12266.417,+32.00
51,0,12716,Charley Hoffman,42' 9",155327,303,12943.917,+49.00
51,0,06515,Shaun Micheel,42' 9",105195,205,8766.250,+37.00
51,0,25190,Jeff Quinney,42' 9",131886,257,10990.500,+44.00
54,0,22046,Geoff Ogilvy,42' 10",116626,227,9718.833,+11.00
54,0,10213,Dicky Pride,42' 10",105980,206,8831.667,+44.00
56,0,24507,Jason Bohn,42' 11",93759,182,7813.250,+32.00
56,0,01381,Fred Funk,42' 11",61746,120,5145.500,+28.00
56,0,11032,Frank Lickliter II,42' 11",128287,249,10690.583,+48.00
59,0,01706,Davis Love III,43' 0",109302,212,9108.500,+21.00
59,0,26881,Jarrod Lyle,43' 0",125817,244,10484.750,+27.00
61,0,11123,Chris Couch,43' 1",151898,294,12658.167,+41.00
62,0,21961,Charles Howell III,43' 2",159175,307,13264.583,+34.00
62,0,12660,Jesper Parnevik,43' 2",140442,271,11703.500,+13.00
62,0,27649,Brandt Snedeker,43' 2",153792,297,12816.000,+32.00
65,0,10885,Robert Allenby,43' 3",149968,289,12497.333,+32.00
65,0,21753,Brian Davis,43' 3",117771,227,9814.250,+19.00
65,0,24140,Sean O'Hair,43' 3",138532,267,11544.333,+20.00
65,0,20628,Arron Oberholser,43' 3",103736,200,8644.667,+19.00
65,0,25345,Carl Pettersson,43' 3",175009,337,14584.083,+24.00
70,0,19803,Ryan Armour,43' 4",149343,287,12445.250,+64.00
70,0,23497,Tag Ridings,43' 4",93614,180,7801.167,+19.00
70,0,27095,Nick Watney,43' 4",132161,254,11013.417,+46.00
70,0,26289,Boo Weekley,43' 4",143545,276,11962.083,+41.00
74,0,21805,Harrison Frazar,43' 5",158238,304,13186.500,+50.00
74,0,27060,John Mallinger,43' 5",145763,280,12146.917,+45.00
74,0,26882,Michael Sim,43' 5",84947,163,7078.917,+24.00
77,0,02214,Kirk Triplett,43' 6",99216,190,8268.000,+55.00
78,0,20098,Stuart Appleby,43' 7",101407,194,8450.583,+31.00
78,0,01388,Robert Gamez,43' 7",118769,227,9897.417,+56.00
78,0,20859,Anders Hansen,43' 7",58053,111,4837.750,+26.00
78,0,24912,Will MacKenzie,43' 7",179817,344,14984.750,+57.00
82,0,23325,Vaughn Taylor,43' 8",123196,235,10266.333,+31.00
83,0,25892,Steve Wheatcroft,43' 9",104982,200,8748.500,+42.00
84,0,12195,Tom Johnson,43' 10",114751,218,9562.583,+45.00
85,0,23048,Eric Axley,43' 11",196142,372,16345.167,+57.00
85,0,10809,Jim Furyk,43' 11",85872,163,7156.000,+15.00
85,0,20433,Mark Hensby,43' 11",122751,233,10229.250,+42.00
85,0,23621,Rory Sabbatini,43' 11",134281,255,11190.083,+22.00
85,0,21528,Henrik Stenson,43' 11",71149,135,5929.083,+19.00
90,0,01024,Billy Andrade,44' 0",159338,302,13278.167,+51.00
91,0,20472,Alex Cejka,44' 1",115906,219,9658.833,+30.00
91,0,24980,Scott Gutschewski,44' 1",120557,228,10046.417,+37.00
91,0,22378,Trevor Immelman,44' 1",85177,161,7098.083,+32.00
91,0,27120,Troy Matteson,44' 1",150634,285,12552.833,+41.00
91,0,01810,Phil Mickelson,44' 1",113127,214,9427.250,+19.00
91,0,02239,Scott Verplank,44' 1",85715,162,7142.917,+15.00
97,0,24290,D.J. Brigman,44' 2",100678,190,8389.833,+35.00
97,0,19846,Brian Gay,44' 2",128812,243,10734.333,+38.00
97,0,21949,Joe Ogilvie,44' 2",158544,299,13212.000,+35.00
100,0,01473,Todd Hamilton,44' 3",114189,215,9515.750,+51.00
100,0,21731,Freddie Jacobson,44' 3",127869,241,10655.750,+32.00
100,0,22348,Nick O'Hern,44' 3",94529,178,7877.417,+29.00
103,0,01948,Tim Petrovic,44' 4",192428,362,16035.667,+47.00
104,0,24925,Jonathan Byrd,44' 5",113432,213,9452.667,+35.00
104,0,20382,Stephen Leaney,44' 5",126304,237,10525.333,+31.00
104,0,23320,Ryan Palmer,44' 5",170040,319,14170.000,+59.00
107,0,26360,Bubba Dickerson,44' 6",89647,168,7470.583,+28.00
107,0,06643,Paul Goydos,44' 6",76409,143,6367.417,+39.00
107,0,27933,John Merrick,44' 6",161358,302,13446.500,+43.00
110,0,27963,Chris Stroud,44' 7",103185,193,8598.750,+41.00
110,0,23623,Bo Van Pelt,44' 7",176035,329,14669.583,+29.00
110,0,10425,Jay Williamson,44' 7",72736,136,6061.333,+18.00
113,0,23614,Rich Beem,44' 8",129159,241,10763.250,+43.00
113,0,01249,John Daly,44' 8",139800,261,11650.000,+29.00
113,0,23638,Brendon de Jonge,44' 8",130665,244,10888.750,+53.00
113,0,27702,Matt Hendrix,44' 8",97557,182,8129.750,+52.00
113,0,01797,Rocco Mediate,44' 8",107228,200,8935.667,+46.00
118,0,20229,Stewart Cink,44' 9",141643,264,11803.583,+24.00
118,0,20378,Mathias Grönberg,44' 9",180320,336,15026.667,+34.00
120,0,12680,Shigeki Maruyama,44' 10",142159,264,11846.583,+50.00
120,0,06595,Kevin Sutherland,44' 10",134477,250,11206.417,+28.00
122,0,07867,Woody Austin,44' 11",162305,301,13525.417,+44.00
122,0,25900,Lucas Glover,44' 11",131990,245,10999.167,+27.00
122,0,29718,Anthony Kim,44' 11",153652,285,12804.333,+32.00
122,0,20160,Charlie Wi,44' 11",138979,258,11581.583,+37.00
126,0,20105,Jeff Gove,45' 0",157104,291,13092.000,+47.00
126,0,22212,Craig Lile,45' 0",136508,253,11375.667,+41.00
126,0,26596,Ryan Moore,45' 0",135090,250,11257.500,+20.00
126,0,26951,Johnson Wagner,45' 0",162550,301,13545.833,+46.00
130,0,23613,Rich Barcelo,45' 1",156768,290,13064.000,+58.00
130,0,21470,Daisuke Maruyama,45' 1",134632,249,11219.333,+47.00
132,0,22295,Darron Stiles,45' 2",79175,146,6597.917,+35.00
132,0,02246,Duffy Waldorf,45' 2",96536,178,8044.667,+26.00
134,0,06004,Stephen Ames,45' 3",110258,203,9188.167,+32.00
134,0,25273,Andrew Buckle,45' 3",142351,262,11862.583,+42.00
134,0,10860,Justin Leonard,45' 3",118987,219,9915.583,+30.00
137,0,28158,Steve Marino,45' 4",181616,334,15134.667,+25.00
137,0,08375,Paul Stankowski,45' 4",80497,148,6708.083,+38.00
137,0,10423,Mike Weir,45' 4",103862,191,8655.167,+27.00
140,0,01161,Mark Calcavecchia,45' 5",130287,239,10857.250,+39.00
140,0,23353,J.J. Henry,45' 5",117752,216,9812.667,+24.00
140,0,12782,Tim Herron,45' 5",152110,279,12675.833,+40.00
140,0,21350,Ryuji Imada,45' 5",182431,335,15202.583,+35.00
140,0,01677,Tom Lehman,45' 5",77352,142,6446.000,+35.00
140,0,25396,Kevin Na,45' 5",153235,281,12769.583,+38.00
140,0,24502,Adam Scott,45' 5",104594,192,8716.167,+30.00
147,0,12705,Cliff Kresge,45' 6",193854,355,16154.500,+57.00
148,0,22892,Jason Gore,45' 8",126115,230,10509.583,+30.00
148,0,20572,Rod Pampling,45' 8",140406,256,11700.500,+35.00
150,0,01142,Bart Bryant,45' 9",113669,207,9472.417,+27.00
150,0,20623,Gavin Coles,45' 9",119040,217,9920.000,+33.00
150,0,20574,Mathew Goggin,45' 9",150359,274,12529.917,+34.00
150,0,21806,Paul Gow,45' 9",104402,190,8700.167,+34.00
150,0,23800,Bryce Molder,45' 9",106467,194,8872.250,+29.00
150,0,28475,Jeff Overton,45' 9",108055,197,9004.583,+6.00
150,0,06527,Steve Stricker,45' 9",115933,211,9661.083,+27.00
157,0,12510,Chad Campbell,45' 10",135914,247,11326.167,+55.00
158,0,12714,Chris Tidland,45' 11",84816,154,7068.000,+20.00
159,0,06251,Chris DiMarco,46' 3",123104,222,10258.667,+39.00
159,0,26420,Richard Johnson,46' 3",163196,294,13599.667,+66.00
161,0,24924,Bill Haas,46' 4",158939,286,13244.917,+33.00
161,0,08075,Jerry Kelly,46' 4",126709,228,10559.083,+30.00
163,0,08931,Glen Day,46' 5",119835,215,9986.250,+32.00
163,0,02036,Jim Rutledge,46' 5",71359,128,5946.583,+31.00
163,0,27770,Camilo Villegas,46' 5",148279,266,12356.583,+29.00
166,0,07223,Brian Bateman,46' 7",84392,151,7032.667,+31.00
166,0,23108,Matt Kuchar,46' 7",129624,232,10802.000,+32.00
166,0,07749,Brett Quigley,46' 7",145854,261,12154.500,+44.00
169,0,23718,Nathan Green,46' 8",171967,307,14330.583,+33.00
169,0,20634,Peter Lonard,46' 8",123841,221,10320.083,+24.00
169,0,01724,Jeff Maggert,46' 8",139934,250,11661.167,+38.00
172,0,25686,Jason Dufner,46' 11",178046,316,14837.167,+51.00
172,0,01928,Corey Pavin,46' 11",116558,207,9713.167,+42.00
174,0,01707,Steve Lowery,47' 0",134836,239,11236.333,+51.00
175,0,07547,Craig Kanada,47' 1",167176,296,13931.333,+58.00
176,0,24138,Ian Poulter,47' 2",76465,135,6372.083,+10.00
177,0,06034,Marco Dawson,47' 3",136175,240,11347.917,+20.00
178,0,24449,Parker McLachlin,47' 4",157454,277,13121.167,+47.00
179,0,10733,Kent Jones,47' 5",140520,247,11710.000,+56.00
180,0,21878,Mark Wilson,47' 6",116846,205,9737.167,+33.00
181,0,22405,Justin Rose,47' 8",70923,124,5910.250,+26.00
181,0,12602,Dean Wilson,47' 8",140027,245,11668.917,+24.00
183,0,01313,Steve Elkington,48' 2",110377,191,9198.083,+33.00
184,0,01766,Billy Mayfair,48' 3",120992,209,10082.667,+16.00
184,0,06373,José María Olazábal,48' 3",89801,155,7483.417,+23.00
186,0,01157,Tom Byrum,48' 4",69027,119,5752.250,+26.00
187,0,24781,Hunter Mahan,48' 8",114491,196,9540.917,+27.00
188,0,22806,Doug LaBelle II,48' 10",150503,257,12541.917,+56.00
189,0,24357,K.J. Choi,49' 0",145804,248,12150.333,+32.00
189,0,24024,Zach Johnson,49' 0",82867,141,6905.583,+36.00
191,0,08881,Tripp Isenhour,49' 2",141123,239,11760.250,+63.00
192,0,01941,Tom Pernice Jr.,49' 8",147831,248,12319.250,+31.00
193,0,22621,Ben Curtis,49' 11",122264,204,10188.667,+47.00
194,0,01577,Lee Janzen,50' 0",110461,184,9205.083,+41.00
195,0,20157,Retief Goosen,50' 7",81392,134,6782.667,+24.00
196,0,22371,Aaron Baddeley,50' 11",158755,260,13229.583,+29.00
