RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,34046,Jordan Spieth,68.846,5377,- 7.012,78
2,0,32102,Rickie Fowler,69.083,5287,- 36.726,76
3,0,33448,Justin Thomas,69.359,5482,- 2.600,79
4,0,26851,Marc Leishman,69.468,6269,- 16.894,90
5,0,25364,Paul Casey,69.469,6270,- 17.811,90
6,0,28237,Rory McIlroy,69.529,3367,- 29.609,48
7,0,30925,Dustin Johnson,69.549,4873,- 4.544,70
8,0,46970,Jon Rahm,69.561,5780,- 6.412,83
9,0,21209,Sergio Garcia,69.596,4335,- 20.062,62
10,0,32839,Hideki Matsuyama,69.624,5294,- 2.569,76
11,0,22405,Justin Rose,69.699,4475,- 14.249,64
12,0,25198,Francesco Molinari,69.802,5049,- 23.262,72
13,0,23108,Matt Kuchar,69.806,6444,- 21.885,92
14,0,36689,Brooks Koepka,69.847,5620,- 32.235,80
15,0,35450,Patrick Cantlay,69.971,3360,- 1.404,48
16,0,29725,Tony Finau,69.987,7265,13.619,104
17,0,30110,Kyle Stanley,69.989,6994,4.880,100
18,0,24502,Adam Scott,69.996,4093,- 33.255,58
19,0,24924,Bill Haas,70.011,5965,- 14.088,85
20,0,29221,Webb Simpson,70.018,6926,5.768,99
21,0,34098,Russell Henley,70.027,6799,- 6.398,97
22,0,24138,Ian Poulter,70.045,4765,- 1.939,68
23,0,27649,Brandt Snedeker,70.055,3501,1.772,50
24,0,28089,Jason Day,70.115,4648,- 20.416,66
25,0,40026,Daniel Berger,70.121,6026,4.406,86
26,0,25900,Lucas Glover,70.139,6314,- 1.505,90
27,0,48081,Xander Schauffele,70.163,6449,6.015,92
28,0,01810,Phil Mickelson,70.168,5631,- 17.598,80
29,0,26331,Charl Schwartzel,70.211,4248,- 35.326,60
30,0,20229,Stewart Cink,70.213,6522,7.842,93
31,0,26329,Louis Oosthuizen,70.220,4386,- 32.359,62
32,0,26476,Chez Reavie,70.244,6650,23.167,95
33,0,24361,Pat Perez,70.250,6322,.517,90
34,0,25686,Jason Dufner,70.259,5774,- 12.731,82
35,0,29478,Kevin Kisner,70.294,6891,- 2.145,98
36,0,12716,Charley Hoffman,70.351,7606,- 8.072,108
37,0,21961,Charles Howell III,70.371,5749,21.404,82
38,0,27436,Graham DeLaet,70.376,5349,- .423,76
39,0,29461,Jamie Lovemark,70.391,6748,9.581,96
40,0,24024,Zach Johnson,70.393,5440,- 19.745,77
