RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 1 PUTTS,TOTAL ROUNDS
1,0,34046,Jordan Spieth,8.26,809,98
2,0,10860,Justin Leonard,7.96,597,75
3,0,22371,Aaron Baddeley,7.94,572,72
3,0,19846,Brian Gay,7.94,627,79
5,0,24138,Ian Poulter,7.75,434,56
6,0,20593,Greg Chalmers,7.74,627,81
6,0,10423,Mike Weir,7.74,503,65
8,0,27141,J.B. Holmes,7.73,665,86
9,0,35139,Richard Lee,7.69,600,78
10,0,01810,Phil Mickelson,7.68,545,71
11,0,35539,Luke Guthrie,7.62,648,85
12,0,32102,Rickie Fowler,7.60,646,85
12,0,26331,Charl Schwartzel,7.60,471,62
14,0,30926,Chris Kirk,7.57,787,104
14,0,30927,Brendon Todd,7.57,818,108
16,0,23983,Luke Donald,7.54,422,56
17,0,21731,Freddie Jacobson,7.52,684,91
17,0,28237,Rory McIlroy,7.52,481,64
17,0,27963,Chris Stroud,7.52,662,88
20,0,33461,Morgan Hoffmann,7.51,743,99
21,0,25349,Tim Wilkinson,7.50,615,82
22,0,20098,Stuart Appleby,7.49,674,90
22,0,35732,Wes Roach,7.49,472,63
24,0,25191,Gonzalo Fernandez-Castaño,7.48,613,82
24,0,25396,Kevin Na,7.48,703,94
26,0,06522,Ernie Els,7.46,589,79
27,0,25720,Chad Collins,7.45,551,74
27,0,25562,Andres Romero,7.45,574,77
29,0,28307,Matt Every,7.44,632,85
30,0,27649,Brandt Snedeker,7.43,646,87
30,0,20396,Lee Westwood,7.43,416,56
32,0,21753,Brian Davis,7.42,690,93
33,0,08075,Jerry Kelly,7.41,593,80
34,0,23135,Tim Clark,7.40,555,75
34,0,23320,Ryan Palmer,7.40,629,85
36,0,24846,Ricky Barnes,7.38,649,88
37,0,28259,Sangmoon Bae,7.36,559,76
37,0,31560,Brian Stuard,7.36,640,87
39,0,25572,Graeme McDowell,7.35,456,62
40,0,35300,Andrew Loupe,7.34,448,61
41,0,24494,Erik Compton,7.32,644,88
42,0,24357,K.J. Choi,7.31,585,80
42,0,21209,Sergio Garcia,7.31,424,58
42,0,20160,Charlie Wi,7.31,512,70
45,0,34261,Scott Langley,7.30,679,93
45,0,34360,Patrick Reed,7.30,657,90
47,0,29479,Scott Brown,7.29,729,100
47,0,28089,Jason Day,7.29,350,48
47,0,32839,Hideki Matsuyama,7.29,583,80
47,0,25632,Jimmy Walker,7.29,700,96
51,0,25274,Steven Bowditch,7.28,677,93
51,0,12716,Charley Hoffman,7.28,677,93
51,0,30925,Dustin Johnson,7.28,415,57
51,0,24502,Adam Scott,7.28,495,68
55,0,23800,Bryce Molder,7.27,531,73
55,0,24361,Pat Perez,7.27,611,84
57,0,31202,William McGirt,7.25,696,96
58,0,29221,Webb Simpson,7.24,608,84
58,0,32150,Michael Thompson,7.24,536,74
60,0,27895,Jonas Blixt,7.23,448,62
60,0,36689,Brooks Koepka,7.23,405,56
62,0,23409,James Driscoll,7.21,512,71
62,0,30852,Ryo Ishikawa,7.21,541,75
62,0,34431,Robert Streb,7.21,512,71
65,0,23541,Ben Crane,7.20,583,81
66,0,29740,Brad Fritsch,7.19,345,48
66,0,23108,Matt Kuchar,7.19,633,88
66,0,27214,Kevin Streelman,7.19,561,78
69,0,27644,Brian Harman,7.18,797,111
69,0,28475,Jeff Overton,7.18,546,76
71,0,26956,Bronson La'Cassie,7.15,336,47
72,0,27770,Camilo Villegas,7.14,678,95
73,0,24024,Zach Johnson,7.13,684,96
74,0,34563,Chesson Hadley,7.12,598,84
74,0,29518,Brendan Steele,7.12,605,85
76,0,26300,Matt Jones,7.11,590,83
77,0,24490,George McNeill,7.10,561,79
77,0,29289,S.Y. Noh,7.10,653,92
77,0,22405,Justin Rose,7.10,483,68
77,0,24663,Y.E. Yang,7.10,554,78
81,0,33141,Keegan Bradley,7.09,624,88
81,0,30750,Tommy Gainey,7.09,489,69
81,0,34098,Russell Henley,7.09,652,92
81,0,30944,Jason Kokrak,7.09,461,65
81,0,24140,Sean O'Hair,7.09,546,77
81,0,28132,Tyrone Van Aswegen,7.09,553,78
87,0,07867,Woody Austin,7.08,418,59
88,0,20157,Retief Goosen,7.07,636,90
89,0,27408,Martin Kaymer,7.06,452,64
90,0,25364,Paul Casey,7.05,395,56
90,0,29535,Brice Garnett,7.05,620,88
90,0,24358,Robert Garrigus,7.05,564,80
90,0,34409,David Lingmerth,7.05,536,76
94,0,10809,Jim Furyk,7.04,563,80
94,0,28092,D.H. Lee,7.04,352,50
94,0,29926,Danny Lee,7.04,563,80
94,0,22046,Geoff Ogilvy,7.04,563,80
98,0,22621,Ben Curtis,7.03,513,73
98,0,23621,Rory Sabbatini,7.03,548,78
100,0,33413,Ben Martin,7.01,561,80
101,0,26851,Marc Leishman,7.00,560,80
101,0,32640,Troy Merritt,7.00,434,62
103,0,24912,Will MacKenzie,6.99,573,82
103,0,25804,Bubba Watson,6.99,510,73
105,0,26758,David Hearn,6.98,677,97
105,0,29478,Kevin Kisner,6.98,593,85
107,0,32366,Kevin Chappell,6.97,669,96
107,0,33418,Shawn Stefani,6.97,418,60
109,0,26596,Ryan Moore,6.95,584,84
110,0,23638,Brendon de Jonge,6.93,755,109
111,0,24507,Jason Bohn,6.90,559,81
111,0,31323,Gary Woodland,6.90,635,92
113,0,24925,Jonathan Byrd,6.89,496,72
113,0,02206,David Toms,6.89,427,62
115,0,24924,Bill Haas,6.87,721,105
116,0,32200,Roberto Castro,6.85,507,74
116,0,29222,Billy Hurley III,6.85,589,86
116,0,24781,Hunter Mahan,6.85,582,85
116,0,25834,Daniel Summerhays,6.85,671,98
120,0,34174,John Huh,6.84,568,83
120,0,33122,Russell Knox,6.84,629,92
122,0,21961,Charles Howell III,6.82,723,106
122,0,27556,Ted Potter Jr.,6.82,464,68
122,0,33419,Cameron Tringale,6.82,757,111
125,0,28500,Martin Flores,6.81,579,85
125,0,27466,Spencer Levin,6.81,402,59
125,0,20645,John Senden,6.81,674,99
128,0,34099,Harris English,6.80,626,92
128,0,29461,Jamie Lovemark,6.80,408,60
130,0,20848,Ángel Cabrera,6.78,468,69
131,0,20498,Briny Baird,6.76,338,50
131,0,27095,Nick Watney,6.76,507,75
133,0,01706,Davis Love III,6.75,486,72
133,0,06567,Vijay Singh,6.75,560,83
135,0,20229,Stewart Cink,6.74,613,91
136,0,22293,Heath Slocum,6.72,464,69
137,0,25345,Carl Pettersson,6.70,610,91
138,0,27120,Troy Matteson,6.69,388,58
139,0,20104,Ken Duke,6.67,520,78
139,0,26329,Louis Oosthuizen,6.67,307,46
141,0,28486,Michael Putnam,6.66,679,102
141,0,30692,Scott Stallings,6.66,506,76
141,0,26951,Johnson Wagner,6.66,433,65
144,0,01724,Jeff Maggert,6.65,359,54
145,0,10885,Robert Allenby,6.63,537,81
145,0,32334,Charlie Beljan,6.63,477,72
145,0,25240,D.A. Points,6.63,484,73
148,0,34021,Bud Cauley,6.61,370,56
149,0,23623,Bo Van Pelt,6.59,547,83
150,0,27436,Graham DeLaet,6.58,520,79
151,0,27330,Josh Teater,6.56,577,88
152,0,32448,James Hahn,6.55,524,80
153,0,25686,Jason Dufner,6.52,352,54
153,0,21878,Mark Wilson,6.52,424,65
155,0,37273,Derek Ernst,6.46,491,76
156,0,22378,Trevor Immelman,6.44,515,80
157,0,21528,Henrik Stenson,6.43,347,54
157,0,29425,Andrew Svoboda,6.43,495,77
159,0,31193,Jim Renner,6.42,379,59
160,0,27064,Jhonattan Vegas,6.40,480,75
161,0,31557,Jim Herman,6.38,370,58
161,0,35541,John Peterson,6.38,383,60
163,0,34265,Will Wilcox,6.37,312,49
164,0,29420,Billy Horschel,6.34,571,90
165,0,26679,Kevin Stadler,6.31,562,89
166,0,28780,Nicholas Thompson,6.27,508,81
167,0,27936,Martin Laird,6.26,388,62
168,0,32333,Kevin Tway,6.25,375,60
169,0,25444,Justin Hicks,6.24,618,99
170,0,27933,John Merrick,6.18,513,83
171,0,30110,Kyle Stanley,6.17,512,83
172,0,22913,John Rollins,6.14,491,80
173,0,34264,Hudson Swafford,6.07,431,71
174,0,12510,Chad Campbell,6.04,320,53
175,0,25900,Lucas Glover,6.03,398,66
176,0,23353,J.J. Henry,5.94,517,87
177,0,26289,Boo Weekley,5.78,416,72
