RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST OF APPR SHOT,TOTAL HOLES
1,0,34314,Sebastian Cappelen,160.5,3900252.000,675
2,0,48119,Ben Taylor,161.6,3234864.000,556
3,0,25686,Jason Dufner,161.7,7679519.000,1319
4,0,27095,Nick Watney,161.9,4383109.000,752
5,0,34466,Peter Malnati,162.0,6851095.000,1175
6,0,46550,Brandon Hagy,162.6,6040116.000,1032
7,0,19846,Brian Gay,162.7,6431253.000,1098
8,0,32618,Rhein Gibson,163.2,3965864.000,675
8,0,26758,David Hearn,163.2,4799877.000,817
10,0,31420,Anirban Lahiri,163.4,5670820.000,964
10,0,27330,Josh Teater,163.4,3451953.000,587
12,0,28679,Fabián Gómez,163.7,3582384.000,608
12,0,22056,Cameron Percy,163.7,6330631.000,1074
12,0,23325,Vaughn Taylor,163.7,6476280.000,1099
15,0,33120,Mark Anderson,163.8,3572519.000,606
16,0,33410,Andrew Landry,164.0,6434491.000,1090
16,0,35104,Tom Lewis,164.0,7352625.000,1245
18,0,49766,Hank Lebioda,164.3,5724013.000,968
19,0,12716,Charley Hoffman,164.4,8308293.000,1404
19,0,33122,Russell Knox,164.4,8465812.000,1430
21,0,24924,Bill Haas,164.5,3287242.000,555
21,0,35617,Martin Trainer,164.5,5022607.000,848
21,0,23623,Bo Van Pelt,164.5,5820092.000,983
24,0,27554,Scott Harrington,164.6,6655158.000,1123
24,0,39324,J.J. Spaun,164.6,5504096.000,929
26,0,32640,Troy Merritt,164.7,8481009.000,1430
26,0,30110,Kyle Stanley,164.7,7837645.000,1322
28,0,22371,Aaron Baddeley,164.8,3809778.000,642
28,0,51766,Wyndham Clark,164.8,7487683.000,1262
30,0,47347,Adam Schenk,164.9,8496375.000,1431
30,0,27770,Camilo Villegas,164.9,6873013.000,1158
32,0,24781,Hunter Mahan,165.0,4301807.000,724
33,0,27556,Ted Potter Jr.,165.1,6111831.000,1028
