RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,32102,Rickie Fowler,.852,53.706,63
2,0,32150,Michael Thompson,.840,36.940,44
3,0,23983,Luke Donald,.704,30.285,43
4,0,27644,Brian Harman,.600,51.597,86
5,0,36689,Brooks Koepka,.581,38.934,67
6,0,34360,Patrick Reed,.577,48.483,84
7,0,27649,Brandt Snedeker,.572,24.044,42
8,0,25572,Graeme McDowell,.563,28.174,50
9,0,27895,Jonas Blixt,.536,31.627,59
10,0,26329,Louis Oosthuizen,.530,27.008,51
11,0,35506,Mackenzie Hughes,.492,47.265,96
12,0,25191,Gonzalo Fernandez-Castaño,.489,21.523,44
13,0,34409,David Lingmerth,.484,33.406,69
14,0,33204,Shane Lowry,.479,18.184,38
14,0,25892,Steve Wheatcroft,.479,19.148,40
16,0,26499,Rafa Cabrera Bello,.473,21.756,46
16,0,22986,Søren Kjeldsen,.473,16.081,34
18,0,39954,Cody Gribble,.461,32.252,70
19,0,06522,Ernie Els,.458,16.959,37
20,0,19846,Brian Gay,.451,31.106,69
20,0,34466,Peter Malnati,.451,32.905,73
22,0,37454,Whee Kim,.443,27.485,62
23,0,34098,Russell Henley,.434,37.283,86
24,0,24024,Zach Johnson,.417,28.326,68
24,0,26476,Chez Reavie,.417,34.584,83
26,0,33399,Adam Hadwin,.409,32.298,79
27,0,35545,Blayne Barber,.402,26.929,67
27,0,48081,Xander Schauffele,.402,29.755,74
29,0,27770,Camilo Villegas,.400,24.802,62
30,0,29478,Kevin Kisner,.388,29.847,77
31,0,46443,Brian Campbell,.385,15.773,41
32,0,23800,Bryce Molder,.383,24.540,64
33,0,34099,Harris English,.374,26.957,72
33,0,29222,Billy Hurley III,.374,25.772,69
35,0,48822,Sebastián Muñoz,.358,13.953,39
36,0,26851,Marc Leishman,.356,25.972,73
37,0,28089,Jason Day,.354,19.497,55
38,0,24361,Pat Perez,.346,25.281,73
39,0,48084,Wesley Bryan,.340,26.142,77
40,0,01810,Phil Mickelson,.337,23.222,69
41,0,37278,Nicholas Lindheim,.336,14.796,44
42,0,27958,Ryan Blaum,.334,27.370,82
43,0,23108,Matt Kuchar,.332,25.596,77
43,0,33448,Justin Thomas,.332,21.583,65
45,0,20593,Greg Chalmers,.316,21.516,68
46,0,27436,Graham DeLaet,.291,20.639,71
47,0,20229,Stewart Cink,.286,23.170,81
48,0,34046,Jordan Spieth,.278,18.896,68
49,0,29479,Scott Brown,.276,21.562,78
50,0,24781,Hunter Mahan,.268,15.830,59
51,0,25396,Kevin Na,.265,17.507,66
52,0,32333,Kevin Tway,.261,19.312,74
53,0,24846,Ricky Barnes,.260,19.992,77
54,0,26331,Charl Schwartzel,.257,12.346,48
55,0,46970,Jon Rahm,.256,16.906,66
56,0,27936,Martin Laird,.253,18.195,72
57,0,29926,Danny Lee,.247,18.754,76
58,0,29289,S.Y. Noh,.244,18.293,75
59,0,28500,Martin Flores,.242,16.203,67
60,0,39975,Michael Kim,.229,19.249,84
61,0,23497,Tag Ridings,.203,10.129,50
62,0,10809,Jim Furyk,.187,8.211,44
63,0,24357,K.J. Choi,.176,9.494,54
64,0,28252,Seamus Power,.174,11.846,68
65,0,21961,Charles Howell III,.172,11.729,68
65,0,25345,Carl Pettersson,.172,8.957,52
67,0,26300,Matt Jones,.170,8.671,51
68,0,35450,Patrick Cantlay,.159,7.300,46
69,0,27974,Sung Kang,.154,12.609,82
70,0,40026,Daniel Berger,.149,10.262,69
71,0,23325,Vaughn Taylor,.139,10.553,76
