RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,01975,Tom Purtzer,279.6,43056,154
2,0,01006,John Adams,279.4,48050,172
3,0,01361,Dan Forsman,278.0,48366,174
4,0,06332,Neal Lancaster,277.6,40813,147
4,0,01876,Greg Norman,277.6,33317,120
6,0,01522,Lon Hinkle,277.4,37166,134
7,0,02041,Bill Sander,276.7,54229,196
8,0,01706,Davis Love III,276.6,50072,181
9,0,02246,Duffy Waldorf,275.8,48270,175
10,0,01035,Tommy Armour III,274.8,50836,185
11,0,01068,Andy Bean,273.4,36640,134
12,0,01161,Mark Calcavecchia,272.9,50761,186
13,0,01226,Fred Couples,272.6,40889,150
13,0,01723,Andrew Magee,272.6,53159,195
15,0,06122,Greg Hickman,272.5,33241,122
16,0,01938,David Peoples,271.8,60076,221
17,0,06197,Michael Allen,271.6,49698,183
18,0,01313,Steve Elkington,271.3,51823,191
19,0,01418,Bill Glasson,271.1,34700,128
20,0,01926,Steve Pate,270.9,53908,199
21,0,01156,Curt Byrum,270.8,48194,178
21,0,01945,Kenny Perry,270.8,39809,147
21,0,02090,Tom Sieckmann,270.8,47659,176
24,0,02167,Mike Sullivan,270.7,43317,160
24,0,02321,Fuzzy Zoeller,270.7,37899,140
26,0,01771,Blaine McCallister,270.4,51368,190
26,0,02133,Craig Stadler,270.4,35694,132
28,0,06128,Steve Lamontagne,269.5,45550,169
29,0,02049,Gene Sauers,269.1,51944,193
29,0,02146,Payne Stewart,269.1,51126,190
31,0,01475,Donnie Hammond,268.7,39765,148
32,0,01143,Brad Bryant,268.6,48616,181
33,0,01261,Jay Delsing,268.5,51275,191
33,0,01599,Steve Jones,268.5,40547,151
35,0,01388,Robert Gamez,268.4,42133,157
36,0,01093,Ronnie Black,268.2,44797,167
37,0,02067,Ted Schulz,268.1,61386,229
38,0,01878,Andy North,267.5,34780,130
38,0,02303,Robert Wrenn,267.5,51361,192
40,0,01468,Gary Hallberg,267.4,43053,161
40,0,01499,Mark Hayes,267.4,40114,150
40,0,02256,Tom Watson,267.4,30487,114
43,0,01096,Phil Blackmar,267.3,48383,181
43,0,01846,Jodie Mudd,267.3,44109,165
45,0,01042,Paul Azinger,267.0,52327,196
45,0,01837,Gil Morgan,267.0,45385,170
47,0,01310,Dave Eichelberger,266.8,53097,199
48,0,02033,Dave Rummells,266.7,44008,165
49,0,02101,Joey Sindelar,266.6,42650,160
50,0,01098,Jay Don Blake,266.4,48485,182
50,0,02241,Bobby Wadkins,266.4,54613,205
52,0,01385,Jim Gallagher Jr.,266.2,61220,230
53,0,01414,Bob Gilder,266.0,43087,162
53,0,01766,Billy Mayfair,266.0,57720,217
53,0,02095,Larry Silveira,266.0,43892,165
56,0,01390,Buddy Gardner,265.8,54479,205
57,0,01133,Billy Ray Brown,265.7,44107,166
57,0,01288,Ed Dougherty,265.7,39851,150
59,0,01941,Tom Pernice Jr.,265.6,28419,107
59,0,02215,Paul Trittler,265.6,44097,166
61,0,01014,Fulton Allem,265.5,38235,144
61,0,01200,Keith Clearwater,265.5,40097,151
61,0,06150,Carl Cooper,265.5,30003,113
61,0,01553,John Huston,265.5,41951,158
61,0,02118,J.C. Snead,265.5,38495,145
66,0,02100,Tim Simpson,265.4,49628,187
67,0,02322,Richard Zokol,265.2,35004,132
68,0,01533,P.H. Horgan III,265.1,44543,168
69,0,01150,George Burns,265.0,49025,185
69,0,01469,Dan Halldorson,265.0,26765,101
69,0,02195,Leonard Thompson,265.0,48494,183
69,0,02292,Bob Wolcott,265.0,45319,171
73,0,02185,Lance Ten Broeck,264.9,50588,191
74,0,06124,Patrick Burke,264.8,27802,105
75,0,01060,Dave Barr,264.5,49991,189
75,0,06425,Rick Todd,264.5,29363,111
77,0,01307,Joel Edwards,264.4,45204,171
77,0,01690,Bruce Lietzke,264.4,32255,122
79,0,06118,Greg Bruckner,264.0,46200,175
79,0,01527,Scott Hoch,264.0,45940,174
79,0,01571,Barry Jaeckel,264.0,29834,113
79,0,01607,Brian Kamm,264.0,26139,99
83,0,01887,Mark O'Meara,263.9,44342,168
84,0,01783,Mark McCumber,263.7,43766,166
84,0,06136,Mike Schuchart,263.7,35595,135
84,0,06130,Jeffrey Wilson,263.7,39291,149
87,0,06284,Jim Hallet,263.5,59805,227
87,0,01510,Nolan Henke,263.5,45844,174
89,0,01569,Peter Jacobsen,263.3,42649,162
89,0,01715,Mark Lye,263.3,46875,178
89,0,01797,Rocco Mediate,263.3,43972,167
89,0,02170,Hal Sutton,263.3,47393,180
89,0,02224,Greg Twiggs,263.3,46608,177
94,0,02087,Don Shirey Jr.,263.2,48170,183
95,0,06140,Sean Murphy,263.1,30779,117
95,0,02148,Ray Stewart,263.1,49718,189
97,0,01151,Clark Burroughs,263.0,50489,192
97,0,01197,Bobby Clampett,263.0,29723,113
97,0,01968,Nick Price,263.0,51289,195
97,0,02223,Bob Tway,263.0,50763,193
101,0,01129,Bill Britton,262.8,51762,197
101,0,02245,Grant Waite,262.8,38112,145
101,0,02298,Jim Woodward,262.8,37843,144
104,0,01203,Russ Cochran,262.7,49915,190
104,0,02239,Scott Verplank,262.7,45976,175
106,0,01024,Billy Andrade,262.5,53808,205
106,0,02201,Jim Thorpe,262.5,45938,175
108,0,01444,Ken Green,262.4,45393,173
109,0,01049,Ian Baker-Finch,262.2,42219,161
110,0,01549,Mike Hulbert,262.1,60014,229
111,0,01266,Clark Dennis,261.9,44782,171
112,0,01943,Chris Perry,261.7,50253,192
113,0,01078,Jim Benepe,261.6,44466,170
114,0,06144,John Dowdall,261.5,28503,109
115,0,01457,Jay Haas,261.4,48101,184
115,0,01639,Kenny Knox,261.4,48882,187
117,0,01037,Dewey Arnette,261.3,33187,127
117,0,01633,Tom Kite,261.3,44681,171
119,0,01323,Brad Fabel,261.1,44903,172
119,0,06148,Dennis Harrington,261.1,38907,149
121,0,01040,Emlyn Aubrey,261.0,51418,197
122,0,01641,Gary Koch,260.9,29748,114
123,0,01577,Lee Janzen,260.8,50334,193
124,0,01925,Jerry Pate,260.6,28145,108
125,0,01072,Chip Beck,260.5,45064,173
126,0,06142,Mitch Adcock,260.4,31503,121
127,0,01329,Brad Faxon,260.2,46062,177
127,0,01971,Dillard Pruitt,260.2,40851,157
129,0,01331,Rick Fehr,259.8,46510,179
130,0,01682,Wayne Levi,259.6,37385,144
130,0,01725,John Mahaffey,259.6,49852,192
132,0,01175,Jim Carter,259.3,45895,177
132,0,02190,Doug Tewell,259.3,40453,156
134,0,02159,Curtis Strange,259.1,37047,143
134,0,02180,Harry Taylor,259.1,29538,114
136,0,01303,Bob Eastwood,259.0,44553,172
136,0,01320,Bob Estes,259.0,48181,186
136,0,02104,Jeff Sluman,259.0,54657,211
139,0,01235,Ben Crenshaw,258.8,34680,134
140,0,02111,Mike Smith,258.7,46568,180
