RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,12716,Charley Hoffman,467,Texas Open,3,1,625
2,0,29892,Steve Dartnall,438,Texas Open,2,11,625
3,0,27683,Leif Olson,437,Texas Open,1,11,625
4,0,30925,Dustin Johnson,430,Mercedes-Benz,2,12,656
5,0,21633,Steve Allan,422,Reno-Tahoe Open,2,8,660
6,0,23497,Tag Ridings,420,Texas Open,2,11,625
7,0,21961,Charles Howell III,418,WGC-Bridgestone,4,16,036
8,0,20691,Greg Owen,417,Texas Open,2,11,625
9,0,25562,Andres Romero,416,Reno-Tahoe Open,2,14,660
10,0,22046,Geoff Ogilvy,415,Mercedes-Benz,2,17,656
11,0,06522,Ernie Els,414,Mercedes-Benz,2,12,656
12,0,27770,Camilo Villegas,413,Mercedes-Benz,2,12,656
13,0,20850,Daniel Chopra,412,Mercedes-Benz,2,17,656
13,0,26881,Jarrod Lyle,412,Texas Open,1,1,625
13,0,24140,Sean O'Hair,412,Mercedes-Benz,1,17,656
13,0,26679,Kevin Stadler,412,Texas Open,1,11,625
18,0,21209,Sergio Garcia,409,WGC-Bridgestone,3,16,036
18,0,27141,J.B. Holmes,409,Mercedes-Benz,1,12,656
21,0,24924,Bill Haas,408,Texas Open,2,11,625
21,0,01706,Davis Love III,408,Mercedes-Benz,1,18,656
24,0,24502,Adam Scott,407,Mercedes-Benz,1,12,656
24,0,24663,Y.E. Yang,407,WGC-Bridgestone,4,16,036
29,0,26951,Johnson Wagner,404,Mercedes-Benz,2,7,656
32,0,32698,Bobby Gates,403,Texas Open,2,11,625
34,0,26300,Matt Jones,402,Texas Open,2,1,625
34,0,29718,Anthony Kim,402,Mercedes-Benz,2,12,656
34,0,23548,Bill Lunde,402,Texas Open,2,11,625
34,0,01810,Phil Mickelson,402,WGC-CA Champ,3,2,008
41,0,21350,Ryuji Imada,401,Mercedes-Benz,2,18,656
42,0,20229,Stewart Cink,400,Mercedes-Benz,1,12,656
42,0,23788,D.J. Trahan,400,Mercedes-Benz,1,12,656
42,0,31323,Gary Woodland,400,Texas Open,2,1,625
48,0,24449,Parker McLachlin,399,Mercedes-Benz,2,17,656
49,0,28089,Jason Day,398,Texas Open,2,11,625
49,0,01685,J.L. Lewis,398,Texas Open,2,11,625
