RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,30946,Alex Prugh,34.35,45,131,-42,-7.00
2,0,34264,Hudson Swafford,32.73,54,165,-58,-4.00
3,0,33413,Ben Martin,32.03,41,128,-38,-5.00
4,0,25900,Lucas Glover,30.50,43,141,-42,E
5,0,29725,Tony Finau,30.43,77,253,-81,+1.00
5,0,24502,Adam Scott,30.43,21,69,-21,-5.00
7,0,36689,Brooks Koepka,30.32,47,155,-55,+13.00
8,0,25364,Paul Casey,30.28,33,109,-35,-13.00
9,0,34265,Will Wilcox,30.26,23,76,-26,-7.00
10,0,28089,Jason Day,30.00,48,160,-53,+16.00
11,0,25804,Bubba Watson,29.55,52,176,-55,+3.00
12,0,36699,Patrick Rodgers,29.52,31,105,-31,+4.00
13,0,31557,Jim Herman,29.46,38,129,-39,-4.00
14,0,30926,Chris Kirk,29.41,30,102,-30,-10.00
15,0,33486,Roger Sloan,28.95,22,76,-21,+10.00
16,0,33667,Carlos Ortiz,28.64,59,206,-60,-13.00
17,0,27770,Camilo Villegas,28.57,38,133,-38,-1.00
18,0,34261,Scott Langley,28.44,31,109,-30,-29.00
19,0,29289,S.Y. Noh,28.43,29,102,-30,E
20,0,30711,Colt Knost,28.41,25,88,-26,-31.00
21,0,29223,Sam Saunders,28.37,40,141,-41,-13.00
22,0,26951,Johnson Wagner,28.24,24,85,-27,-5.00
23,0,29420,Billy Horschel,27.75,48,173,-51,-15.00
24,0,23353,J.J. Henry,27.68,31,112,-33,-15.00
25,0,10809,Jim Furyk,27.54,19,69,-18,-13.00
26,0,29518,Brendan Steele,27.50,55,200,-52,-6.00
27,0,25892,Steve Wheatcroft,27.13,35,129,-41,-14.00
28,0,20229,Stewart Cink,27.08,26,96,-23,-32.00
29,0,32334,Charlie Beljan,26.77,34,127,-31,-2.00
30,0,27895,Jonas Blixt,26.76,19,71,-20,-11.00
31,0,33141,Keegan Bradley,26.75,42,157,-41,-18.00
32,0,34098,Russell Henley,26.67,36,135,-36,-20.00
32,0,28132,Tyrone Van Aswegen,26.67,16,60,-16,E
34,0,33122,Russell Knox,26.61,33,124,-31,-10.00
35,0,27095,Nick Watney,25.66,39,152,-37,-14.00
36,0,25345,Carl Pettersson,25.56,46,180,-50,-5.00
37,0,33448,Justin Thomas,25.53,60,235,-63,-7.00
38,0,28500,Martin Flores,25.45,42,165,-36,-10.00
39,0,35532,Tom Hoge,25.42,30,118,-31,-13.00
40,0,22371,Aaron Baddeley,25.20,32,127,-35,-3.00
40,0,23621,Rory Sabbatini,25.20,32,127,-36,-10.00
42,0,23983,Luke Donald,25.00,18,72,-15,-15.00
42,0,20766,Padraig Harrington,25.00,22,88,-20,+8.00
44,0,27064,Jhonattan Vegas,24.85,42,169,-49,+15.00
45,0,23320,Ryan Palmer,24.76,26,105,-29,+4.00
46,0,06522,Ernie Els,24.72,22,89,-22,E
47,0,26476,Chez Reavie,24.71,21,85,-22,-8.00
48,0,20472,Alex Cejka,24.59,30,122,-26,-15.00
49,0,20104,Ken Duke,24.55,27,110,-28,-28.00
50,0,29221,Webb Simpson,24.43,32,131,-37,-7.00
51,0,24494,Erik Compton,24.41,31,127,-34,+9.00
52,0,20848,Ángel Cabrera,24.32,27,111,-29,+1.00
52,0,33399,Adam Hadwin,24.32,36,148,-38,-5.00
54,0,21961,Charles Howell III,24.24,56,231,-56,-7.00
55,0,27141,J.B. Holmes,23.98,41,171,-44,E
56,0,32366,Kevin Chappell,23.91,33,138,-35,-28.00
57,0,01706,Davis Love III,23.88,16,67,-17,-2.00
58,0,34358,Jonathan Randolph,23.81,25,105,-21,-10.00
59,0,26596,Ryan Moore,23.76,24,101,-25,-37.00
59,0,23623,Bo Van Pelt,23.76,24,101,-23,-14.00
61,0,32150,Michael Thompson,23.62,30,127,-33,-3.00
62,0,24925,Jonathan Byrd,23.53,20,85,-19,-8.00
62,0,24357,K.J. Choi,23.53,16,68,-17,-19.00
62,0,10860,Justin Leonard,23.53,8,34,-9,-17.00
65,0,27214,Kevin Streelman,23.49,39,166,-42,-15.00
