RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,25804,Bubba Watson,76.28,164,51,-110,+3
2,0,28089,Jason Day,69.47,157,69,-117,+16
3,0,36699,Patrick Rodgers,69.44,100,44,-59,+4
4,0,20848,Ángel Cabrera,69.38,111,49,-58,+1
5,0,29725,Tony Finau,68.47,241,111,-142,+1
6,0,30944,Jason Kokrak,66.90,192,95,-108,-1
7,0,21209,Sergio Garcia,66.67,92,46,-47,-8
8,0,33667,Carlos Ortiz,66.13,205,105,-121,-13
9,0,36689,Brooks Koepka,65.35,149,79,-108,+13
10,0,26331,Charl Schwartzel,65.13,99,53,-47,+3
11,0,27064,Jhonattan Vegas,64.86,168,91,-100,+15
12,0,33141,Keegan Bradley,63.27,155,90,-99,-18
13,0,30925,Dustin Johnson,63.16,132,77,-86,-7
14,0,33448,Justin Thomas,63.01,230,135,-169,-7
15,0,29518,Brendan Steele,62.97,199,117,-109,-6
16,0,27141,J.B. Holmes,62.60,164,98,-101,E
17,0,29223,Sam Saunders,62.39,141,85,-81,-13
18,0,32334,Charlie Beljan,62.19,125,76,-68,-2
19,0,33461,Morgan Hoffmann,61.92,161,99,-96,-3
20,0,21961,Charles Howell III,61.62,228,142,-132,-7
21,0,24502,Adam Scott,61.26,68,43,-44,-5
22,0,37273,Derek Ernst,60.93,131,84,-77,+8
23,0,26300,Matt Jones,60.92,173,111,-105,-15
24,0,40026,Daniel Berger,60.71,187,121,-106,-11
25,0,06522,Ernie Els,60.42,87,57,-45,E
26,0,25274,Steven Bowditch,60.24,197,130,-106,+2
27,0,26851,Marc Leishman,60.22,109,72,-64,E
28,0,28500,Martin Flores,60.15,163,108,-82,-10
29,0,34099,Harris English,60.06,191,127,-104,-15
30,0,25191,Gonzalo Fernandez-Castaño,59.91,130,87,-53,+1
31,0,25562,Andres Romero,59.70,120,81,-56,-2
32,0,21528,Henrik Stenson,59.66,105,71,-57,-13
33,0,31323,Gary Woodland,59.53,128,87,-68,E
34,0,29420,Billy Horschel,59.52,172,117,-86,-15
35,0,12716,Charley Hoffman,59.41,180,123,-89,-19
36,0,24358,Robert Garrigus,59.28,115,79,-60,+2
37,0,34265,Will Wilcox,58.91,76,53,-43,-7
38,0,22405,Justin Rose,58.70,108,76,-64,-13
39,0,39977,Max Homa,58.48,131,93,-55,-1
40,0,26329,Louis Oosthuizen,57.63,102,75,-61,-12
41,0,01810,Phil Mickelson,57.40,128,95,-70,-15
42,0,22046,Geoff Ogilvy,57.24,87,65,-44,+4
43,0,27214,Kevin Streelman,57.04,166,125,-82,-15
44,0,27936,Martin Laird,56.62,154,118,-86,-2
45,0,34264,Hudson Swafford,56.51,165,127,-102,-4
46,0,25632,Jimmy Walker,56.33,138,107,-82,-16
47,0,32839,Hideki Matsuyama,56.18,159,124,-101,-16
48,0,06567,Vijay Singh,56.15,137,107,-76,-17
49,0,32102,Rickie Fowler,56.13,119,93,-65,-14
50,0,20645,John Senden,55.98,117,92,-68,+5
51,0,30692,Scott Stallings,55.90,109,86,-68,+14
52,0,26289,Boo Weekley,55.74,136,108,-80,-12
53,0,33418,Shawn Stefani,55.65,187,149,-110,-2
54,0,27436,Graham DeLaet,55.38,108,87,-69,-3
55,0,24781,Hunter Mahan,55.19,149,121,-81,-4
56,0,29221,Webb Simpson,55.08,130,106,-83,-7
57,0,24140,Sean O'Hair,54.98,171,140,-73,-7
58,0,33486,Roger Sloan,54.74,75,62,-43,+10
59,0,25900,Lucas Glover,54.65,141,117,-83,E
60,0,28023,Byron Smith,54.61,77,64,-41,E
61,0,35541,John Peterson,54.58,155,129,-79,-8
62,0,25493,Nick Taylor,54.40,173,145,-92,-16
63,0,30736,Oscar Fraustro,54.35,75,63,-36,+5
64,0,22371,Aaron Baddeley,54.27,127,107,-90,-3
65,0,20157,Retief Goosen,54.24,128,108,-59,-5
66,0,34046,Jordan Spieth,54.18,136,115,-77,-18
67,0,25818,Scott Piercy,54.15,163,138,-70,-22
68,0,34431,Robert Streb,53.63,192,166,-113,-19
69,0,23621,Rory Sabbatini,53.59,127,110,-71,-10
70,0,27644,Brian Harman,53.50,153,133,-89,-14
71,0,34098,Russell Henley,53.01,132,117,-63,-20
72,0,22056,Cameron Percy,52.97,107,95,-64,-3
73,0,30852,Ryo Ishikawa,52.90,137,122,-64,-17
74,0,35532,Tom Hoge,52.68,118,106,-61,-13
75,0,23548,Bill Lunde,52.59,61,55,-26,+4
76,0,20396,Lee Westwood,52.50,63,57,-26,+10
77,0,23320,Ryan Palmer,52.28,103,94,-53,+4
78,0,34563,Chesson Hadley,52.02,180,166,-92,-8
79,0,32200,Roberto Castro,51.82,57,53,-37,-11
80,0,30946,Alex Prugh,51.78,131,122,-82,-7
81,0,34358,Jonathan Randolph,51.72,105,98,-65,-10
82,0,29289,S.Y. Noh,51.27,101,96,-66,E
83,0,24494,Erik Compton,51.21,127,121,-83,+9
84,0,34360,Patrick Reed,51.20,149,142,-90,-18
85,0,25345,Carl Pettersson,51.15,178,170,-98,-5
86,0,23108,Matt Kuchar,50.98,156,150,-99,-33
87,0,24924,Bill Haas,50.96,133,128,-74,-25
88,0,25364,Paul Casey,50.95,107,103,-68,-13
89,0,33399,Adam Hadwin,50.86,148,143,-82,-5
90,0,28486,Michael Putnam,50.78,131,127,-60,-16
91,0,28307,Matt Every,50.47,107,105,-56,+13
92,0,28259,Sangmoon Bae,50.45,169,166,-85,-16
93,0,27770,Camilo Villegas,50.38,133,131,-81,-1
94,0,27095,Nick Watney,50.33,152,150,-74,-14
95,0,28475,Jeff Overton,50.19,130,129,-71,-14
96,0,22892,Jason Gore,50.00,102,102,-49,E
97,0,29478,Kevin Kisner,49.85,170,171,-82,-34
98,0,29720,Andres Gonzales,49.63,135,137,-67,+2
99,0,25892,Steve Wheatcroft,49.42,128,131,-75,-14
100,0,23638,Brendon de Jonge,49.26,166,171,-79,-18
101,0,24925,Jonathan Byrd,49.13,85,88,-40,-8
102,0,32366,Kevin Chappell,49.11,138,143,-76,-28
103,0,29479,Scott Brown,48.97,142,148,-79,-13
104,0,26476,Chez Reavie,48.85,85,89,-48,-8
105,0,29476,Kyle Reifers,48.59,138,146,-68,-13
106,0,34174,John Huh,48.44,155,165,-85,-15
107,0,31416,Derek Fathauer,48.35,117,125,-72,-2
107,0,20766,Padraig Harrington,48.35,88,94,-44,+8
109,0,25369,Jamie Donaldson,47.79,54,59,-29,-8
110,0,35451,Scott Pinckney,47.74,127,139,-81,-3
110,0,32150,Michael Thompson,47.74,127,139,-81,-3
112,0,25686,Jason Dufner,47.13,82,92,-41,-12
113,0,27466,Spencer Levin,46.74,136,155,-63,-5
114,0,27933,John Merrick,46.73,100,114,-52,-14
