RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS > 25',TOTAL 3 PUTTS
1,0,27436,Graham DeLaet,53,70
2,0,28780,Nicholas Thompson,48,66
3,0,27933,John Merrick,47,55
3,0,27330,Josh Teater,47,57
5,0,22913,John Rollins,46,55
6,0,08725,Tom Gillis,45,60
7,0,28087,Kris Blanks,44,59
7,0,21949,Joe Ogilvie,44,52
7,0,20645,John Senden,44,52
10,0,24925,Jonathan Byrd,43,55
10,0,27141,J.B. Holmes,43,49
10,0,01797,Rocco Mediate,43,51
10,0,26951,Johnson Wagner,43,49
14,0,01766,Billy Mayfair,42,58
14,0,23349,Charles Warren,42,50
16,0,27936,Martin Laird,41,51
16,0,26695,Michael Letzig,41,52
18,0,21753,Brian Davis,40,55
18,0,08075,Jerry Kelly,40,49
20,0,07867,Woody Austin,39,51
20,0,27466,Spencer Levin,39,43
20,0,23307,Roger Tambellini,39,48
23,0,25686,Jason Dufner,38,50
23,0,01706,Davis Love III,38,47
23,0,07749,Brett Quigley,38,52
26,0,23673,Michael Connell,37,43
26,0,20378,Mathias Grönberg,37,46
26,0,23548,Bill Lunde,37,44
26,0,25562,Andres Romero,37,45
26,0,06595,Kevin Sutherland,37,42
26,0,23623,Bo Van Pelt,37,47
26,0,21878,Mark Wilson,37,44
33,0,20498,Briny Baird,36,43
33,0,24358,Robert Garrigus,36,46
33,0,24490,George McNeill,36,50
33,0,27963,Chris Stroud,36,41
33,0,12714,Chris Tidland,36,43
38,0,10585,Scott McCarron,35,40
38,0,26301,James Nitties,35,49
38,0,25240,D.A. Points,35,49
38,0,22293,Heath Slocum,35,42
38,0,26287,Roland Thatcher,35,50
38,0,26289,Boo Weekley,35,46
38,0,20436,Garrett Willis,35,43
45,0,20098,Stuart Appleby,34,43
45,0,24846,Ricky Barnes,34,43
45,0,28089,Jason Day,34,46
45,0,20105,Jeff Gove,34,39
45,0,24912,Will MacKenzie,34,46
45,0,24361,Pat Perez,34,44
45,0,01948,Tim Petrovic,34,45
45,0,28620,Aron Price,34,38
45,0,06567,Vijay Singh,34,41
45,0,26392,Chris Wilson,34,45
55,0,01116,Michael Bradley,33,38
55,0,12782,Tim Herron,33,41
55,0,21350,Ryuji Imada,33,35
55,0,01724,Jeff Maggert,33,48
55,0,27120,Troy Matteson,33,45
55,0,32640,Troy Merritt,33,42
55,0,22056,Cameron Percy,33,44
55,0,23788,D.J. Trahan,33,57
63,0,29910,Blake Adams,32,42
63,0,22946,Henrik Bjornstad,32,38
63,0,28500,Martin Flores,32,44
63,0,20574,Mathew Goggin,32,45
63,0,24140,Sean O'Hair,32,45
63,0,20691,Greg Owen,32,44
63,0,25818,Scott Piercy,32,43
63,0,21959,Ted Purdy,32,46
63,0,29221,Webb Simpson,32,38
72,0,26851,Marc Leishman,31,39
72,0,23621,Rory Sabbatini,31,49
74,0,20229,Stewart Cink,30,38
74,0,23541,Ben Crane,30,41
74,0,06251,Chris DiMarco,30,37
74,0,32102,Rickie Fowler,30,37
74,0,06643,Paul Goydos,30,40
74,0,24924,Bill Haas,30,38
74,0,01577,Lee Janzen,30,43
74,0,10860,Justin Leonard,30,34
74,0,26679,Kevin Stadler,30,46
74,0,23325,Vaughn Taylor,30,38
74,0,20160,Charlie Wi,30,43
85,0,10885,Robert Allenby,29,33
85,0,24357,K.J. Choi,29,32
85,0,23409,James Driscoll,29,34
85,0,01320,Bob Estes,29,38
85,0,23800,Bryce Molder,29,35
85,0,01945,Kenny Perry,29,35
85,0,30946,Alex Prugh,29,38
85,0,33419,Cameron Tringale,29,38
85,0,10425,Jay Williamson,29,37
94,0,12652,Cameron Beckman,28,40
94,0,20850,Daniel Chopra,28,32
94,0,30925,Dustin Johnson,28,36
94,0,27797,Derek Lamely,28,32
94,0,24781,Hunter Mahan,28,35
94,0,27060,John Mallinger,28,42
94,0,24502,Adam Scott,28,39
94,0,27214,Kevin Streelman,28,41
94,0,31560,Brian Stuard,28,38
94,0,25804,Bubba Watson,28,35
104,0,06621,Joe Durant,27,32
104,0,23353,J.J. Henry,27,29
104,0,21731,Freddie Jacobson,27,37
104,0,27302,Garth Mulroy,27,36
104,0,28475,Jeff Overton,27,32
104,0,25892,Steve Wheatcroft,27,36
110,0,20848,Ángel Cabrera,26,29
110,0,01249,John Daly,26,38
110,0,25900,Lucas Glover,26,35
110,0,23718,Nathan Green,26,40
110,0,12716,Charley Hoffman,26,36
110,0,27770,Camilo Villegas,26,33
110,0,27095,Nick Watney,26,35
117,0,24227,Justin Bolli,25,31
117,0,20593,Greg Chalmers,25,31
117,0,22621,Ben Curtis,25,26
117,0,07457,Steve Flesch,25,33
117,0,01707,Steve Lowery,25,36
117,0,27613,David Lutterus,25,36
117,0,25190,Jeff Quinney,25,38
117,0,02206,David Toms,25,29
117,0,08385,Omar Uresti,25,35
126,0,01161,Mark Calcavecchia,24,35
126,0,12510,Chad Campbell,24,32
126,0,20472,Alex Cejka,24,42
126,0,23638,Brendon de Jonge,24,33
126,0,28307,Matt Every,24,30
126,0,25396,Kevin Na,24,30
126,0,20572,Rod Pampling,24,27
126,0,01941,Tom Pernice Jr.,24,31
126,0,08375,Paul Stankowski,24,24
126,0,12755,Vance Veazey,24,34
136,0,06004,Stephen Ames,23,30
136,0,11123,Chris Couch,23,28
136,0,22122,Andrew McLardy,23,24
136,0,22046,Geoff Ogilvy,23,29
136,0,20686,Jeev Milkha Singh,23,26
141,0,08537,J.P. Hayes,22,30
141,0,26420,Richard Johnson,22,34
141,0,26300,Matt Jones,22,33
141,0,23108,Matt Kuchar,22,27
145,0,22371,Aaron Baddeley,21,30
145,0,24507,Jason Bohn,21,25
145,0,06012,Greg Kraft,21,27
145,0,12705,Cliff Kresge,21,24
145,0,26881,Jarrod Lyle,21,25
145,0,28158,Steve Marino,21,30
145,0,06515,Shaun Micheel,21,28
145,0,25345,Carl Pettersson,21,25
145,0,20127,Chris Riley,21,30
145,0,23322,Brett Wetterich,21,28
155,0,07363,Craig Bowden,20,31
155,0,23135,Tim Clark,20,26
155,0,01619,Skip Kendall,20,23
155,0,23320,Ryan Palmer,20,30
155,0,27649,Brandt Snedeker,20,29
155,0,25632,Jimmy Walker,20,31
161,0,01313,Steve Elkington,19,21
161,0,06522,Ernie Els,19,22
161,0,24024,Zach Johnson,19,25
161,0,22405,Justin Rose,19,25
161,0,24663,Y.E. Yang,19,24
166,0,20070,Matt Bettencourt,18,32
166,0,25720,Chad Collins,18,22
166,0,01329,Brad Faxon,18,23
166,0,10809,Jim Furyk,18,21
166,0,19846,Brian Gay,18,21
166,0,06514,Kevin Johnson,18,27
166,0,26596,Ryan Moore,18,26
166,0,20663,Brenden Pappas,18,30
166,0,02239,Scott Verplank,18,23
175,0,29285,Brent Delahoussaye,17,20
175,0,09011,David Duval,17,26
175,0,21961,Charles Howell III,17,24
175,0,26882,Michael Sim,17,19
179,0,23613,Rich Barcelo,16,21
179,0,32617,Jerod Turner,16,22
181,0,01810,Phil Mickelson,15,24
181,0,12602,Dean Wilson,15,16
183,0,22378,Trevor Immelman,14,19
183,0,28237,Rory McIlroy,14,22
183,0,10423,Mike Weir,14,17
186,0,23983,Luke Donald,11,12
186,0,06527,Steve Stricker,11,15
188,0,25364,Paul Casey,10,12
189,0,20157,Retief Goosen,9,10
190,0,21209,Sergio Garcia,8,14
