RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,26882,Michael Sim,69.05,1519,22
2,0,24925,Jonathan Byrd,69.32,1733,25
3,0,02239,Scott Verplank,69.50,1251,18
4,0,06527,Steve Stricker,69.53,2781,40
5,0,28475,Jeff Overton,69.55,2295,33
6,0,25818,Scott Piercy,69.60,1392,20
7,0,23108,Matt Kuchar,69.61,3063,44
8,0,25345,Carl Pettersson,69.62,2019,29
9,0,20498,Briny Baird,69.71,1673,24
10,0,21731,Freddie Jacobson,69.74,1325,19
11,0,12652,Cameron Beckman,69.80,1396,20
11,0,23325,Vaughn Taylor,69.80,1396,20
13,0,22371,Aaron Baddeley,69.81,1885,27
13,0,28620,Aron Price,69.81,1885,27
15,0,20157,Retief Goosen,69.83,2095,30
16,0,08375,Paul Stankowski,69.88,1188,17
17,0,28500,Martin Flores,69.90,1468,21
18,0,27466,Spencer Levin,69.92,2517,36
19,0,12602,Dean Wilson,69.95,1329,19
20,0,27436,Graham DeLaet,69.97,2029,29
20,0,25396,Kevin Na,69.97,2449,35
22,0,23353,J.J. Henry,70.00,1330,19
22,0,20160,Charlie Wi,70.00,2450,35
24,0,27649,Brandt Snedeker,70.03,2101,30
24,0,02206,David Toms,70.03,2171,31
26,0,26300,Matt Jones,70.04,1891,27
26,0,25804,Bubba Watson,70.04,1891,27
28,0,10585,Scott McCarron,70.08,1682,24
29,0,32102,Rickie Fowler,70.12,2875,41
30,0,08385,Omar Uresti,70.13,1052,15
31,0,27330,Josh Teater,70.14,1964,28
32,0,20127,Chris Riley,70.16,1754,25
33,0,12782,Tim Herron,70.19,1474,21
34,0,28087,Kris Blanks,70.21,1966,28
34,0,22405,Justin Rose,70.21,1966,28
36,0,06251,Chris DiMarco,70.23,1545,22
37,0,23788,D.J. Trahan,70.25,1967,28
38,0,23983,Luke Donald,70.26,2389,34
38,0,25240,D.A. Points,70.26,1897,27
