RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,06621,Joe Durant,68.63,1098,16
2,0,01810,Phil Mickelson,68.67,206,3
3,0,12716,Charley Hoffman,68.85,895,13
4,0,20157,Retief Goosen,68.86,482,7
5,0,08537,J.P. Hayes,68.88,551,8
6,0,27095,Nick Watney,68.90,689,10
7,0,25364,Paul Casey,69.00,483,7
8,0,24490,George McNeill,69.09,760,11
8,0,23623,Bo Van Pelt,69.09,760,11
10,0,21961,Charles Howell III,69.27,1039,15
11,0,23638,Brendon de Jonge,69.28,1247,18
12,0,28089,Jason Day,69.38,902,13
12,0,01945,Kenny Perry,69.38,555,8
14,0,27649,Brandt Snedeker,69.43,972,14
15,0,10885,Robert Allenby,69.44,625,9
16,0,11123,Chris Couch,69.53,1182,17
17,0,24924,Bill Haas,69.56,1113,16
18,0,24507,Jason Bohn,69.57,974,14
19,0,23673,Michael Connell,69.63,1114,16
19,0,26851,Marc Leishman,69.63,557,8
21,0,23541,Ben Crane,69.71,976,14
22,0,29910,Blake Adams,69.72,1255,18
23,0,22913,John Rollins,69.73,1046,15
24,0,06522,Ernie Els,69.75,279,4
25,0,01313,Steve Elkington,69.77,907,13
26,0,20160,Charlie Wi,69.82,768,11
27,0,27466,Spencer Levin,69.83,1257,18
27,0,06515,Shaun Micheel,69.83,838,12
29,0,24361,Pat Perez,69.87,1048,15
30,0,01249,John Daly,69.90,699,10
31,0,23800,Bryce Molder,69.93,1049,15
32,0,25240,D.A. Points,70.00,910,13
32,0,22405,Justin Rose,70.00,630,9
32,0,08375,Paul Stankowski,70.00,630,9
35,0,22621,Ben Curtis,70.07,1051,15
36,0,21350,Ryuji Imada,70.10,1402,20
37,0,26951,Johnson Wagner,70.16,1333,19
38,0,08725,Tom Gillis,70.17,1614,23
38,0,12602,Dean Wilson,70.17,421,6
40,0,25720,Chad Collins,70.20,1053,15
41,0,07749,Brett Quigley,70.21,983,14
42,0,24502,Adam Scott,70.22,632,9
43,0,30946,Alex Prugh,70.23,913,13
43,0,20645,John Senden,70.23,1545,22
45,0,22293,Heath Slocum,70.25,843,12
46,0,24846,Ricky Barnes,70.27,1546,22
46,0,12510,Chad Campbell,70.27,1054,15
46,0,27141,J.B. Holmes,70.27,1054,15
46,0,01766,Billy Mayfair,70.27,1546,22
50,0,25396,Kevin Na,70.29,984,14
51,0,25562,Andres Romero,70.30,703,10
52,0,24663,Y.E. Yang,70.31,914,13
53,0,19846,Brian Gay,70.35,1407,20
53,0,01948,Tim Petrovic,70.35,1407,20
55,0,20593,Greg Chalmers,70.38,1126,16
55,0,06567,Vijay Singh,70.38,563,8
57,0,24357,K.J. Choi,70.45,775,11
58,0,24925,Jonathan Byrd,70.47,1198,17
58,0,23718,Nathan Green,70.47,1057,15
60,0,25686,Jason Dufner,70.50,987,14
60,0,21209,Sergio Garcia,70.50,282,4
60,0,24138,Ian Poulter,70.50,282,4
63,0,23320,Ryan Palmer,70.53,1058,15
64,0,20229,Stewart Cink,70.56,635,9
65,0,28307,Matt Every,70.57,988,14
66,0,27933,John Merrick,70.58,1341,19
67,0,20766,Padraig Harrington,70.60,353,5
67,0,26420,Richard Johnson,70.60,1412,20
67,0,01797,Rocco Mediate,70.60,706,10
67,0,25818,Scott Piercy,70.60,1412,20
71,0,23135,Tim Clark,70.62,918,13
71,0,26679,Kevin Stadler,70.62,1483,21
73,0,28475,Jeff Overton,70.64,989,14
73,0,29221,Webb Simpson,70.64,989,14
75,0,08075,Jerry Kelly,70.67,1060,15
76,0,30925,Dustin Johnson,70.75,566,8
77,0,23788,D.J. Trahan,70.76,1486,21
78,0,23322,Brett Wetterich,70.77,920,13
79,0,10860,Justin Leonard,70.79,991,14
80,0,24024,Zach Johnson,70.80,708,10
80,0,24781,Hunter Mahan,70.80,708,10
82,0,01320,Bob Estes,70.81,1133,16
82,0,22122,Andrew McLardy,70.81,1133,16
84,0,24912,Will MacKenzie,70.82,779,11
85,0,20127,Chris Riley,70.83,850,12
86,0,22046,Geoff Ogilvy,70.86,496,7
87,0,01116,Michael Bradley,70.93,993,14
87,0,20472,Alex Cejka,70.93,993,14
89,0,06251,Chris DiMarco,70.94,1277,18
89,0,27214,Kevin Streelman,70.94,1277,18
89,0,28780,Nicholas Thompson,70.94,1135,16
92,0,23325,Vaughn Taylor,70.95,1490,21
93,0,28087,Kris Blanks,70.96,1632,23
94,0,20098,Stuart Appleby,71.00,1420,20
94,0,23983,Luke Donald,71.00,639,9
94,0,07457,Steve Flesch,71.00,1065,15
94,0,24358,Robert Garrigus,71.00,852,12
94,0,23108,Matt Kuchar,71.00,639,9
94,0,06527,Steve Stricker,71.00,142,2
