RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,06527,Steve Stricker,69.60,2923,42
2,0,20157,Retief Goosen,69.65,2577,37
3,0,06621,Joe Durant,69.67,2299,33
4,0,24925,Jonathan Byrd,69.79,3001,43
5,0,23108,Matt Kuchar,69.80,3769,54
6,0,27649,Brandt Snedeker,69.84,3073,44
7,0,28475,Jeff Overton,69.87,3284,47
8,0,27466,Spencer Levin,69.89,3774,54
9,0,21961,Charles Howell III,69.96,3148,45
9,0,20160,Charlie Wi,69.96,3218,46
11,0,23638,Brendon de Jonge,69.97,4408,63
12,0,08375,Paul Stankowski,70.00,1890,27
12,0,12602,Dean Wilson,70.00,1750,25
14,0,23623,Bo Van Pelt,70.04,3712,53
15,0,25396,Kevin Na,70.06,3433,49
16,0,24507,Jason Bohn,70.08,2803,40
17,0,24924,Bill Haas,70.10,3575,51
17,0,25818,Scott Piercy,70.10,2804,40
19,0,25364,Paul Casey,70.14,2525,36
20,0,27095,Nick Watney,70.15,3297,47
21,0,22405,Justin Rose,70.16,2596,37
22,0,25240,D.A. Points,70.17,2877,41
23,0,11123,Chris Couch,70.18,2667,38
23,0,01313,Steve Elkington,70.18,2667,38
25,0,26882,Michael Sim,70.19,2597,37
26,0,23541,Ben Crane,70.23,2458,35
27,0,25720,Chad Collins,70.26,3021,43
27,0,25345,Carl Pettersson,70.26,3513,50
29,0,28620,Aron Price,70.27,2881,41
30,0,08725,Tom Gillis,70.28,3303,47
30,0,06515,Shaun Micheel,70.28,2741,39
32,0,22913,John Rollins,70.32,2883,41
33,0,32102,Rickie Fowler,70.33,3657,52
34,0,06522,Ernie Els,70.35,2603,37
34,0,02206,David Toms,70.35,3025,43
36,0,12716,Charley Hoffman,70.36,3096,44
37,0,23673,Michael Connell,70.38,2956,42
37,0,01945,Kenny Perry,70.38,2604,37
37,0,20127,Chris Riley,70.38,2604,37
37,0,25804,Bubba Watson,70.38,2604,37
41,0,10885,Robert Allenby,70.39,2886,41
41,0,23325,Vaughn Taylor,70.39,2886,41
43,0,22371,Aaron Baddeley,70.40,3168,45
44,0,02239,Scott Verplank,70.41,2253,32
45,0,23983,Luke Donald,70.42,3028,43
46,0,08537,J.P. Hayes,70.43,2606,37
47,0,20498,Briny Baird,70.44,2888,41
48,0,24846,Ricky Barnes,70.45,3734,53
48,0,27141,J.B. Holmes,70.45,3311,47
48,0,22046,Geoff Ogilvy,70.45,2325,33
51,0,12510,Chad Campbell,70.46,2889,41
52,0,21731,Freddie Jacobson,70.47,2396,34
52,0,23788,D.J. Trahan,70.47,3453,49
54,0,26951,Johnson Wagner,70.48,2960,42
55,0,26420,Richard Johnson,70.50,3102,44
55,0,07749,Brett Quigley,70.50,2820,40
57,0,26300,Matt Jones,70.51,3173,45
57,0,24361,Pat Perez,70.51,2891,41
59,0,20645,John Senden,70.52,3949,56
60,0,24357,K.J. Choi,70.53,3033,43
60,0,10809,Jim Furyk,70.53,3033,43
