RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,27141,J.B. Holmes,69.76,173,75,-92,+9
2,0,01810,Phil Mickelson,68.39,132,61,-95,-5
3,0,08793,Tiger Woods,67.11,100,49,-61,-12
4,0,01249,John Daly,66.30,122,62,-79,+11
5,0,23322,Brett Wetterich,66.26,161,82,-102,+14
6,0,06522,Ernie Els,66.04,105,54,-65,-3
7,0,24502,Adam Scott,65.87,137,71,-86,E
8,0,24924,Bill Haas,65.71,207,108,-121,+4
9,0,29718,Anthony Kim,65.60,185,97,-105,+1
10,0,24358,Robert Garrigus,65.05,214,115,-102,+11
11,0,21633,Steve Allan,64.97,128,69,-66,+6
12,0,23349,Charles Warren,64.86,227,123,-119,E
13,0,06567,Vijay Singh,63.86,182,103,-120,-8
14,0,20378,Mathias Grönberg,63.66,212,121,-109,+4
15,0,28475,Jeff Overton,63.55,129,74,-72,+3
16,0,21209,Sergio Garcia,63.54,122,70,-68,-8
17,0,27770,Camilo Villegas,63.33,152,88,-86,+9
18,0,24140,Sean O'Hair,63.25,191,111,-110,+2
19,0,25804,Bubba Watson,63.24,160,93,-101,-2
20,0,10885,Robert Allenby,63.22,165,96,-94,E
21,0,23788,D.J. Trahan,62.54,207,124,-103,+1
22,0,22371,Aaron Baddeley,61.32,149,94,-92,-19
23,0,20574,Mathew Goggin,61.06,196,125,-102,-5
24,0,24361,Pat Perez,60.56,129,84,-68,-1
25,0,24980,Scott Gutschewski,60.37,131,86,-81,+14
26,0,27702,Matt Hendrix,60.29,126,83,-45,+1
27,0,27120,Troy Matteson,60.22,165,109,-94,E
28,0,20572,Rod Pampling,60.00,162,108,-101,-1
29,0,24925,Jonathan Byrd,59.57,137,93,-72,-20
30,0,27095,Nick Watney,59.04,160,111,-90,+1
31,0,22892,Jason Gore,58.90,182,127,-98,+5
32,0,23614,Rich Beem,58.85,153,107,-83,-12
33,0,10423,Mike Weir,58.59,133,94,-74,+5
34,0,20766,Padraig Harrington,58.33,98,70,-56,+15
35,0,28158,Steve Marino,58.31,200,143,-108,-18
36,0,28486,Michael Putnam,58.16,171,123,-91,+5
37,0,01161,Mark Calcavecchia,57.92,150,109,-89,-20
38,0,23497,Tag Ridings,57.69,105,77,-57,+8
39,0,26951,Johnson Wagner,57.23,186,139,-99,-11
40,0,25900,Lucas Glover,57.19,179,134,-102,-7
41,0,25892,Steve Wheatcroft,56.96,135,102,-61,-6
42,0,01706,Davis Love III,56.84,108,82,-55,+8
43,0,26360,Bubba Dickerson,56.79,92,70,-42,+5
44,0,26289,Boo Weekley,56.72,152,116,-68,+9
45,0,11123,Chris Couch,56.60,150,115,-77,+10
46,0,24781,Hunter Mahan,56.28,139,108,-80,-5
47,0,23353,J.J. Henry,56.13,142,111,-90,-13
48,0,25345,Carl Pettersson,55.85,191,151,-122,-12
49,0,21961,Charles Howell III,55.65,138,110,-85,-3
50,0,21805,Harrison Frazar,55.60,149,119,-91,+1
51,0,23623,Bo Van Pelt,55.56,190,152,-101,-16
52,0,24507,Jason Bohn,55.43,102,82,-66,-11
53,0,20691,Greg Owen,55.35,150,121,-63,+1
54,0,21528,Henrik Stenson,55.32,78,63,-32,+12
55,0,23621,Rory Sabbatini,55.17,128,104,-76,-10
56,0,26679,Kevin Stadler,55.13,172,140,-90,+14
57,0,22046,Geoff Ogilvy,54.82,125,103,-63,-11
58,0,12716,Charley Hoffman,54.69,175,145,-98,-8
59,0,08375,Paul Stankowski,54.44,92,77,-50,+5
60,0,26596,Ryan Moore,54.17,156,132,-84,-5
61,0,20645,John Senden,54.14,170,144,-97,-15
62,0,22913,John Rollins,53.48,169,147,-93,-4
63,0,23638,Brendon de Jonge,53.41,133,116,-66,-4
63,0,24912,Will MacKenzie,53.41,180,157,-109,-1
65,0,21470,Daisuke Maruyama,53.17,151,133,-72,-6
66,0,23718,Nathan Green,53.14,169,149,-92,-19
67,0,12782,Tim Herron,52.96,152,135,-75,E
68,0,01945,Kenny Perry,52.90,146,130,-77,-14
68,0,06595,Kevin Sutherland,52.90,146,130,-83,-9
70,0,25396,Kevin Na,52.79,161,144,-97,-2
71,0,27933,John Merrick,52.65,159,143,-80,-5
72,0,24490,George McNeill,52.56,164,148,-77,-14
73,0,25273,Andrew Buckle,52.54,124,112,-63,+5
74,0,20157,Retief Goosen,52.38,66,60,-32,-1
75,0,25686,Jason Dufner,52.32,169,154,-79,-10
76,0,21949,Joe Ogilvie,52.31,170,155,-95,-8
77,0,24357,K.J. Choi,52.24,128,117,-92,-8
78,0,11032,Frank Lickliter II,52.17,156,143,-72,-25
79,0,08123,Jeff Brehaut,52.06,101,93,-52,+4
80,0,01948,Tim Petrovic,52.02,180,166,-105,-13
81,0,01707,Steve Lowery,51.87,139,129,-67,-2
82,0,20850,Daniel Chopra,51.80,187,174,-103,-4
83,0,20105,Jeff Gove,51.66,187,175,-101,-16
84,0,12714,Chris Tidland,51.56,99,93,-56,-4
85,0,21959,Ted Purdy,51.49,173,163,-92,-12
86,0,01766,Billy Mayfair,51.37,150,142,-81,-23
87,0,20472,Alex Cejka,51.25,144,137,-83,-29
88,0,23320,Ryan Palmer,51.01,152,146,-72,+3
89,0,20098,Stuart Appleby,50.95,107,103,-58,-5
90,0,20634,Peter Lonard,50.93,137,132,-61,-8
91,0,21660,Jason Schultz,50.76,100,97,-53,-3
92,0,12652,Cameron Beckman,50.60,170,166,-90,-15
93,0,02246,Duffy Waldorf,50.44,115,113,-63,-3
94,0,07749,Brett Quigley,50.43,118,116,-62,-11
95,0,22405,Justin Rose,50.38,67,66,-39,-4
96,0,29476,Kyle Reifers,50.22,116,115,-60,-5
97,0,20433,Mark Hensby,50.00,132,132,-64,+2
98,0,24457,Jaco Van Zyl,49.71,87,88,-31,+1
99,0,06621,Joe Durant,49.63,135,137,-67,-6
100,0,12195,Tom Johnson,49.58,117,119,-52,+2
101,0,12660,Jesper Parnevik,49.46,138,141,-84,-6
102,0,07223,Brian Bateman,49.08,80,83,-36,+8
103,0,06034,Marco Dawson,48.96,118,123,-62,+4
104,0,19824,Craig Barlow,48.81,82,86,-50,-1
105,0,23325,Vaughn Taylor,48.66,127,134,-82,+1
106,0,20104,Ken Duke,48.62,176,186,-84,-11
107,0,26881,Jarrod Lyle,48.55,117,124,-66,-7
108,0,20229,Stewart Cink,48.46,126,134,-66,-11
109,0,23048,Eric Axley,47.84,166,181,-79,+3
110,0,10733,Kent Jones,47.80,163,178,-97,-26
111,0,20498,Briny Baird,47.39,191,212,-103,-27
112,0,24449,Parker McLachlin,47.31,132,147,-69,-8
113,0,20160,Charlie Wi,47.27,147,164,-92,-18
114,0,01024,Billy Andrade,47.21,144,161,-75,-8
115,0,10425,Jay Williamson,47.03,87,98,-42,-2
116,0,07457,Steve Flesch,46.87,157,178,-76,-18
117,0,21646,David Branshaw,46.79,131,149,-67,+22
118,0,02223,Bob Tway,46.75,158,180,-77,-1
119,0,06197,Michael Allen,46.64,111,127,-58,-11
120,0,02239,Scott Verplank,46.53,94,108,-41,-19
121,0,01313,Steve Elkington,46.47,125,144,-60,-22
122,0,12705,Cliff Kresge,46.42,162,187,-80,-9
123,0,08075,Jerry Kelly,46.06,117,137,-66,-15
124,0,20859,Anders Hansen,45.90,56,66,-35,+3
125,0,08537,J.P. Hayes,45.81,142,168,-74,-17
126,0,01677,Tom Lehman,45.66,79,94,-46,-5
127,0,22348,Nick O'Hern,45.60,88,105,-43,-15
128,0,22378,Trevor Immelman,45.45,95,114,-49,-14
128,0,27963,Chris Stroud,45.45,95,114,-43,-10
130,0,23613,Rich Barcelo,45.38,118,142,-65,-18
131,0,12510,Chad Campbell,45.08,119,145,-55,+5
132,0,01941,Tom Pernice Jr.,44.90,141,173,-84,-20
133,0,19803,Ryan Armour,44.61,153,190,-67,-25
134,0,25190,Jeff Quinney,44.30,140,176,-77,+4
135,0,24290,D.J. Brigman,44.23,92,116,-48,+1
136,0,21806,Paul Gow,43.98,95,121,-49,-9
137,0,06004,Stephen Ames,43.58,95,123,-49,-15
138,0,07867,Woody Austin,43.46,133,173,-57,-17
139,0,21753,Brian Davis,43.35,150,196,-83,-12
140,0,08881,Tripp Isenhour,43.11,122,161,-56,-17
141,0,06251,Chris DiMarco,42.98,101,134,-44,-5
142,0,20628,Arron Oberholser,42.93,82,109,-44,-16
143,0,01142,Bart Bryant,42.91,118,157,-61,-27
144,0,06373,José María Olazábal,42.86,60,80,-31,-12
145,0,23800,Bryce Molder,42.16,78,107,-32,-6
146,0,02206,David Toms,42.15,94,129,-50,-22
147,0,22621,Ben Curtis,42.13,99,136,-42,-6
148,0,19972,José Coceres,41.67,60,84,-29,+3
149,0,01388,Robert Gamez,41.52,120,169,-57,-24
150,0,21731,Freddie Jacobson,41.47,107,151,-63,-25
151,0,24024,Zach Johnson,41.33,93,132,-48,-6
152,0,22212,Craig Lile,41.27,104,148,-45,-15
153,0,01724,Jeff Maggert,41.08,122,175,-63,-10
154,0,26882,Michael Sim,40.84,78,113,-41,-10
155,0,23983,Luke Donald,40.57,71,104,-39,-5
156,0,21350,Ryuji Imada,40.52,141,207,-85,-32
157,0,10809,Jim Furyk,40.08,97,145,-55,-30
158,0,22295,Darron Stiles,40.00,78,117,-52,-8
159,0,27060,John Mallinger,39.81,127,192,-71,-16
160,0,24138,Ian Poulter,39.73,58,88,-26,-17
161,0,06515,Shaun Micheel,38.89,105,165,-50,-7
162,0,27649,Brandt Snedeker,38.85,115,181,-68,-26
163,0,12602,Dean Wilson,38.81,111,175,-56,-9
164,0,02036,Jim Rutledge,38.76,69,109,-35,+5
165,0,10117,Bob Heintz,38.66,104,165,-56,-7
166,0,21878,Mark Wilson,38.02,100,163,-55,-13
167,0,22293,Heath Slocum,37.92,124,203,-68,-45
168,0,01577,Lee Janzen,37.75,77,127,-43,-6
169,0,20382,Stephen Leaney,36.59,101,175,-51,-16
170,0,22806,Doug LaBelle II,36.31,118,207,-66,-18
171,0,01035,Tommy Armour III,36.23,96,169,-42,-15
172,0,06527,Steve Stricker,36.00,81,144,-55,-36
173,0,02104,Jeff Sluman,35.80,58,104,-29,-15
174,0,23108,Matt Kuchar,35.41,91,166,-60,-20
175,0,02101,Joey Sindelar,35.36,93,170,-52,-17
176,0,01320,Bob Estes,34.58,102,193,-62,-41
177,0,10213,Dicky Pride,34.51,78,148,-36,+1
178,0,10860,Justin Leonard,34.49,99,188,-48,-9
179,0,08931,Glen Day,34.43,94,179,-38,-35
180,0,01797,Rocco Mediate,34.27,85,163,-32,-28
181,0,12680,Shigeki Maruyama,34.26,99,190,-56,-15
182,0,01473,Todd Hamilton,34.09,75,145,-45,+4
183,0,02214,Kirk Triplett,33.95,92,179,-48,-18
184,0,20127,Chris Riley,33.16,65,131,-35,-23
185,0,01157,Tom Byrum,32.90,51,104,-30,-6
186,0,26420,Richard Johnson,32.21,96,202,-44,-19
187,0,07547,Craig Kanada,31.64,112,242,-54,-45
188,0,23933,Michael Boyd,31.37,64,140,-24,-13
