RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,01876,Greg Norman,21.93,13.99,-7.46,8.60
2,0,01968,Nick Price,16.34,17.16,-9.43,4.36
3,0,06522,Ernie Els,14.66,13.82,-6.57,6.68
4,0,01906,Masashi Jumbo Ozaki,10.82,7.97,-4.59,4.52
5,0,01313,Steve Elkington,10.43,3.99,-2.51,6.24
6,0,06567,Vijay Singh,8.12,9.25,-5.00,4.68
7,0,01378,David Frost,6.70,9.68,-5.37,2.12
8,0,20400,Michael Campbell,6.23,.83,-.40,4.12
9,0,01796,Mark McNulty,5.81,5.61,-3.06,1.52
10,0,10457,Frank Nobilo,5.63,4.71,-2.58,2.60
11,0,01920,Craig Parry,5.28,4.73,-2.73,3.12
12,0,02076,Peter Senior,4.75,4.37,-2.70,2.84
13,0,10885,Robert Allenby,4.05,4.59,-2.46,1.80
14,0,01858,Tommy Nakajima,3.64,4.30,-2.41,1.24
15,0,01517,Satoshi Higashi,3.55,.81,-.45,2.80
16,0,01890,Brett Ogle,3.51,2.99,-1.76,1.40
17,0,12680,Shigeki Maruyama,3.47,1.10,-.55,2.12
18,0,01886,Peter O'Malley,3.25,1.70,-1.13,2.32
19,0,02020,Eduardo Romero,3.16,3.50,-2.03,.84
20,0,08973,Wayne Riley,3.10,1.43,-.75,2.08
21,0,01905,Joe Ozaki,3.05,3.75,-2.25,1.52
22,0,07269,Greg Turner,3.01,2.40,-1.25,1.20
23,0,11155,Katsuyoshi Tomori,2.75,1.67,-.85,1.68
24,0,01659,Massy Kuramoto,2.71,2.08,-1.23,1.72
25,0,11106,Frankie Minoza,2.67,1.68,-.93,1.20
26,0,02271,Wayne Westner,2.62,3.07,-1.71,.76
27,0,20548,Hidemichi Tanaka,2.53,0,.00,1.52
28,0,01592,Tony Johnstone,2.49,3.72,-2.22,.72
29,0,06235,Mike Clayton,2.49,2.56,-1.18,1.16
30,0,20259,Hisayuki Sasaki,2.46,1.29,-.66,1.24
31,0,12823,Carlos Franco,2.41,1.40,-.70,.84
32,0,07465,Hideki Kase,2.31,1.27,-.52,1.12
33,0,20157,Retief Goosen,2.28,2.35,-1.20,1.08
34,0,02077,Nobuo Serizawa,2.24,1.75,-.89,1.16
35,0,06346,Tomohiro Maruyama,2.20,.72,-.28,1.32
36,0,07553,Roger Wessels,2.09,.67,-.37,1.08
37,0,08555,Terry Price,2.06,1.55,-.74,.80
38,0,20976,Masayuki Kawamura,2.05,1.26,-.64,.96
39,0,19972,José Coceres,2.03,1.30,-.68,.88
40,0,01719,Roger MacKay,2.02,1.90,-1.09,.40
41,0,20772,Toru Suzuki,1.96,.67,-.34,1.12
42,0,06422,Kazuhiro Takami,1.95,.97,-.55,1.16
43,0,01409,Rick Gibson,1.95,.91,-.53,1.12
44,0,20505,Lucas Parsons,1.93,.95,-.47,.68
45,0,11156,Tsukasa Watanabe,1.91,2.83,-1.55,.76
46,0,10821,Toshi Izawa,1.83,.12,-.06,1.04
47,0,01514,Eduardo Herrera,1.80,.96,-.49,.72
48,0,02245,Grant Waite,1.78,1.15,-.69,1.20
49,0,01824,Yoshinori Mizumaki,1.76,2.60,-1.39,.64
50,0,20992,Kazuhiko Hosokawa,1.73,0,.00,1.04
51,0,01803,Hajime Meshiai,1.69,1.65,-.84,.64
52,0,01435,Wayne Grady,1.68,2.22,-1.32,.48
53,0,01256,Rodger Davis,1.63,2.72,-1.58,.08
54,0,01014,Fulton Allem,1.61,2.50,-1.32,.16
55,0,20979,Katsunari Takahashi,1.60,1.86,-1.00,.60
56,0,20928,Kiyoshi Maita,1.59,.56,-.31,.80
57,0,20381,Ryoken Kawagishi,1.51,.80,-.41,.80
58,0,19955,Paul Moloney,1.47,1.09,-.54,.60
59,0,06004,Stephen Ames,1.46,1.16,-.58,.44
60,0,11226,Chin Shing Hsieh,1.44,1.47,-.77,.32
61,0,02312,Nobumitsu Yuhara,1.43,.86,-.61,.84
62,0,20267,Tim Elliott,1.40,.21,-.09,.72
