RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE EARLY RDS.
1,0,10809,Jim Furyk,67.77,881,13
2,0,25900,Lucas Glover,68.31,888,13
3,0,08793,Tiger Woods,68.64,755,11
4,0,06527,Steve Stricker,68.75,1100,16
5,0,22405,Justin Rose,68.83,1239,18
6,0,23983,Luke Donald,68.86,964,14
7,0,19846,Brian Gay,68.87,1584,23
8,0,10423,Mike Weir,68.91,758,11
9,0,24502,Adam Scott,69.09,760,11
10,0,10885,Robert Allenby,69.27,762,11
11,0,06567,Vijay Singh,69.41,1527,22
12,0,20645,John Senden,69.47,1181,17
12,0,21878,Mark Wilson,69.47,1181,17
14,0,01810,Phil Mickelson,69.50,834,12
15,0,06595,Kevin Sutherland,69.56,1252,18
16,0,23325,Vaughn Taylor,69.58,835,12
17,0,07749,Brett Quigley,69.61,1253,18
18,0,20628,Arron Oberholser,69.64,975,14
19,0,01619,Skip Kendall,69.65,1184,17
20,0,27141,J.B. Holmes,69.67,1045,15
21,0,02246,Duffy Waldorf,69.70,1394,20
22,0,10733,Kent Jones,69.75,1116,16
23,0,20229,Stewart Cink,69.77,907,13
24,0,21646,David Branshaw,69.83,1257,18
25,0,21805,Harrison Frazar,69.84,1327,19
26,0,11032,Frank Lickliter II,69.89,1258,18
27,0,06522,Ernie Els,69.92,839,12
28,0,24925,Jonathan Byrd,69.93,979,14
29,0,06575,Dudley Hart,69.94,1119,16
30,0,01381,Fred Funk,70.00,1190,17
31,0,23322,Brett Wetterich,70.07,981,14
32,0,01941,Tom Pernice Jr.,70.09,1612,23
33,0,22378,Trevor Immelman,70.13,1052,15
33,0,22293,Heath Slocum,70.13,1052,15
35,0,02239,Scott Verplank,70.14,1543,22
36,0,01313,Steve Elkington,70.15,912,13
36,0,07457,Steve Flesch,70.15,1824,26
36,0,02206,David Toms,70.15,912,13
39,0,24781,Hunter Mahan,70.16,1333,19
39,0,06515,Shaun Micheel,70.16,1333,19
41,0,06197,Michael Allen,70.17,842,12
41,0,01139,Olin Browne,70.17,1263,18
43,0,06621,Joe Durant,70.19,1123,16
44,0,01024,Billy Andrade,70.20,702,10
45,0,12680,Shigeki Maruyama,70.24,1194,17
46,0,01706,Davis Love III,70.25,843,12
47,0,20098,Stuart Appleby,70.27,1054,15
47,0,20634,Peter Lonard,70.27,773,11
49,0,20766,Padraig Harrington,70.30,703,10
49,0,27095,Nick Watney,70.30,1406,20
51,0,21470,Daisuke Maruyama,70.31,1125,16
52,0,20498,Briny Baird,70.33,1055,15
52,0,24507,Jason Bohn,70.33,1055,15
52,0,20850,Daniel Chopra,70.33,1477,21
52,0,01226,Fred Couples,70.33,633,9
52,0,24024,Zach Johnson,70.33,1055,15
52,0,20572,Rod Pampling,70.33,1055,15
58,0,12645,Brent Geiberger,70.35,1196,17
59,0,06573,Brandt Jobe,70.38,1126,16
59,0,12755,Vance Veazey,70.38,915,13
61,0,23353,J.J. Henry,70.40,1056,15
62,0,25804,Bubba Watson,70.41,1197,17
63,0,22371,Aaron Baddeley,70.44,1268,18
63,0,22046,Geoff Ogilvy,70.44,634,9
63,0,12660,Jesper Parnevik,70.44,1127,16
66,0,02110,Jerry Smith,70.46,1691,24
67,0,24357,K.J. Choi,70.50,564,8
67,0,21209,Sergio Garcia,70.50,564,8
67,0,01553,John Huston,70.50,1269,18
67,0,20127,Chris Riley,70.50,1128,16
67,0,22913,John Rollins,70.50,1551,22
72,0,20574,Mathew Goggin,70.53,1058,15
73,0,23621,Rory Sabbatini,70.54,917,13
74,0,23349,Charles Warren,70.56,1129,16
75,0,24140,Sean O'Hair,70.58,847,12
76,0,20691,Greg Owen,70.59,1200,17
77,0,21407,Arjun Atwal,70.60,1412,20
77,0,22621,Ben Curtis,70.60,1059,15
77,0,24924,Bill Haas,70.60,1059,15
80,0,23320,Ryan Palmer,70.62,918,13
81,0,20094,Jonathan Kaye,70.63,1695,24
82,0,23541,Ben Crane,70.64,777,11
83,0,01724,Jeff Maggert,70.65,1201,17
83,0,23623,Bo Van Pelt,70.65,1201,17
85,0,08075,Jerry Kelly,70.67,1484,21
86,0,20631,David McKenzie,70.69,1131,16
86,0,26596,Ryan Moore,70.69,919,13
88,0,20608,David Howell,70.71,495,7
89,0,20378,Mathias Grönberg,70.72,1273,18
90,0,23788,D.J. Trahan,70.73,1061,15
91,0,21350,Ryuji Imada,70.75,1415,20
91,0,12602,Dean Wilson,70.75,1132,16
93,0,19913,Ron Whittaker,70.77,920,13
94,0,23718,Nathan Green,70.78,1628,23
94,0,06012,Greg Kraft,70.78,1274,18
96,0,25240,D.A. Points,70.79,991,14
97,0,01599,Steve Jones,70.81,1133,16
98,0,20121,Todd Fischer,70.83,1275,18
99,0,21753,Brian Davis,70.84,1771,25
100,0,06643,Paul Goydos,70.86,992,14
101,0,19824,Craig Barlow,70.87,1063,15
101,0,01677,Tom Lehman,70.87,1063,15
103,0,08123,Jeff Brehaut,70.89,1347,19
103,0,02223,Bob Tway,70.89,1347,19
105,0,24912,Will MacKenzie,70.90,1418,20
106,0,01823,Larry Mize,70.91,780,11
106,0,28780,Nicholas Thompson,70.91,1560,22
108,0,27943,Matt Hansen,70.93,1064,15
109,0,01320,Bob Estes,70.95,1419,20
110,0,01219,John Cook,71.00,923,13
110,0,10860,Justin Leonard,71.00,852,12
110,0,01707,Steve Lowery,71.00,994,14
113,0,01042,Paul Azinger,71.05,1350,19
113,0,27770,Camilo Villegas,71.05,1563,22
115,0,20157,Retief Goosen,71.08,853,12
115,0,01666,Bernhard Langer,71.08,924,13
117,0,27120,Troy Matteson,71.09,1564,22
118,0,24361,Pat Perez,71.10,711,10
119,0,20105,Jeff Gove,71.13,1138,16
120,0,20382,Stephen Leaney,71.15,925,13
121,0,02101,Joey Sindelar,71.16,1352,19
122,0,10505,Shane Bertsch,71.20,1424,20
123,0,22548,Patrick Sheehan,71.21,1353,19
123,0,08375,Paul Stankowski,71.21,1353,19
125,0,24358,Robert Garrigus,71.22,1282,18
125,0,12716,Charley Hoffman,71.22,1282,18
125,0,08385,Omar Uresti,71.22,641,9
128,0,06251,Chris DiMarco,71.25,1140,16
128,0,08537,J.P. Hayes,71.25,855,12
130,0,02104,Jeff Sluman,71.26,1354,19
131,0,12760,Danny Ellis,71.27,1069,15
132,0,22946,Henrik Bjornstad,71.28,1283,18
133,0,28475,Jeff Overton,71.32,1355,19
134,0,21961,Charles Howell III,71.33,1284,18
135,0,22892,Jason Gore,71.35,1213,17
136,0,23048,Eric Axley,71.36,1570,22
136,0,12510,Chad Campbell,71.36,999,14
136,0,25345,Carl Pettersson,71.36,785,11
139,0,01766,Billy Mayfair,71.37,1356,19
140,0,26420,Richard Johnson,71.38,1499,21
141,0,08835,Kris Cox,71.40,1071,15
141,0,21731,Freddie Jacobson,71.40,714,10
143,0,01948,Tim Petrovic,71.42,1357,19
144,0,06034,Marco Dawson,71.46,1715,24
144,0,02214,Kirk Triplett,71.46,929,13
146,0,01142,Bart Bryant,71.50,1001,14
146,0,01685,J.L. Lewis,71.50,858,12
146,0,23497,Tag Ridings,71.50,1716,24
149,0,19881,Robert Damron,71.54,1860,26
150,0,26360,Bubba Dickerson,71.55,1574,22
151,0,11011,Mike Sposa,71.56,1288,18
152,0,25632,Jimmy Walker,71.58,859,12
153,0,06373,José María Olazábal,71.63,573,8
154,0,01928,Corey Pavin,71.64,1003,14
155,0,20472,Alex Cejka,71.65,1433,20
156,0,01945,Kenny Perry,71.67,1075,15
157,0,23135,Tim Clark,71.71,1004,14
157,0,10565,Ian Leggatt,71.71,1219,17
159,0,12662,Thomas Levet,71.73,789,11
160,0,21959,Ted Purdy,71.76,1507,21
161,0,06350,Bob May,71.77,933,13
162,0,01887,Mark O'Meara,71.78,646,9
163,0,12823,Carlos Franco,71.79,1364,19
163,0,21660,Jason Schultz,71.79,1364,19
165,0,01132,Mark Brooks,71.81,1149,16
166,0,07867,Woody Austin,71.83,1293,18
166,0,11123,Chris Couch,71.83,1652,23
168,0,01035,Tommy Armour III,71.88,1150,16
168,0,23307,Roger Tambellini,71.88,1150,16
170,0,02106,Chris Smith,71.94,1223,17
171,0,06004,Stephen Ames,72.00,432,6
171,0,20593,Greg Chalmers,72.00,864,12
173,0,23673,Michael Connell,72.07,1081,15
174,0,25842,Jon Mills,72.08,937,13
175,0,01761,Len Mattiace,72.13,1154,16
176,0,01577,Lee Janzen,72.17,1299,18
177,0,23614,Rich Beem,72.18,794,11
177,0,12782,Tim Herron,72.18,794,11
179,0,01161,Mark Calcavecchia,72.19,1155,16
180,0,23409,James Driscoll,72.22,1300,18
181,0,01388,Robert Gamez,72.25,1156,16
182,0,21949,Joe Ogilvie,72.27,795,11
182,0,20812,Tjaart van der Walt,72.27,795,11
184,0,01329,Brad Faxon,72.29,1012,14
185,0,24980,Scott Gutschewski,72.38,941,13
186,0,07013,Wes Short Jr.,72.44,1159,16
187,0,20099,Doug Barron,72.61,1307,18
188,0,09011,David Duval,72.71,509,7
189,0,07223,Brian Bateman,72.89,1312,18
190,0,25935,John Engler Jr.,73.29,1246,17
191,0,20548,Hidemichi Tanaka,73.33,1320,18
192,0,01473,Todd Hamilton,73.44,661,9
193,0,24138,Ian Poulter,73.50,441,6
194,0,23616,Ryan Hietala,73.77,959,13
195,0,25936,Alex Aragon,73.79,1033,14
196,0,01249,John Daly,74.83,449,6
