RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,ATTEMPTS
1,0,34363,Tyrrell Hatton,-.101,99
2,0,58696,Peter Kuest,-.085,71
3,0,33448,Justin Thomas,-.065,123
4,0,22371,Aaron Baddeley,-.058,104
5,0,45157,Cam Davis,-.054,147
5,0,48867,Matti Schmid,-.054,112
7,0,22056,Cameron Percy,-.041,74
8,0,24140,Sean O'Hair,-.038,52
9,0,28237,Rory McIlroy,-.024,125
10,0,50188,S.H. Kim,-.011,179
11,0,32448,James Hahn,-.010,101
12,0,52955,Ludvig Åberg,E,79
12,0,35450,Patrick Cantlay,E,94
12,0,54591,Ben Griffin,E,170
12,0,54421,Garrick Higgo,E,163
12,0,33413,Ben Martin,E,130
12,0,30692,Scott Stallings,E,98
18,0,40098,Matt Fitzpatrick,+.007,137
19,0,47591,Eric Cole,+.011,265
20,0,39997,Corey Conners,+.016,124
20,0,34076,Joel Dahmen,+.016,122
22,0,27644,Brian Harman,+.017,115
22,0,32791,K.H. Lee,+.017,172
24,0,51997,Andrew Novak,+.020,102
25,0,51766,Wyndham Clark,+.021,146
26,0,59018,Ryan Gerard,+.023,88
27,0,35532,Tom Hoge,+.024,125
27,0,46046,Scottie Scheffler,+.024,164
29,0,52375,Doug Ghim,+.025,121
30,0,32839,Hideki Matsuyama,+.026,114
30,0,55789,Taylor Montgomery,+.026,154
32,0,36799,Stephan Jaeger,+.027,222
32,0,47347,Adam Schenk,+.027,183
34,0,36724,Augusto Núñez,+.028,109
35,0,22405,Justin Rose,+.030,100
36,0,35461,Beau Hossler,+.031,195
37,0,57975,Harry Hall,+.032,186
38,0,55893,Sam Stevens,+.033,150
39,0,49453,Trevor Cone,+.035,143
39,0,35617,Martin Trainer,+.035,85
41,0,46340,Alex Smalley,+.036,166
42,0,27974,Sung Kang,+.038,78
43,0,32366,Kevin Chappell,+.040,75
44,0,48699,Callum Tarren,+.045,177
45,0,46717,Viktor Hovland,+.046,109
45,0,48119,Ben Taylor,+.046,175
47,0,25900,Lucas Glover,+.047,127
47,0,40250,Taylor Pendrith,+.047,191
49,0,27963,Chris Stroud,+.049,61
50,0,48084,Wesley Bryan,+.054,74
51,0,29420,Billy Horschel,+.057,88
51,0,25493,Nick Taylor,+.057,140
53,0,25818,Scott Piercy,+.058,103
54,0,33948,Byeong Hun An,+.061,179
54,0,34563,Chesson Hadley,+.061,147
54,0,35506,Mackenzie Hughes,+.061,148
57,0,33141,Keegan Bradley,+.063,111
57,0,27554,Scott Harrington,+.063,128
59,0,34466,Peter Malnati,+.065,186
60,0,39067,MJ Daffue,+.066,152
61,0,51491,Brandon Matthews,+.068,74
62,0,29725,Tony Finau,+.069,131
63,0,33653,Thomas Detry,+.070,128
63,0,32102,Rickie Fowler,+.070,143
63,0,54628,Lee Hodges,+.070,158
66,0,39335,Kevin Roy,+.073,110
67,0,39058,Lucas Herbert,+.074,81
67,0,39971,Sungjae Im,+.074,135
69,0,52372,Cameron Champ,+.075,107
69,0,30163,Henrik Norlander,+.075,134
69,0,49771,J.T. Poston,+.075,133
72,0,49947,Taylor Moore,+.076,132
73,0,33408,Tyson Alexander,+.077,142
74,0,51634,Sahith Theegala,+.080,187
75,0,27129,Luke List,+.083,180
75,0,51070,Vincent Norrman,+.083,109
77,0,30926,Chris Kirk,+.084,143
77,0,28252,Seamus Power,+.084,95
79,0,32662,Michael Gligic,+.085,106
79,0,47983,Chad Ramey,+.085,153
79,0,39324,J.J. Spaun,+.085,130
82,0,29221,Webb Simpson,+.087,103
83,0,30911,Tommy Fleetwood,+.088,113
84,0,34046,Jordan Spieth,+.089,124
85,0,24502,Adam Scott,+.090,89
85,0,34431,Robert Streb,+.090,134
87,0,49298,Kramer Hickok,+.092,152
87,0,32757,Patton Kizzire,+.092,141
87,0,58967,Trevor Werbylo,+.092,119
90,0,46435,Austin Cook,+.093,97
90,0,31560,Brian Stuard,+.093,86
92,0,32816,Satoshi Kodaira,+.094,53
93,0,28420,Ryan Brehm,+.096,178
93,0,36699,Patrick Rodgers,+.096,177
95,0,35879,Kelly Kraft,+.097,155
95,0,46601,Trey Mullinax,+.097,145
95,0,23320,Ryan Palmer,+.097,103
95,0,27214,Kevin Streelman,+.097,155
95,0,32333,Kevin Tway,+.097,175
95,0,48887,Matt Wallace,+.097,145
101,0,27349,Alex Noren,+.098,132
