RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,30925,Dustin Johnson,27.25,363,1332,9
2,0,22405,Justin Rose,25.42,302,1188,23
3,0,33448,Justin Thomas,25.27,373,1476,45
4,0,46970,Jon Rahm,25.25,300,1188,20
5,0,30911,Tommy Fleetwood,24.75,294,1188,32
6,0,01810,Phil Mickelson,24.71,387,1566,137
7,0,47959,Bryson DeChambeau,24.13,404,1674,25
8,0,36689,Brooks Koepka,24.01,268,1116,54
9,0,29725,Tony Finau,23.87,421,1764,18
10,0,28089,Jason Day,23.61,289,1224,124
10,0,34046,Jordan Spieth,23.61,323,1368,12
12,0,39546,Keith Mitchell,23.25,406,1746,31
13,0,49964,Aaron Wise,23.23,368,1584,43
14,0,24846,Ricky Barnes,23.07,245,1062,155
15,0,28237,Rory McIlroy,23.04,253,1098,106
16,0,32839,Hideki Matsuyama,22.99,298,1296,34
17,0,08793,Tiger Woods,22.88,280,1224,82
18,0,32102,Rickie Fowler,22.75,303,1332,29
19,0,35421,Brandon Harkins,22.69,388,1710,113
20,0,34563,Chesson Hadley,22.62,403,1782,75
21,0,34213,Grayson Murray,22.61,293,1296,175
22,0,29223,Sam Saunders,22.60,301,1332,133
23,0,23320,Ryan Palmer,22.57,256,1134,118
24,0,26851,Marc Leishman,22.47,364,1620,96
25,0,50526,Tom Lovelady,22.36,326,1458,87
26,0,25396,Kevin Na,22.35,346,1548,142
27,0,30944,Jason Kokrak,22.33,398,1782,14
28,0,29420,Billy Horschel,22.29,329,1476,3
29,0,27936,Martin Laird,22.22,260,1170,110
30,0,46501,Ollie Schniederjans,22.09,346,1566,173
31,0,39324,J.J. Spaun,22.01,313,1422,30
32,0,31323,Gary Woodland,21.98,360,1638,11
33,0,24024,Zach Johnson,21.97,344,1566,80
34,0,46435,Austin Cook,21.96,423,1926,100
35,0,23325,Vaughn Taylor,21.94,312,1422,89
36,0,27129,Luke List,21.93,375,1710,51
37,0,29268,Bronson Burgoon,21.90,272,1242,50
