RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,01960,Don Pooley,28.04,2215,79,23
2,0,01495,Morris Hatalsky,28.21,2031,72,23
3,0,01717,Sandy Lyle,28.30,1783,63,22
4,0,01858,Tommy Nakajima,28.58,1572,55,7
5,0,02294,Willie Wood,28.63,2290,80,22
6,0,01150,George Burns,28.64,1604,56,14
7,0,01414,Bob Gilder,28.67,2609,91,23
7,0,01964,Greg Powers,28.67,1634,57,23
9,0,01214,Frank Conner,28.78,1669,58,12
9,0,02007,Larry Rinker,28.78,2878,100,22
11,0,01641,Gary Koch,28.85,2337,81,22
12,0,01042,Paul Azinger,28.86,2655,92,22
13,0,01876,Greg Norman,28.88,1502,52,24
14,0,01864,Larry Nelson,28.90,1994,69,22
14,0,01926,Steve Pate,28.90,3035,105,5
14,0,02223,Bob Tway,28.90,3121,108,24
17,0,01968,Nick Price,28.93,2430,84,24
18,0,02146,Payne Stewart,28.94,2981,103,25
19,0,01355,Raymond Floyd,28.96,1969,68,25
19,0,01527,Scott Hoch,28.96,3243,112,15
21,0,01129,Bill Britton,28.97,2781,96,25
21,0,01361,Dan Forsman,28.97,3534,122,13
21,0,02229,Brett Upper,28.97,2289,79,22
21,0,02242,Lanny Wadkins,28.97,2723,94,23
25,0,01331,Rick Fehr,28.99,2232,77,23
25,0,01823,Larry Mize,28.99,2377,82,24
25,0,01943,Chris Perry,28.99,3073,106,16
25,0,02033,Dave Rummells,28.99,3247,112,25
29,0,01444,Ken Green,29.01,2785,96,24
29,0,02104,Jeff Sluman,29.01,3481,120,21
29,0,02133,Craig Stadler,29.01,2118,73,23
32,0,01235,Ben Crenshaw,29.02,2844,98,23
33,0,02159,Curtis Strange,29.03,2584,89,22
34,0,01639,Kenny Knox,29.07,3285,113,23
34,0,02167,Mike Sullivan,29.07,2674,92,23
36,0,01135,Ken Brown,29.09,1920,66,25
37,0,01553,John Huston,29.10,2735,94,25
38,0,01346,Ed Fiori,29.11,3173,109,23
39,0,01707,Steve Lowery,29.12,2912,100,22
39,0,01846,Jodie Mudd,29.12,3028,104,23
41,0,01236,Richard Cromwell,29.13,2068,71,22
41,0,01378,David Frost,29.13,2505,86,24
43,0,02023,Clarence Rose,29.14,3322,114,24
44,0,01682,Wayne Levi,29.15,2361,81,19
45,0,02041,Bill Sander,29.16,2391,82,23
45,0,02322,Richard Zokol,29.16,2216,76,21
47,0,01072,Chip Beck,29.17,2713,93,22
47,0,01310,Dave Eichelberger,29.17,2684,92,5
49,0,02099,Scott Simpson,29.18,2072,71,25
49,0,02225,Howard Twitty,29.18,3181,109,22
51,0,01633,Tom Kite,29.20,2511,86,25
52,0,01390,Buddy Gardner,29.21,3330,114,24
53,0,02190,Doug Tewell,29.23,2309,79,17
54,0,01323,Brad Fabel,29.24,2924,100,22
54,0,01984,Sam Randolph,29.24,2339,80,6
56,0,01557,John Inman,29.25,2983,102,22
56,0,02010,Loren Roberts,29.25,2691,92,24
58,0,01157,Tom Byrum,29.26,3277,112,23
58,0,01197,Bobby Clampett,29.26,2633,90,18
60,0,01161,Mark Calcavecchia,29.27,3454,118,23
60,0,01928,Corey Pavin,29.27,2459,84,24
62,0,02279,Mark Wiebe,29.28,3396,116,22
63,0,01061,Ray Barr Jr.,29.30,1758,60,24
63,0,01443,Hubert Green,29.30,2022,69,21
63,0,01755,Dick Mast,29.30,2930,100,23
66,0,01329,Brad Faxon,29.31,2638,90,23
66,0,01931,Rick Pearson,29.31,2609,89,23
68,0,01599,Steve Jones,29.32,2551,87,22
68,0,01941,Tom Pernice Jr.,29.32,2551,87,24
70,0,02148,Ray Stewart,29.33,2728,93,18
71,0,01033,George Archer,29.35,2759,94,24
72,0,01559,Hale Irwin,29.36,2173,74,24
72,0,01701,Bob Lohr,29.36,3288,112,23
74,0,01313,Steve Elkington,29.37,2702,92,24
75,0,01457,Jay Haas,29.38,2938,100,23
75,0,01887,Mark O'Meara,29.38,2674,91,24
75,0,01998,Jack Renner,29.38,2732,93,24
