RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,27095,Nick Watney,95' 7",Canadian Open,1,16 - Par 5
2,0,34431,Robert Streb,94' 8",Wells Fargo,2,8 - Par 4 -
3,0,29222,Billy Hurley III,85' 1",Wells Fargo,4,9 - Par 4 -
4,0,29476,Kyle Reifers,79' 8",Barbasol Champ,3,11 - Par 4
5,0,32366,Kevin Chappell,78' 5",WGC-Mexico,1,15 - Par 5
6,0,34409,David Lingmerth,77' 5",PGA Championshi,2,11 - Par 4
7,0,22056,Cameron Percy,73' 10",Barbasol Champ,2,13 - Par 5
8,0,29485,Brett Stegmaier,72' 8",RBC Heritage,2,10 - Par 4
9,0,29420,Billy Horschel,72' 6",BMW Champ,3,12 - Par 4
10,0,35314,Andy Sullivan,71' 5",Shell Houston,4,10 - Par 4
11,0,34174,John Huh,71' 4",Phoenix Open,3,6 - Par 4 -
12,0,32333,Kevin Tway,71' 0",NORTHERN TRUST,2,7 - Par 4 -
13,0,27129,Luke List,70' 7",RBC Heritage,2,10 - Par 4
14,0,27556,Ted Potter Jr.,70' 7",The Greenbrier,4,18 - Par 3
15,0,23325,Vaughn Taylor,69' 10",Wyndham Champ,2,15 - Par 5
16,0,26851,Marc Leishman,69' 10",Dell Tech Champ,2,5 - Par 4 -
17,0,24358,Robert Garrigus,69' 5",The Greenbrier,2,4 - Par 4 -
18,0,39324,J.J. Spaun,69' 3",Phoenix Open,4,5 - Par 4 -
19,0,34099,Harris English,68' 11",Byron Nelson,1,17 - Par 3
20,0,25900,Lucas Glover,68' 5",Shriners Hosp.,4,2 - Par 4 -
21,0,40058,Zac Blair,67' 9",Shell Houston,1,9 - Par 3 -
22,0,27936,Martin Laird,67' 9",Dell Tech Champ,2,8 - Par 3 -
23,0,31202,William McGirt,67' 6",Dell Tech Champ,4,17 - Par 4
24,0,27770,Camilo Villegas,66' 10",Phoenix Open,3,14 - Par 4
25,0,36689,Brooks Koepka,65' 9",Dell Tech Champ,2,11 - Par 3
26,0,29289,S.Y. Noh,65' 8",Honda Classic,2,6 - Par 4 -
27,0,47610,Tyler Light,65' 8",U.S. Open,3,6 - Par 3 -
28,0,46441,Robby Shelton,65' 5",Texas Open,4,13 - Par 3
29,0,39997,Corey Conners,65' 0",U.S. Open,1,4 - Par 4 -
30,0,35879,Kelly Kraft,64' 11",RBC Heritage,2,4 - Par 3 -
31,0,25720,Chad Collins,64' 9",RBC Heritage,2,10 - Par 4
32,0,29221,Webb Simpson,64' 4",Genesis Open,4,14 - Par 3
33,0,34360,Patrick Reed,64' 1",Byron Nelson,1,17 - Par 3
