RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,25720,Chad Collins,50.69,73,144
2,0,30852,Ryo Ishikawa,47.92,69,144
3,0,37454,Whee Kim,47.22,102,216
4,0,30925,Dustin Johnson,46.53,134,288
5,0,27895,Jonas Blixt,46.30,100,216
6,0,34409,David Lingmerth,46.18,133,288
7,0,33399,Adam Hadwin,46.03,174,378
8,0,35891,Cameron Smith,45.75,140,306
9,0,25572,Graeme McDowell,45.45,90,198
10,0,23983,Luke Donald,45.24,57,126
11,0,25892,Steve Wheatcroft,45.14,65,144
12,0,27770,Camilo Villegas,44.87,105,234
13,0,32102,Rickie Fowler,44.75,145,324
14,0,48084,Wesley Bryan,44.44,152,342
14,0,28252,Seamus Power,44.44,144,324
14,0,34360,Patrick Reed,44.44,184,414
17,0,29479,Scott Brown,44.14,143,324
18,0,27141,J.B. Holmes,44.12,135,306
18,0,33448,Justin Thomas,44.12,135,306
20,0,39954,Cody Gribble,43.98,95,216
21,0,32150,Michael Thompson,43.89,79,180
22,0,26596,Ryan Moore,43.79,134,306
23,0,35532,Tom Hoge,43.75,63,144
24,0,23108,Matt Kuchar,43.69,173,396
25,0,24024,Zach Johnson,43.46,133,306
25,0,34466,Peter Malnati,43.46,133,306
27,0,37278,Nicholas Lindheim,43.33,78,180
28,0,24140,Sean O'Hair,43.21,140,324
29,0,27644,Brian Harman,43.12,163,378
30,0,35879,Kelly Kraft,43.06,93,216
31,0,32366,Kevin Chappell,42.78,154,360
31,0,48822,Sebastián Muñoz,42.78,77,180
33,0,34046,Jordan Spieth,42.59,138,324
34,0,31323,Gary Woodland,42.33,160,378
35,0,33122,Russell Knox,42.31,99,234
35,0,24502,Adam Scott,42.31,99,234
37,0,49771,J.T. Poston,42.28,137,324
38,0,27963,Chris Stroud,42.22,76,180
39,0,33461,Morgan Hoffmann,42.16,129,306
40,0,25345,Carl Pettersson,42.06,53,126
40,0,29223,Sam Saunders,42.06,106,252
42,0,19846,Brian Gay,42.01,121,288
43,0,27974,Sung Kang,41.92,166,396
44,0,32640,Troy Merritt,41.88,98,234
45,0,24138,Ian Poulter,41.85,113,270
46,0,33419,Cameron Tringale,41.83,128,306
47,0,46443,Brian Campbell,41.67,60,144
47,0,29222,Billy Hurley III,41.67,120,288
