RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,47483,Will Zalatoris,1.063,60.590,57
2,0,34098,Russell Henley,.969,61.050,63
3,0,50525,Collin Morikawa,.854,41.009,48
4,0,46046,Scottie Scheffler,.819,54.035,66
5,0,35891,Cameron Smith,.771,37.772,49
6,0,32839,Hideki Matsuyama,.711,40.499,57
7,0,48081,Xander Schauffele,.701,39.958,57
8,0,33448,Justin Thomas,.696,42.441,61
9,0,33204,Shane Lowry,.679,32.579,48
9,0,47529,Mito Pereira,.679,50.933,75
11,0,35532,Tom Hoge,.664,49.105,74
12,0,29725,Tony Finau,.659,46.796,71
13,0,46402,Talor Gooch,.653,35.904,55
14,0,28237,Rory McIlroy,.626,32.565,52
15,0,46717,Viktor Hovland,.606,33.938,56
16,0,39997,Corey Conners,.601,42.698,71
17,0,27129,Luke List,.594,38.039,64
18,0,47504,Sam Burns,.554,38.220,69
19,0,45486,Joaquin Niemann,.527,30.584,58
20,0,36801,Mark Hubbard,.494,27.158,55
21,0,49964,Aaron Wise,.489,37.617,77
22,0,26476,Chez Reavie,.467,35.008,75
23,0,37189,Harold Varner III,.458,26.096,57
24,0,23983,Luke Donald,.451,23.454,52
25,0,33122,Russell Knox,.450,33.334,74
26,0,27936,Martin Laird,.444,27.106,61
27,0,35310,Lanto Griffin,.438,29.790,68
27,0,34264,Hudson Swafford,.438,21.042,48
29,0,33141,Keegan Bradley,.437,28.854,66
30,0,36871,Matthew NeSmith,.417,32.552,78
31,0,34046,Jordan Spieth,.416,25.355,61
32,0,50095,Austin Smotherman,.412,25.934,63
33,0,40006,Erik van Rooyen,.411,16.420,40
34,0,27064,Jhonattan Vegas,.396,23.350,59
35,0,23325,Vaughn Taylor,.386,15.452,40
36,0,39977,Max Homa,.384,26.879,70
37,0,25900,Lucas Glover,.368,30.159,82
38,0,35450,Patrick Cantlay,.363,18.882,52
38,0,46970,Jon Rahm,.363,19.948,55
40,0,36326,David Lipsky,.354,25.519,72
41,0,48822,Sebastián Muñoz,.331,22.854,69
41,0,40115,Adam Svensson,.331,27.816,84
43,0,29518,Brendan Steele,.325,20.166,62
44,0,31323,Gary Woodland,.318,17.787,56
45,0,39971,Sungjae Im,.308,23.105,75
46,0,46414,Aaron Rai,.301,20.773,69
47,0,33419,Cameron Tringale,.294,21.445,73
48,0,40098,Matt Fitzpatrick,.280,13.433,48
49,0,33399,Adam Hadwin,.274,20.825,76
50,0,45157,Cam Davis,.269,20.467,76
51,0,24980,Scott Gutschewski,.264,10.022,38
52,0,46340,Alex Smalley,.260,19.522,75
53,0,54628,Lee Hodges,.256,21.210,83
53,0,30926,Chris Kirk,.256,16.139,63
53,0,24502,Adam Scott,.256,16.147,63
56,0,32757,Patton Kizzire,.213,17.468,82
57,0,29908,C.T. Pan,.200,14.228,71
58,0,24361,Pat Perez,.199,10.152,51
59,0,48699,Callum Tarren,.197,10.615,54
60,0,34076,Joel Dahmen,.195,14.393,74
61,0,30692,Scott Stallings,.191,16.012,84
62,0,39953,Chase Seiffert,.186,6.878,37
63,0,51634,Sahith Theegala,.185,17.548,95
64,0,30911,Tommy Fleetwood,.181,7.231,40
65,0,34610,Matthias Schwab,.180,9.894,55
66,0,27644,Brian Harman,.177,13.423,76
66,0,36799,Stephan Jaeger,.177,12.934,73
68,0,34174,John Huh,.171,10.446,61
69,0,26851,Marc Leishman,.166,10.452,63
70,0,51997,Andrew Novak,.164,8.863,54
71,0,48084,Wesley Bryan,.161,6.295,39
71,0,47995,Davis Riley,.161,13.230,82
73,0,52375,Doug Ghim,.158,10.747,68
73,0,30163,Henrik Norlander,.158,9.503,60
75,0,34363,Tyrrell Hatton,.153,7.326,48
76,0,47347,Adam Schenk,.152,11.710,77
77,0,48117,Kurt Kitayama,.149,6.842,46
78,0,29289,S.Y. Noh,.147,6.785,46
79,0,53165,Doc Redman,.146,9.174,63
80,0,29221,Webb Simpson,.143,7.426,52
81,0,45609,Tyler Duncan,.133,8.643,65
82,0,27095,Nick Watney,.131,8.140,62
83,0,36884,Ben Kohles,.130,5.842,45
84,0,39324,J.J. Spaun,.127,9.294,73
85,0,34255,Joseph Bramlett,.125,8.395,67
86,0,19803,Ryan Armour,.122,4.255,35
87,0,45522,Christiaan Bezuidenhout,.120,6.627,55
88,0,32816,Satoshi Kodaira,.118,4.833,41
89,0,40250,Taylor Pendrith,.115,6.811,59
90,0,26300,Matt Jones,.107,5.460,51
91,0,57366,Cameron Young,.098,6.851,70
92,0,28775,Nate Lashley,.093,5.684,61
92,0,40162,Justin Lower,.093,5.006,54
94,0,36699,Patrick Rodgers,.091,6.283,69
95,0,55708,Hayden Buckley,.086,6.624,77
96,0,49766,Hank Lebioda,.085,5.801,68
97,0,37455,Si Woo Kim,.072,5.864,81
98,0,22405,Justin Rose,.065,2.476,38
99,0,21961,Charles Howell III,.064,3.018,47
100,0,35449,Adam Long,.062,4.730,76
100,0,37275,Sam Ryder,.062,4.818,78
102,0,51890,Greyson Sigg,.056,4.021,72
103,0,27214,Kevin Streelman,.054,4.340,80
104,0,47983,Chad Ramey,.053,2.941,55
105,0,32640,Troy Merritt,.046,3.413,74
106,0,31646,Emiliano Grillo,.043,3.020,70
107,0,49298,Kramer Hickok,.041,3.014,74
108,0,34256,Andrew Putnam,.032,2.566,81
109,0,45526,Abraham Ancer,.026,1.186,46
109,0,30944,Jason Kokrak,.026,1.303,51
111,0,39546,Keith Mitchell,.024,1.747,72
112,0,46601,Trey Mullinax,.021,1.398,66
112,0,31560,Brian Stuard,.021,1.472,69
114,0,49771,J.T. Poston,.018,1.474,80
115,0,27770,Camilo Villegas,.017,.883,51
116,0,25493,Nick Taylor,.015,1.050,69
117,0,32448,James Hahn,.013,.761,60
117,0,28252,Seamus Power,.013,.753,59
119,0,27349,Alex Noren,.002,.089,48
120,0,24925,Jonathan Byrd,-.003,-.119,43
120,0,34563,Chesson Hadley,-.003,-.223,64
122,0,46442,Maverick McNealy,-.004,-.264,73
123,0,29970,Dylan Frittelli,-.007,-.477,73
124,0,32791,K.H. Lee,-.009,-.786,86
125,0,20229,Stewart Cink,-.013,-.868,66
126,0,52374,Brandon Wu,-.019,-.964,50
127,0,34466,Peter Malnati,-.023,-2.038,87
128,0,23108,Matt Kuchar,-.035,-2.117,60
129,0,34431,Robert Streb,-.042,-3.038,73
130,0,23320,Ryan Palmer,-.056,-2.809,50
131,0,47993,Denny McCarthy,-.059,-5.166,87
132,0,36689,Brooks Koepka,-.064,-2.503,39
133,0,30927,Brendon Todd,-.065,-4.564,70
134,0,29420,Billy Horschel,-.067,-3.699,55
135,0,22056,Cameron Percy,-.078,-2.481,32
136,0,27649,Brandt Snedeker,-.081,-3.983,49
137,0,25686,Jason Dufner,-.085,-3.309,39
137,0,29926,Danny Lee,-.085,-3.414,40
139,0,32662,Michael Gligic,-.087,-4.975,57
140,0,27139,David Skinns,-.090,-4.698,52
141,0,12716,Charley Hoffman,-.107,-6.182,58
142,0,48887,Matt Wallace,-.109,-5.336,49
143,0,32150,Michael Thompson,-.133,-9.865,74
144,0,47988,Nick Hardy,-.134,-6.044,45
145,0,28089,Jason Day,-.137,-6.974,51
