RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,46970,Jon Rahm,1.025,56.372,55
2,0,57366,Cameron Young,.914,64.001,70
3,0,28237,Rory McIlroy,.771,40.068,52
4,0,39546,Keith Mitchell,.761,54.809,72
5,0,39997,Corey Conners,.700,49.724,71
6,0,29518,Brendan Steele,.694,43.003,62
7,0,27129,Luke List,.677,43.354,64
8,0,39971,Sungjae Im,.651,48.826,75
9,0,52372,Cameron Champ,.637,29.950,47
10,0,40098,Matt Fitzpatrick,.636,30.505,48
11,0,47483,Will Zalatoris,.602,34.290,57
12,0,40250,Taylor Pendrith,.591,34.873,59
13,0,55708,Hayden Buckley,.568,43.749,77
14,0,45486,Joaquin Niemann,.545,31.608,58
15,0,29725,Tony Finau,.543,38.535,71
16,0,33448,Justin Thomas,.538,32.800,61
17,0,35450,Patrick Cantlay,.526,27.343,52
18,0,31646,Emiliano Grillo,.480,33.632,70
19,0,47856,Seth Reeves,.475,23.279,49
20,0,37212,Paul Barjon,.454,28.601,63
21,0,46601,Trey Mullinax,.451,29.771,66
22,0,31420,Anirban Lahiri,.448,26.860,60
23,0,33141,Keegan Bradley,.433,28.609,66
24,0,50095,Austin Smotherman,.428,26.966,63
25,0,39977,Max Homa,.425,29.769,70
26,0,46717,Viktor Hovland,.423,23.710,56
27,0,23320,Ryan Palmer,.404,20.211,50
28,0,21961,Charles Howell III,.398,18.688,47
29,0,45526,Abraham Ancer,.395,18.163,46
30,0,27064,Jhonattan Vegas,.393,23.205,59
31,0,49964,Aaron Wise,.387,29.805,77
32,0,47988,Nick Hardy,.386,17.392,45
32,0,47529,Mito Pereira,.386,28.946,75
34,0,48081,Xander Schauffele,.372,21.217,57
35,0,30926,Chris Kirk,.367,23.123,63
36,0,50525,Collin Morikawa,.361,17.312,48
37,0,46046,Scottie Scheffler,.356,23.482,66
38,0,34046,Jordan Spieth,.335,20.438,61
39,0,34255,Joseph Bramlett,.332,22.253,67
40,0,45609,Tyler Duncan,.330,21.475,65
41,0,47995,Davis Riley,.312,25.624,82
42,0,27214,Kevin Streelman,.304,24.330,80
43,0,31323,Gary Woodland,.303,16.986,56
44,0,37455,Si Woo Kim,.287,23.212,81
45,0,32448,James Hahn,.286,17.184,60
46,0,19803,Ryan Armour,.280,9.807,35
47,0,46442,Maverick McNealy,.277,20.194,73
48,0,26300,Matt Jones,.253,12.911,51
49,0,49947,Taylor Moore,.243,18.948,78
50,0,29420,Billy Horschel,.237,13.008,55
51,0,49298,Kramer Hickok,.232,17.137,74
51,0,48822,Sebastián Muñoz,.232,16.014,69
53,0,25900,Lucas Glover,.230,18.822,82
54,0,32791,K.H. Lee,.220,18.929,86
55,0,36689,Brooks Koepka,.210,8.193,39
56,0,51766,Wyndham Clark,.209,15.642,75
57,0,46340,Alex Smalley,.207,15.505,75
58,0,32640,Troy Merritt,.201,14.882,74
59,0,49771,J.T. Poston,.180,14.439,80
