RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,23108,Matt Kuchar,.519,31.131,60
2,0,32139,Danny Willett,.513,21.527,42
3,0,46402,Talor Gooch,.502,27.609,55
4,0,26300,Matt Jones,.480,24.496,51
5,0,30911,Tommy Fleetwood,.467,18.679,40
6,0,24361,Pat Perez,.460,23.458,51
7,0,40098,Matt Fitzpatrick,.452,21.709,48
8,0,29420,Billy Horschel,.413,22.740,55
8,0,21961,Charles Howell III,.413,19.431,47
10,0,36799,Stephan Jaeger,.408,29.816,73
10,0,30926,Chris Kirk,.408,25.679,63
12,0,39971,Sungjae Im,.383,28.691,75
13,0,24925,Jonathan Byrd,.382,16.440,43
14,0,33399,Adam Hadwin,.361,27.399,76
15,0,33448,Justin Thomas,.355,21.683,61
16,0,23621,Rory Sabbatini,.351,17.559,50
17,0,24924,Bill Haas,.349,23.702,68
18,0,37189,Harold Varner III,.348,19.839,57
19,0,25198,Francesco Molinari,.336,13.453,40
20,0,34256,Andrew Putnam,.333,26.983,81
21,0,34098,Russell Henley,.325,20.444,63
22,0,23983,Luke Donald,.318,16.526,52
23,0,29478,Kevin Kisner,.314,17.253,55
24,0,36852,Jim Knous,.302,10.876,36
25,0,46046,Scottie Scheffler,.300,19.829,66
26,0,27770,Camilo Villegas,.298,15.222,51
27,0,34046,Jordan Spieth,.295,18.006,61
28,0,29289,S.Y. Noh,.294,13.547,46
29,0,35506,Mackenzie Hughes,.288,18.987,66
30,0,34360,Patrick Reed,.280,14.269,51
31,0,32102,Rickie Fowler,.274,15.353,56
32,0,37455,Si Woo Kim,.272,22.028,81
33,0,48084,Wesley Bryan,.271,10.575,39
34,0,35450,Patrick Cantlay,.266,13.850,52
35,0,45486,Joaquin Niemann,.263,15.227,58
36,0,47993,Denny McCarthy,.261,22.705,87
37,0,24138,Ian Poulter,.251,9.033,36
38,0,27936,Martin Laird,.240,14.614,61
39,0,48081,Xander Schauffele,.235,13.410,57
40,0,28089,Jason Day,.231,11.759,51
41,0,29221,Webb Simpson,.230,11.938,52
42,0,35891,Cameron Smith,.223,10.941,49
43,0,28237,Rory McIlroy,.222,11.543,52
44,0,49771,J.T. Poston,.218,17.461,80
45,0,47504,Sam Burns,.217,14.939,69
46,0,29725,Tony Finau,.206,14.622,71
46,0,32839,Hideki Matsuyama,.206,11.757,57
48,0,34610,Matthias Schwab,.204,11.194,55
49,0,27644,Brian Harman,.186,14.116,76
49,0,34363,Tyrrell Hatton,.186,8.922,48
51,0,56278,Matthew Wolff,.183,6.969,38
52,0,25818,Scott Piercy,.181,12.112,67
53,0,33204,Shane Lowry,.173,8.316,48
54,0,35110,Brett Drewitt,.170,7.141,42
55,0,34466,Peter Malnati,.167,14.519,87
55,0,51634,Sahith Theegala,.167,15.877,95
57,0,39977,Max Homa,.165,11.540,70
58,0,31560,Brian Stuard,.146,10.095,69
59,0,31420,Anirban Lahiri,.145,8.725,60
60,0,30927,Brendon Todd,.144,10.067,70
60,0,31323,Gary Woodland,.144,8.041,56
62,0,35461,Beau Hossler,.141,9.154,65
63,0,26851,Marc Leishman,.132,8.321,63
63,0,32150,Michael Thompson,.132,9.743,74
65,0,22056,Cameron Percy,.131,4.179,32
66,0,27214,Kevin Streelman,.129,10.339,80
67,0,34174,John Huh,.128,7.817,61
68,0,30692,Scott Stallings,.124,10.425,84
69,0,29535,Brice Garnett,.117,7.131,61
70,0,33141,Keegan Bradley,.115,7.607,66
71,0,57366,Cameron Young,.112,7.843,70
72,0,24024,Zach Johnson,.111,6.125,55
73,0,23320,Ryan Palmer,.109,5.425,50
74,0,47483,Will Zalatoris,.106,6.019,57
75,0,49947,Taylor Moore,.103,8.052,78
75,0,33419,Cameron Tringale,.103,7.492,73
77,0,51894,Vince Whaley,.101,6.754,67
78,0,27129,Luke List,.099,6.322,64
79,0,29970,Dylan Frittelli,.096,7.024,73
80,0,39058,Lucas Herbert,.094,3.744,40
81,0,28252,Seamus Power,.091,5.351,59
82,0,29908,C.T. Pan,.080,5.704,71
83,0,39546,Keith Mitchell,.079,5.684,72
84,0,32791,K.H. Lee,.077,6.589,86
85,0,49964,Aaron Wise,.076,5.883,77
86,0,34431,Robert Streb,.071,5.181,73
