RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,23325,Vaughn Taylor,2.670,285.567,106.949,73,0225503081
2,0,33448,Justin Thomas,2.669,312.467,117.074,50,0236403165
3,0,29908,C.T. Pan,2.663,292.509,109.847,65,0238803114
4,0,29485,Brett Stegmaier,2.661,294.677,110.738,53,0224502953
4,0,25349,Tim Wilkinson,2.661,281.716,105.849,43,0227703122
6,0,20472,Alex Cejka,2.660,286.187,107.591,53,0226202921
6,0,25818,Scott Piercy,2.660,299.875,112.754,44,0232503083
8,0,33204,Shane Lowry,2.658,304.557,114.597,21,0241902862
9,0,24357,K.J. Choi,2.655,284.731,107.236,53,0228403058
10,0,24507,Jason Bohn,2.653,280.336,105.665,59,0206903072
11,0,29476,Kyle Reifers,2.651,289.147,109.069,68,0222503158
11,0,47128,Richy Werenski,2.651,293.666,110.782,54,0228002996
13,0,28237,Rory McIlroy,2.650,318.029,120.027,28,0239603265
14,0,32102,Rickie Fowler,2.648,304.868,115.124,53,0211603131
15,0,31416,Derek Fathauer,2.646,292.853,110.680,51,0203803420
16,0,19846,Brian Gay,2.645,282.072,106.624,66,0227402977
16,0,33461,Morgan Hoffmann,2.645,296.828,112.206,76,0227903063
16,0,32640,Troy Merritt,2.645,295.342,111.640,66,0231003065
16,0,25632,Jimmy Walker,2.645,302.654,114.443,39,0228403093
20,0,25493,Nick Taylor,2.643,290.974,110.097,74,0173803012
21,0,06522,Ernie Els,2.640,288.238,109.183,27,0219403016
22,0,34174,John Huh,2.639,287.541,108.965,73,0230002993
23,0,29221,Webb Simpson,2.638,290.158,109.972,70,0230402972
24,0,46601,Trey Mullinax,2.637,317.164,120.285,62,0155103158
24,0,23621,Rory Sabbatini,2.637,292.871,111.069,47,0212103073
26,0,46440,Smylie Kaufman,2.635,309.073,117.277,58,0217802974
26,0,24140,Sean O'Hair,2.635,303.258,115.088,55,0237602956
28,0,40009,Dominic Bozzelli,2.634,302.032,114.665,50,0228403200
29,0,27974,Sung Kang,2.633,303.695,115.329,63,0221803186
30,0,24024,Zach Johnson,2.632,285.201,108.362,56,0230402935
30,0,23320,Ryan Palmer,2.632,306.864,116.594,43,0217703097
