RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
1,0,28237,Rory McIlroy,305.1,7933.0,26
2,0,28420,Ryan Brehm,304.7,8226.6,27
3,0,46550,Brandon Hagy,304.4,15831.3,52
4,0,35300,Andrew Loupe,302.8,11202.7,37
5,0,46601,Trey Mullinax,301.2,18070.7,60
6,0,27141,J.B. Holmes,300.6,10521.0,35
7,0,27129,Luke List,300.4,19522.9,65
8,0,31323,Gary Woodland,299.9,14095.3,47
9,0,46970,Jon Rahm,299.8,14991.6,50
10,0,36689,Brooks Koepka,298.0,11622.9,39
11,0,29725,Tony Finau,297.7,21138.4,71
12,0,33448,Justin Thomas,296.8,13948.6,47
13,0,24358,Robert Garrigus,296.7,15131.2,51
14,0,30944,Jason Kokrak,296.5,18678.9,63
14,0,34213,Grayson Murray,296.5,16601.4,56
16,0,30925,Dustin Johnson,296.3,11557.6,39
17,0,48081,Xander Schauffele,296.0,13021.9,44
18,0,28089,Jason Day,294.7,12377.0,42
19,0,46440,Smylie Kaufman,294.4,16484.3,56
20,0,29461,Jamie Lovemark,294.2,15004.3,51
21,0,23497,Tag Ridings,293.8,11753.9,40
22,0,36699,Patrick Rodgers,293.5,12915.1,44
23,0,27064,Jhonattan Vegas,293.2,13195.1,45
24,0,34099,Harris English,293.0,16112.3,55
25,0,21209,Sergio Garcia,292.8,9370.4,32
26,0,32366,Kevin Chappell,292.6,14627.6,50
26,0,34264,Hudson Swafford,292.6,15801.1,54
28,0,23320,Ryan Palmer,292.4,10818.0,37
29,0,24502,Adam Scott,291.7,7584.9,26
30,0,29289,S.Y. Noh,291.3,18349.2,63
31,0,32333,Kevin Tway,291.0,13675.2,47
32,0,33141,Keegan Bradley,290.8,20065.0,69
32,0,27095,Nick Watney,290.8,15412.4,53
34,0,33204,Shane Lowry,290.7,6105.2,21
35,0,27974,Sung Kang,289.3,17357.3,60
36,0,28252,Seamus Power,289.1,12431.3,43
36,0,37189,Harold Varner III,289.1,19368.6,67
38,0,26851,Marc Leishman,288.8,15593.9,54
39,0,22405,Justin Rose,288.5,11251.8,39
40,0,26300,Matt Jones,288.2,11817.7,41
40,0,30692,Scott Stallings,288.2,14411.6,50
42,0,32839,Hideki Matsuyama,288.1,12388.7,43
43,0,39954,Cody Gribble,288.0,14400.8,50
44,0,25804,Bubba Watson,287.9,10076.2,35
45,0,25632,Jimmy Walker,287.2,9476.8,33
46,0,46732,Rick Lamb,286.9,9469.2,33
47,0,01810,Phil Mickelson,286.7,15193.5,53
48,0,47959,Bryson DeChambeau,286.4,15749.4,55
48,0,28307,Matt Every,286.4,14035.3,49
50,0,33948,Byeong Hun An,286.3,12596.2,44
51,0,40009,Dominic Bozzelli,285.7,12857.9,45
51,0,28500,Martin Flores,285.7,16285.2,57
51,0,32102,Rickie Fowler,285.7,14287.4,50
54,0,40026,Daniel Berger,285.5,14273.5,50
54,0,24140,Sean O'Hair,285.5,13420.2,47
56,0,29518,Brendan Steele,285.4,15410.4,54
57,0,27936,Martin Laird,285.1,12830.6,45
57,0,24781,Hunter Mahan,285.1,14254.8,50
59,0,46501,Ollie Schniederjans,285.0,11685.1,41
60,0,46443,Brian Campbell,284.7,10249.1,36
61,0,12716,Charley Hoffman,284.4,19336.7,68
61,0,31420,Anirban Lahiri,284.4,10805.5,38
63,0,35450,Patrick Cantlay,283.9,8802.0,31
64,0,48822,Sebastián Muñoz,283.8,9366.5,33
65,0,27436,Graham DeLaet,283.7,15318.4,54
66,0,32448,James Hahn,283.3,17846.1,63
66,0,26329,Louis Oosthuizen,283.3,9632.1,34
66,0,26331,Charl Schwartzel,283.3,9347.6,33
69,0,25818,Scott Piercy,283.1,11890.7,42
70,0,23353,J.J. Henry,283.0,17826.3,63
70,0,34360,Patrick Reed,283.0,16415.3,58
72,0,29420,Billy Horschel,282.6,16956.1,60
72,0,29926,Danny Lee,282.6,16109.7,57
74,0,39324,J.J. Spaun,282.2,16083.9,57
75,0,25364,Paul Casey,282.1,13260.3,47
76,0,20157,Retief Goosen,281.7,9579.0,34
77,0,29223,Sam Saunders,281.3,15471.4,55
78,0,34021,Bud Cauley,281.2,17716.9,63
78,0,24361,Pat Perez,281.2,14057.5,50
80,0,31416,Derek Fathauer,281.1,13211.3,47
81,0,20229,Stewart Cink,280.9,18820.8,67
82,0,35506,Mackenzie Hughes,280.8,22748.4,81
83,0,29485,Brett Stegmaier,280.7,14034.3,50
84,0,29720,Andres Gonzales,280.6,12626.6,45
85,0,33461,Morgan Hoffmann,280.5,19633.2,70
86,0,24924,Bill Haas,280.4,14863.2,53
87,0,25274,Steven Bowditch,280.3,10371.0,37
88,0,37454,Whee Kim,279.9,13155.6,47
88,0,32757,Patton Kizzire,279.9,17633.6,63
88,0,30110,Kyle Stanley,279.9,22113.0,79
91,0,34046,Jordan Spieth,279.5,15091.9,54
92,0,33399,Adam Hadwin,279.3,17877.2,64
93,0,47128,Richy Werenski,279.2,14516.6,52
94,0,33418,Shawn Stefani,279.1,14790.6,53
95,0,30191,Julián Etulain,279.0,12831.9,46
95,0,27214,Kevin Streelman,279.0,18693.5,67
97,0,37455,Si Woo Kim,278.4,13362.1,48
97,0,28132,Tyrone Van Aswegen,278.4,14477.0,52
99,0,32640,Troy Merritt,278.3,17256.4,62
99,0,35891,Cameron Smith,278.3,16695.3,60
101,0,22056,Cameron Percy,278.2,12519.3,45
102,0,23621,Rory Sabbatini,278.0,11675.7,42
103,0,49771,J.T. Poston,277.9,15839.5,57
104,0,25900,Lucas Glover,277.8,15834.6,57
104,0,34409,David Lingmerth,277.8,15001.2,54
106,0,35532,Tom Hoge,277.7,10831.3,39
107,0,35545,Blayne Barber,277.6,16378.2,59
108,0,22371,Aaron Baddeley,277.2,10258.1,37
108,0,25493,Nick Taylor,277.2,18021.0,65
110,0,29740,Brad Fritsch,277.0,9693.4,35
111,0,25686,Jason Dufner,276.4,16305.9,59
112,0,35110,Brett Drewitt,276.3,8289.1,30
113,0,30852,Ryo Ishikawa,276.2,9944.9,36
113,0,39975,Michael Kim,276.2,19056.5,69
113,0,25198,Francesco Molinari,276.2,12427.9,45
116,0,29478,Kevin Kisner,276.0,15734.3,57
117,0,27895,Jonas Blixt,275.9,13520.9,49
117,0,34431,Robert Streb,275.9,17108.3,62
119,0,21961,Charles Howell III,275.7,13786.5,50
119,0,35879,Kelly Kraft,275.7,13232.7,48
121,0,31557,Jim Herman,275.3,14038.4,51
122,0,28093,Miguel Angel Carballo,274.8,9618.6,35
123,0,31646,Emiliano Grillo,274.7,15110.9,55
123,0,26951,Johnson Wagner,274.7,12363.3,45
125,0,27963,Chris Stroud,274.6,9610.7,35
126,0,29908,C.T. Pan,274.3,17552.9,64
127,0,29479,Scott Brown,274.1,16446.9,60
128,0,27958,Ryan Blaum,274.0,17810.2,65
129,0,22046,Geoff Ogilvy,273.5,15863.2,58
130,0,23983,Luke Donald,273.3,6832.0,25
131,0,34098,Russell Henley,273.2,18031.5,66
132,0,32200,Roberto Castro,273.1,12290.9,45
132,0,27649,Brandt Snedeker,273.1,8738.9,32
134,0,29974,Branden Grace,272.7,8453.2,31
135,0,33120,Mark Anderson,272.6,10085.6,37
135,0,25191,Gonzalo Fernandez-Castaño,272.6,8452.0,31
137,0,26289,Boo Weekley,272.2,11705.9,43
138,0,33413,Ben Martin,272.1,16051.8,59
139,0,26499,Rafa Cabrera Bello,271.6,8418.9,31
140,0,37278,Nicholas Lindheim,271.3,8408.8,31
141,0,27644,Brian Harman,271.2,15728.0,58
142,0,33419,Cameron Tringale,271.0,14093.2,52
143,0,26758,David Hearn,270.9,15439.1,57
144,0,20472,Alex Cejka,270.6,13800.8,51
145,0,12510,Chad Campbell,270.5,17855.2,66
146,0,29476,Kyle Reifers,270.4,17572.8,65
147,0,06522,Ernie Els,270.3,6758.4,25
148,0,25892,Steve Wheatcroft,270.1,8102.0,30
149,0,34174,John Huh,269.8,18888.8,70
150,0,28679,Fabián Gómez,269.7,11056.0,41
151,0,31202,William McGirt,269.5,17246.6,64
152,0,36801,Mark Hubbard,269.1,13993.6,52
152,0,29221,Webb Simpson,269.1,17758.8,66
154,0,32150,Michael Thompson,268.9,10216.7,38
155,0,24024,Zach Johnson,268.8,14245.6,53
156,0,23108,Matt Kuchar,268.4,15033.1,56
157,0,25720,Chad Collins,267.9,11789.6,44
158,0,25834,Daniel Summerhays,267.8,17407.8,65
159,0,23325,Vaughn Taylor,267.5,17651.9,66
160,0,33122,Russell Knox,267.3,10691.0,40
160,0,25240,D.A. Points,267.3,11760.1,44
162,0,30926,Chris Kirk,267.2,15496.6,58
162,0,25396,Kevin Na,267.2,13093.2,49
164,0,34358,Jonathan Randolph,266.6,11730.8,44
165,0,34466,Peter Malnati,266.0,17553.9,66
165,0,27770,Camilo Villegas,266.0,12234.9,46
167,0,24846,Ricky Barnes,265.2,11405.5,43
167,0,26596,Ryan Moore,265.2,14321.9,54
169,0,29222,Billy Hurley III,264.6,15875.4,60
170,0,19803,Ryan Armour,263.8,10550.5,40
171,0,24357,K.J. Choi,263.5,13701.8,52
172,0,26476,Chez Reavie,263.2,16581.9,63
173,0,23541,Ben Crane,262.5,16537.0,63
173,0,24138,Ian Poulter,262.5,11549.4,44
175,0,20771,Steven Alker,261.6,9417.5,36
176,0,25572,Graeme McDowell,261.2,8618.7,33
177,0,25345,Carl Pettersson,261.1,9400.6,36
178,0,19846,Brian Gay,261.0,16445.5,63
179,0,40058,Zac Blair,260.8,18253.7,70
180,0,48084,Wesley Bryan,259.4,13488.1,52
181,0,20593,Greg Chalmers,259.0,14504.2,56
182,0,20572,Rod Pampling,258.5,11117.4,43
183,0,23800,Bryce Molder,257.8,14955.0,58
184,0,25349,Tim Wilkinson,257.6,10303.7,40
185,0,31560,Brian Stuard,256.6,14624.5,57
186,0,22986,Søren Kjeldsen,255.9,6910.4,27
187,0,27466,Spencer Levin,255.8,15345.4,60
188,0,24507,Jason Bohn,255.7,13296.1,52
189,0,10809,Jim Furyk,254.1,8893.8,35
190,0,20104,Ken Duke,250.9,10036.1,40
